,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,52,53,7229.0,321.0782079696655,1762436,1163229,1131831,156,103,100,0
1,58,53,6155.5,420.0904005765915,2023253,1529658,1279128,180,136,113,0
2,57,54,5891.5,433.74725472927094,1899517,1384773,1285359,169,123,114,0
3,52,52,7101.5,320.0071402788162,1763194,1216966,1173422,156,108,104,0
4,54,53,7153.0,393.64674949645996,1925702,1382007,1208322,171,122,107,0
5,52,53,7052.0,319.4213538169861,1779306,1225904,1180854,158,109,105,0
6,52,53,7405.5,325.8061298131943,1926575,1388430,1230609,171,123,109,0
7,52,53,7662.0,329.22034335136414,1782796,1133360,1065327,158,100,94,0
8,52,52,6956.5,319.1787132024765,1822119,1256916,1207671,162,111,107,0
9,56,54,6637.5,354.0904005765915,1887347,1381656,1179929,167,122,105,0
10,52,53,6950.0,318.2497808933258,1795244,1256627,1214059,159,111,108,0
11,55,54,6941.5,360.43354642391205,1913214,1373906,1188205,170,122,105,0
12,53,51,7293.0,322.9360725879669,2026208,1534871,1271883,180,136,113,0
13,55,54,6933.0,362.67618703842163,1910327,1374164,1184827,170,122,105,0
14,52,53,7399.0,325.22034335136414,1736200,1132000,1104776,154,100,98,0
15,52,50,6978.5,318.0071402788162,2064189,1581268,1334155,183,140,118,0
16,52,53,7536.5,327.4629839658737,1703955,1101664,1072619,151,98,95,0
17,57,54,5909.0,437.9898953437805,1897522,1379687,1283835,168,122,114,0
18,56,53,6501.5,383.4629839658737,2005205,1488498,1253807,178,132,111,0
19,51,53,6984.0,320.04877042770386,1760709,1197912,1167661,156,106,103,0
20,53,53,6940.0,314.59292674064636,1958275,1458513,1295629,174,129,115,0
21,54,52,6857.0,317.4213538169861,2025082,1525898,1299696,180,135,115,0
22,53,52,7033.5,314.3502861261368,1980520,1483985,1293313,176,132,115,0
23,51,53,6882.5,317.8061298131943,1764419,1230011,1194650,157,109,106,0
24,52,52,7086.0,320.2497808933258,1777164,1222681,1177587,158,108,104,0
25,56,54,6090.5,442.9188276529312,1870183,1342109,1264179,166,119,112,0
26,52,52,7446.5,326.634556889534,1770023,1142507,1093446,157,101,97,0
27,51,52,7487.0,326.04877042770386,1794199,1161413,1099618,159,103,97,0
28,52,52,7493.0,326.04877042770386,1889056,1244269,1122824,168,110,99,0
29,52,52,7419.5,325.4629839658737,1758599,1132825,1089881,156,100,96,0
30,52,52,7419.0,324.8771975040436,1736003,1123499,1089732,154,99,96,0
31,53,52,7125.0,316.9360725879669,1911398,1388990,1238873,170,123,110,0
32,52,51,6697.0,313.4213538169861,1991075,1450881,1325955,177,129,118,0
33,52,52,6806.0,313.76449966430664,2011365,1492589,1332982,179,132,118,0
34,52,52,7527.0,326.04877042770386,1830023,1185661,1105406,162,105,98,0
35,56,54,6611.5,354.9188276529312,1886418,1382716,1181769,167,123,105,0
36,52,53,6801.5,316.4924215078354,1875887,1305636,1246257,166,116,110,0
37,56,54,6772.0,359.50461411476135,1899829,1377392,1182033,169,122,105,0
38,52,52,6946.5,317.1787132024765,1812477,1255632,1210291,161,111,107,0
39,13,42,18.5,17.899494767189026,1919895,1378582,1199195,170,122,106,0
40,52,53,7030.5,317.3208485841751,1788167,1263936,1201303,159,112,106,0
41,51,52,7132.5,318.97770273685455,1824764,1295450,1209876,162,115,107,0
42,53,53,6741.5,309.1787132024765,1923561,1417235,1301067,171,126,115,0
43,53,52,7021.0,316.59292674064636,2012294,1508299,1288422,179,134,114,0
44,53,52,7172.5,319.1787132024765,1981815,1476037,1272557,176,131,113,0
45,57,53,6354.0,382.8771975040436,2005147,1487019,1249115,178,132,111,0
46,52,52,6958.5,318.0071402788162,1826283,1258089,1207684,162,111,107,0
47,52,53,6926.0,322.04877042770386,1761251,1213227,1181542,156,107,105,0
48,55,52,6564.5,388.7766922712326,2019420,1510883,1281940,179,134,114,0
49,51,53,6906.5,314.14927566051483,1767795,1238451,1199278,157,110,106,0
50,52,52,7226.0,321.4213538169861,1772015,1183860,1142339,157,105,101,0
51,53,52,7186.5,320.634556889534,1851776,1318955,1216411,164,117,108,0
52,52,53,7343.5,324.83556735515594,1742714,1153353,1108917,155,102,98,0
53,53,53,7293.0,326.04877042770386,1890309,1358408,1231215,168,120,109,0
54,52,53,6812.5,316.83556735515594,1905975,1328785,1250879,169,118,111,0
55,57,55,6422.5,357.74725472927094,1878008,1395201,1188569,167,124,105,0
56,52,52,6837.0,317.4213538169861,1948548,1381808,1273884,173,122,113,0
57,52,53,7523.5,326.634556889534,1705639,1104972,1075099,151,98,95,0
58,59,56,6063.0,441.5878744125366,1874801,1431601,1213823,166,127,108,0
59,52,52,7465.0,326.04877042770386,1786760,1154620,1097269,159,102,97,0
60,52,51,6759.0,311.76449966430664,2041392,1543785,1364164,181,137,121,0
61,52,53,7274.0,322.04877042770386,1741368,1162974,1134396,154,103,100,0
62,52,51,6782.5,312.3502861261368,2063818,1576381,1366871,183,140,121,0
63,52,52,7516.5,326.634556889534,1813793,1174717,1101253,161,104,98,0
64,52,52,7412.5,325.4629839658737,1718684,1129620,1101958,152,100,98,0
65,52,52,7516.0,326.04877042770386,1866689,1215708,1114514,166,108,99,0
