,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,53,53,6883.0,314.3919162750244,1914661,1920767,1480258,170,170,131,1
1,57,58,5479.0,364.19090580940247,1941087,1951873,1542781,172,173,137,1
2,8,54,10.0,37.65685415267944,2019499,2019366,1577738,179,179,140,1
3,62,60,5093.0,389.8477599620819,1953710,1956715,1496128,173,174,133,1
4,57,51,6213.0,315.0782079696655,2065278,2073602,1663021,183,184,148,1
5,21,19,1.0,4.828427076339722,1941225,1945242,1483191,172,173,132,1
6,56,52,6122.0,314.73506212234497,2068913,2076565,1675070,184,184,149,1
7,59,57,3998.0,368.19090580940247,2038188,2040319,1692030,181,181,150,1
8,63,60,4863.5,390.29141104221344,1996041,1997034,1539987,177,177,137,1
9,56,52,6186.5,321.66399443149567,2029776,2036871,1644208,180,181,146,1
10,63,60,4949.5,386.43354642391205,1971789,1973747,1514787,175,175,134,1
11,57,52,6323.5,316.83556735515594,2038309,2046090,1632853,181,182,145,1
12,60,58,4879.5,348.7766922712326,1957212,1967941,1570330,174,175,139,1
13,56,51,6192.0,316.59292674064636,2054538,2060623,1658579,182,183,147,1
14,53,52,6899.5,312.14927566051483,1923975,1930927,1485398,171,171,132,1
15,53,52,6869.5,313.3208485841751,1945604,1952121,1505853,173,173,134,1
16,62,59,4561.0,420.4751765727997,2018520,2018827,1579074,179,179,140,1
17,51,56,6844.0,329.0782079696655,1942942,1951857,1515927,172,173,134,1
18,52,52,7173.0,319.22034335136414,1884523,1891202,1438155,167,168,127,1
19,52,56,6950.5,332.83556735515594,2028163,2030049,1569087,180,180,139,1
20,52,56,6948.0,329.90663504600525,1960773,1969118,1519151,174,175,135,1
21,52,56,7007.5,335.66399443149567,2008017,2011890,1548159,178,179,137,1
22,52,51,7064.5,316.14927566051483,1908655,1915410,1461872,169,170,130,1
23,63,60,4911.5,387.6051193475723,1975672,1976565,1518912,175,175,135,1
24,64,60,4540.0,393.8477599620819,2000279,2002153,1564509,178,178,139,1
25,49,52,6126.0,312.2497808933258,2093573,2097607,1707680,186,186,151,1
26,58,57,4271.5,378.43354642391205,2068568,2071461,1708151,184,184,152,1
27,64,55,5168.0,333.22034335136414,1848685,1850417,1418916,164,164,126,1
28,49,53,6348.5,320.83556735515594,2082506,2088811,1670354,185,185,148,1
29,50,53,6734.0,320.2497808933258,2020060,2027146,1580932,179,180,140,1
30,52,55,6903.0,331.0782079696655,2033809,2034034,1580205,181,181,140,1
31,63,60,4588.0,395.8477599620819,2044439,2049930,1605591,181,182,142,1
32,62,60,4449.0,385.8477599620819,2044372,2050548,1622378,181,182,144,1
33,21,22,1.0,4.828427076339722,2038804,2039091,1703360,181,181,151,1
34,56,52,6190.0,320.2497808933258,2028947,2035006,1644969,180,181,146,1
35,63,60,4809.0,389.8477599620819,2011119,2011159,1555358,178,178,138,1
36,56,52,6190.5,319.66399443149567,2042803,2048301,1650295,181,182,146,1
37,63,60,4885.0,388.19090580940247,1989788,1989899,1534354,177,177,136,1
38,57,52,6334.0,319.4213538169861,2050064,2057075,1640760,182,183,146,1
39,58,54,5801.5,407.20309841632843,1910890,1920292,1446219,170,170,128,1
40,60,54,5381.0,403.3036036491394,1912078,1920556,1450458,170,170,129,1
41,53,55,6805.0,329.90663504600525,2029554,2029933,1583582,180,180,140,1
42,51,56,7010.5,333.3208485841751,1971936,1980152,1521633,175,176,135,1
43,52,56,7032.5,335.3208485841751,1995659,2001526,1537965,177,178,136,1
44,51,56,6758.0,327.90663504600525,1932831,1944156,1514763,172,173,134,1
45,63,60,4905.5,393.6051193475723,1998014,1998236,1542245,177,177,137,1
46,52,52,7118.5,318.634556889534,1894433,1902020,1447072,168,169,128,1
47,51,56,6889.0,328.2497808933258,1945842,1955255,1512900,173,174,134,1
48,52,52,7186.5,318.14927566051483,1893785,1902884,1432736,168,169,127,1
49,63,61,5021.5,394.7766922712326,1949409,1953866,1500385,173,173,133,1
50,5,48,5.0,8.828427076339722,1976134,1984201,1550903,175,176,138,1
51,62,59,4820.5,392.0904005765915,2022650,2025214,1567793,180,180,139,1
52,55,52,6206.5,317.66399443149567,2015513,2021992,1635564,179,179,145,1
53,62,59,4738.5,396.0904005765915,2038948,2042910,1592412,181,181,141,1
54,53,52,6858.5,312.14927566051483,1945752,1951624,1507831,173,173,134,1
55,54,52,6414.5,313.66399443149567,1973602,1979304,1587820,175,176,141,1
56,57,57,4425.0,390.3330411911011,2078571,2082127,1711548,184,185,152,1
57,63,60,4425.0,377.0193328857422,2033972,2040782,1625703,181,181,144,1
58,63,59,4298.0,381.50461411476135,2012527,2020752,1620627,179,179,144,1
59,59,57,4017.5,359.4629839658737,2042939,2045065,1693118,181,182,150,1
60,53,53,6893.0,311.5634891986847,1952160,1959768,1508445,173,174,134,1
61,63,55,4665.0,327.22034335136414,1925191,1926973,1538890,171,171,136,1
62,11,66,1.0,4.0,1975033,1985160,1592613,175,176,141,1
63,53,52,6882.0,313.90663504600525,1946253,1953370,1505372,173,173,133,1
64,10,67,2.5,12.242640614509583,1959793,1968531,1569565,174,175,139,1
65,60,58,4968.0,352.19090580940247,1953726,1964800,1565728,173,174,139,1
66,53,52,6951.0,312.73506212234497,1922254,1929645,1480688,171,171,131,1
67,62,60,5046.0,387.0193328857422,1969836,1971706,1512441,175,175,134,1
68,56,52,6190.5,317.66399443149567,2050472,2058236,1654363,182,183,147,1
69,63,60,4876.0,390.19090580940247,1989512,1991150,1533310,177,177,136,1
70,56,52,6182.0,320.2497808933258,2027324,2033483,1643569,180,180,146,1
71,60,54,5664.0,399.3036036491394,1913626,1922331,1450601,170,171,129,1
72,52,51,6959.0,314.3919162750244,1929845,1937971,1478550,171,172,131,1
73,63,60,4924.0,381.0193328857422,1942730,1946371,1483782,172,173,132,1
74,53,52,6892.5,312.14927566051483,1925959,1931758,1489033,171,171,132,1
75,56,52,6142.0,309.90663504600525,2065214,2072776,1671971,183,184,148,1
76,62,60,5086.5,388.0904005765915,1955238,1958121,1495992,174,174,133,1
77,57,51,6211.5,312.0071402788162,2064789,2072765,1661813,183,184,147,1
78,58,58,5305.0,363.36247873306274,1943033,1954605,1547480,172,173,137,1
79,26,43,310.0,73.11269783973694,1892752,1899594,1448694,168,169,128,1
80,55,57,5935.5,386.0904005765915,1937329,1948732,1529176,172,173,136,1
81,31,44,448.0,87.25483322143555,1890207,1897027,1447964,168,168,128,1
82,64,59,4579.0,399.50461411476135,2004936,2006717,1567752,178,178,139,1
83,63,55,5263.0,334.3919162750244,1855253,1857559,1423086,165,165,126,1
84,62,59,4457.0,382.19090580940247,1991226,1999873,1608472,177,177,143,1
85,60,58,4891.5,348.7766922712326,1956633,1966747,1569785,174,175,139,1
86,57,57,4371.0,381.36247873306274,2076794,2079486,1712520,184,185,152,1
87,53,53,6943.5,357.6051193475723,1946836,1953479,1491326,173,173,132,1
88,49,53,6225.5,316.14927566051483,2087778,2092064,1691641,185,186,150,1
89,63,59,4282.5,386.9188276529312,2015973,2023377,1623889,179,180,144,1
90,51,52,6785.5,316.4924215078354,1998762,2005098,1556769,177,178,138,1
91,52,56,6982.5,334.83556735515594,2014665,2018004,1554835,179,179,138,1
92,52,55,6960.0,329.4213538169861,2028087,2029434,1569842,180,180,139,1
93,52,51,6998.5,316.634556889534,1923351,1932621,1472285,171,172,131,1
94,59,54,5596.0,396.4751765727997,1934109,1943035,1481300,172,172,131,1
95,53,52,6922.0,312.73506212234497,1924023,1930694,1485497,171,171,132,1
96,52,56,7025.0,333.90663504600525,2002942,2007496,1542343,178,178,137,1
97,60,58,4976.0,352.19090580940247,1953879,1964295,1565795,173,174,139,1
98,53,52,6879.5,312.14927566051483,1946775,1952791,1506941,173,173,134,1
99,61,59,4593.0,360.534051656723,1972906,1982624,1590492,175,176,141,1
100,62,56,4606.5,325.3208485841751,1923514,1924097,1538818,171,171,136,1
101,59,57,4040.0,371.36247873306274,2041822,2043119,1695139,181,181,150,1
102,56,52,6187.5,315.66399443149567,2024960,2030560,1642606,180,180,146,1
103,62,60,4867.5,390.7766922712326,1995229,1995386,1540503,177,177,137,1
104,56,51,6191.5,317.1787132024765,2049483,2056041,1655231,182,182,147,1
105,62,60,5036.5,392.43354642391205,1970240,1971286,1513945,175,175,134,1
106,57,51,6204.0,310.59292674064636,2068392,2075790,1666419,184,184,148,1
107,32,43,448.0,88.91168737411499,1910216,1915704,1478208,170,170,131,1
108,52,52,7230.5,320.97770273685455,1882513,1890539,1423794,167,168,126,1
109,62,60,5123.0,398.3330411911011,1959279,1961274,1502046,174,174,133,1
110,57,52,6126.0,312.2497808933258,2067813,2075009,1675053,184,184,149,1
111,32,44,477.5,90.66904675960541,1894256,1900312,1454170,168,169,129,1
112,9,46,2.5,7.414213538169861,1934336,1944642,1525069,172,173,135,1
113,26,43,326.0,72.76955199241638,1895814,1902286,1454262,168,169,129,1
114,58,58,5392.5,367.6051193475723,1941334,1951735,1545074,172,173,137,1
115,51,53,6783.0,317.0782079696655,2000793,2007523,1558616,178,178,138,1
116,49,53,6242.5,317.3208485841751,2082447,2087214,1686352,185,185,150,1
117,63,60,4262.0,383.50461411476135,2017363,2025555,1622940,179,180,144,1
118,52,56,6949.5,330.4924215078354,1957381,1965965,1515945,174,174,134,1
119,53,53,6942.0,352.19090580940247,1950182,1957437,1494003,173,174,132,1
120,62,59,4436.0,381.8477599620819,1993050,2002317,1608410,177,178,143,1
121,57,57,4319.5,381.6051193475723,2071181,2074608,1708037,184,184,152,1
122,63,55,5327.0,328.73506212234497,1855916,1859451,1422552,165,165,126,1
123,64,60,4511.5,400.0904005765915,2003968,2005137,1568709,178,178,139,1
124,53,56,6968.5,333.66399443149567,2025715,2028351,1566303,180,180,139,1
125,52,56,6990.5,337.3208485841751,2010631,2014657,1550104,178,179,137,1
126,52,56,6906.5,332.0071402788162,2031825,2033583,1576500,180,180,140,1
127,51,52,6850.5,316.83556735515594,2001973,2008700,1554269,178,178,138,1
128,49,53,6363.5,317.1787132024765,2082654,2088121,1669791,185,185,148,1
129,52,52,7021.5,314.14927566051483,1903413,1910804,1465527,169,170,130,1
130,63,60,4487.5,383.9482651948929,2046628,2051491,1627507,182,182,144,1
131,63,60,4584.0,395.0193328857422,2045678,2050246,1609076,182,182,143,1
132,61,55,5304.5,398.2325359582901,1911708,1919800,1451640,170,170,129,1
133,52,56,7024.5,335.66399443149567,1999747,2003922,1541142,177,178,137,1
134,52,56,7021.5,335.66399443149567,1975332,1981248,1522036,175,176,135,1
135,53,55,6779.5,329.3208485841751,2030013,2029731,1585716,180,180,141,1
136,57,52,6322.0,317.76449966430664,2049685,2057338,1639715,182,183,145,1
137,63,60,4910.5,393.9482651948929,1985926,1987519,1529147,176,176,136,1
138,56,52,6185.5,320.14927566051483,2046302,2052882,1652390,182,182,147,1
139,63,60,4830.0,394.67618703842163,2007114,2008750,1550445,178,178,137,1
140,52,51,7017.0,320.04877042770386,1920802,1928993,1471641,170,171,130,1
141,51,56,6888.5,329.66399443149567,1949737,1957829,1515562,173,174,134,1
142,52,52,7111.5,319.4629839658737,1898189,1904469,1451850,168,169,129,1
143,51,56,6800.0,325.0782079696655,1934313,1943725,1514445,172,172,134,1
144,4,48,8.0,10.828427076339722,1977824,1985459,1554011,176,176,138,1
145,23,18,3.0,9.656854152679443,1941876,1945125,1486991,172,173,132,1
146,62,55,5070.5,391.4041088819504,1909014,1917521,1451961,169,170,129,1
147,18,21,1.0,4.828427076339722,1949798,1953603,1501505,173,173,133,1
148,54,52,6434.0,317.90663504600525,1971868,1976985,1586088,175,175,141,1
149,62,59,4714.5,392.43354642391205,2042900,2045212,1598227,181,182,142,1
150,55,52,6208.5,314.83556735515594,2015474,2020925,1636199,179,179,145,1
151,62,59,4837.0,390.67618703842163,2026545,2028570,1573421,180,180,140,1
152,53,52,6899.0,312.3919162750244,1951210,1957771,1508224,173,174,134,1
153,63,59,4312.0,381.8477599620819,2010873,2018018,1620692,178,179,144,1
154,53,53,6930.0,343.7056245803833,1954838,1961627,1499555,173,174,133,1
155,62,60,4439.0,384.67618703842163,2034807,2039760,1629094,181,181,144,1
156,62,54,4982.5,390.2325359582901,1930943,1940048,1485078,171,172,132,1
157,62,60,4995.0,402.19090580940247,1949240,1953939,1501958,173,173,133,1
158,5,46,11.0,14.828427076339722,1997708,2005930,1580446,177,178,140,1
159,63,60,5051.0,396.67618703842163,1944174,1948846,1492020,173,173,132,1
160,52,52,7156.5,318.97770273685455,1885883,1893738,1438247,167,168,128,1
161,52,56,6797.5,325.66399443149567,1938387,1948323,1515132,172,173,134,1
162,52,51,7055.5,316.14927566051483,1909323,1917561,1460955,169,170,130,1
163,52,56,6913.5,330.83556735515594,1954253,1963551,1515695,173,174,134,1
164,52,52,6824.0,316.73506212234497,1985352,1992677,1539765,176,177,137,1
165,62,59,4341.0,382.534051656723,2026179,2034075,1624915,180,181,144,1
166,53,53,6830.0,333.7056245803833,1959660,1967725,1514117,174,175,134,1
167,63,59,4365.0,382.67618703842163,2002792,2011091,1615257,178,178,143,1
168,55,52,6241.5,315.66399443149567,2005973,2011614,1626988,178,179,144,1
169,62,60,4794.0,391.0193328857422,2013891,2015874,1558355,179,179,138,1
170,54,52,6605.0,318.73506212234497,1944295,1950216,1550736,173,173,138,1
171,62,59,4870.0,389.8477599620819,2033049,2036618,1583186,180,181,140,1
172,64,59,4527.5,386.0904005765915,1992947,1993428,1558495,177,177,138,1
173,30,43,403.0,81.5979790687561,1910206,1916235,1476794,170,170,131,1
174,52,56,6714.0,323.0782079696655,1935575,1946074,1520916,172,173,135,1
175,53,51,6927.0,311.5634891986847,1913437,1919662,1475635,170,170,131,1
176,57,58,5600.0,370.67618703842163,1936848,1948165,1535514,172,173,136,1
177,63,60,4515.5,388.43354642391205,2044811,2049625,1611856,181,182,143,1
178,62,60,4457.0,385.36247873306274,2041185,2047328,1626575,181,182,144,1
179,49,53,6524.0,321.4213538169861,2055191,2062192,1629530,182,183,145,1
180,51,53,6744.5,317.66399443149567,2008253,2015636,1568345,178,179,139,1
181,52,56,6966.0,330.2497808933258,1966501,1974938,1519743,175,175,135,1
182,52,56,7024.5,333.66399443149567,1987546,1993195,1530620,176,177,136,1
183,53,55,6776.5,325.1787132024765,2023090,2023125,1579706,180,180,140,1
184,57,53,6075.5,438.03152549266815,1908088,1917232,1444150,169,170,128,1
185,59,54,5472.0,394.4751765727997,1934096,1942469,1481551,172,172,131,1
186,64,60,4548.0,405.1614682674408,1998011,1999345,1563233,177,177,139,1
187,25,18,3.0,9.656854152679443,2001803,2002585,1651862,178,178,147,1
188,58,57,4248.0,376.19090580940247,2061047,2063795,1703747,183,183,151,1
189,54,55,4951.5,431.88939011096954,2086067,2089292,1702833,185,185,151,1
190,64,56,5016.0,334.73506212234497,1865688,1867088,1446848,166,166,128,1
191,63,59,4576.0,413.1614682674408,2015665,2015871,1574657,179,179,140,1
192,64,59,4535.5,384.43354642391205,1988733,1990921,1554648,176,177,138,1
193,62,55,4969.5,395.88939011096954,1933682,1941445,1487311,172,172,132,1
194,64,60,4894.0,388.534051656723,1945020,1947679,1488037,173,173,132,1
195,61,54,5151.5,397.4041088819504,1932761,1940475,1483819,172,172,132,1
196,62,60,5040.5,395.6051193475723,1945360,1949450,1494927,173,173,133,1
197,53,55,6810.5,328.83556735515594,2033688,2033070,1588319,180,180,141,1
198,52,56,6984.5,335.66399443149567,2019950,2021574,1559870,179,179,138,1
199,52,55,6943.0,330.2497808933258,2032518,2032685,1575927,180,180,140,1
200,57,52,6328.5,318.83556735515594,2043956,2051733,1636187,181,182,145,1
201,63,60,4917.0,389.0193328857422,1975692,1977925,1519278,175,176,135,1
202,56,52,6165.0,318.2497808933258,2037013,2044187,1649022,181,181,146,1
203,63,60,4903.5,390.7766922712326,1998558,1999936,1541450,177,177,137,1
204,53,52,6843.5,312.14927566051483,1945082,1951914,1507345,173,173,134,1
205,24,22,1.0,4.828427076339722,1982718,1991957,1599758,176,177,142,1
206,53,52,6987.5,315.3208485841751,1905483,1912707,1460284,169,170,129,1
207,60,58,4763.5,351.11983811855316,1962094,1972689,1577659,174,175,140,1
208,54,57,6197.5,422.2325359582901,1936381,1946668,1524444,172,173,135,1
209,51,56,6987.0,334.73506212234497,1974060,1981377,1524991,175,176,135,1
210,60,58,5091.5,358.7766922712326,1948696,1958872,1557296,173,174,138,1
211,52,52,7034.5,314.14927566051483,1899843,1906503,1460946,169,169,130,1
212,61,53,4943.5,444.3746713399887,2040775,2049391,1639695,181,182,145,1
213,63,60,5032.0,393.8477599620819,1948622,1951757,1489527,173,173,132,1
214,56,51,5977.0,311.4213538169861,2093099,2100506,1707318,186,186,151,1
215,62,60,5122.0,390.67618703842163,1963378,1965609,1505876,174,174,134,1
216,50,53,6555.0,316.2497808933258,2048320,2054544,1621545,182,182,144,1
217,49,53,6248.5,316.83556735515594,2093233,2098028,1693361,186,186,150,1
218,52,56,7012.0,335.0782079696655,1996137,2000929,1539569,177,178,137,1
219,64,60,4547.5,387.6051193475723,1988246,1988591,1555491,176,176,138,1
220,64,56,5078.0,335.22034335136414,1867668,1870406,1447227,166,166,128,1
221,55,55,4885.5,431.546244263649,2080347,2084907,1699127,185,185,151,1
222,58,57,4210.5,370.7766922712326,2055005,2058008,1699121,182,183,151,1
223,19,20,3.0,6.828427076339722,1945904,1950386,1494998,173,173,133,1
224,8,66,1.5,5.414213538169861,1930617,1939384,1480597,171,172,131,1
225,62,55,4956.0,393.3036036491394,1932521,1941674,1485969,171,172,132,1
226,52,55,6946.0,331.0782079696655,2030210,2030928,1572696,180,180,139,1
227,53,56,6995.0,335.90663504600525,2016070,2018922,1554406,179,179,138,1
228,63,60,4874.5,391.6051193475723,2004344,2004610,1547787,178,178,137,1
229,56,52,6162.5,319.66399443149567,2035648,2041996,1649879,181,181,146,1
230,63,60,4903.0,388.534051656723,1978298,1979224,1522293,176,176,135,1
231,57,52,6322.0,316.2497808933258,2043108,2049672,1636974,181,182,145,1
232,60,58,4828.0,347.7056245803833,1960043,1970235,1575244,174,175,140,1
233,53,52,6884.5,312.14927566051483,1926765,1933109,1492822,171,172,132,1
234,12,70,6.0,15.656854152679443,1981272,1989848,1599107,176,177,142,1
235,53,52,6976.5,313.3208485841751,1925518,1931969,1479472,171,171,131,1
236,49,53,6237.5,315.66399443149567,2089140,2094721,1690598,185,186,150,1
237,60,54,5403.5,399.0609630346298,1911756,1919217,1449969,170,170,129,1
238,49,53,6545.0,319.4213538169861,2049229,2055967,1621809,182,182,144,1
239,56,57,5765.5,391.26197350025177,1936371,1946374,1531162,172,173,136,1
240,52,52,7033.5,314.97770273685455,1903689,1909585,1466320,169,169,130,1
241,60,58,5167.0,365.0193328857422,1947752,1957652,1555389,173,174,138,1
242,62,60,5092.0,386.19090580940247,1966019,1966479,1508420,174,175,134,1
243,56,51,5978.0,308.2497808933258,2095058,2101899,1710061,186,187,152,1
244,25,17,3.0,8.828427076339722,1951814,1954312,1494571,173,173,133,1
245,56,51,6264.5,311.66399443149567,2044770,2052434,1644647,181,182,146,1
246,63,60,5043.5,399.6051193475723,1945811,1949117,1493838,173,173,132,1
247,6,47,17.0,17.656854152679443,2018912,2026126,1611088,179,180,143,1
248,63,61,4991.0,400.67618703842163,1951935,1956248,1505818,173,174,134,1
249,52,56,6940.0,332.2497808933258,1956022,1963926,1516895,174,174,135,1
250,52,51,7047.0,317.5634891986847,1913206,1920664,1465183,170,170,130,1
251,52,56,6804.5,326.83556735515594,1941493,1950269,1517172,172,173,135,1
252,52,52,7137.0,318.3919162750244,1889583,1896309,1442763,168,168,128,1
253,64,59,4566.5,390.9188276529312,1994774,1996775,1559796,177,177,138,1
254,62,59,4380.0,381.8477599620819,2002414,2010088,1615318,178,178,143,1
255,53,53,6686.0,336.534051656723,1979290,1985803,1544930,176,176,137,1
256,57,51,6004.0,310.2497808933258,2087614,2094644,1701686,185,186,151,1
257,62,60,4336.5,386.43354642391205,2025750,2032606,1626680,180,180,144,1
258,52,53,6818.0,329.22034335136414,1984864,1990616,1539458,176,177,137,1
259,62,59,4868.5,393.26197350025177,2034224,2036589,1585108,181,181,141,1
260,54,52,6624.0,317.5634891986847,1943835,1948925,1550711,173,173,138,1
261,62,60,4838.0,390.19090580940247,2018239,2018458,1562895,179,179,139,1
