,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,52,53,7260.5,319.3208485841751,2071657,1476054,1122116,184,131,99,2
1,52,53,6501.5,307.66399443149567,2243761,1649704,1320137,199,146,117,2
2,51,51,6868.0,317.90663504600525,2196814,1567782,1220922,195,139,108,2
3,51,52,6549.5,312.3502861261368,2243378,1672004,1316909,199,148,117,2
4,52,52,6512.0,305.90663504600525,2185604,1639519,1299907,194,145,115,2
5,51,52,6520.5,312.3502861261368,2243661,1691000,1327797,199,150,118,2
6,52,52,6549.5,305.3208485841751,2152919,1603581,1282899,191,142,114,2
7,52,53,6634.5,307.8061298131943,2054586,1486878,1261132,182,132,112,2
8,51,53,6740.0,313.4213538169861,2234255,1618252,1266906,198,144,112,2
9,53,53,7349.5,321.66399443149567,2138610,1527169,1126569,190,135,100,2
10,52,52,6677.5,315.1787132024765,2233899,1637251,1284873,198,145,114,2
11,52,53,6878.5,312.4924215078354,2171556,1594391,1226008,193,141,109,2
12,52,53,6465.5,305.3208485841751,2245545,1666620,1331251,199,148,118,2
13,53,52,6688.5,308.4924215078354,2189581,1629668,1266831,194,145,112,2
14,52,53,6828.5,311.3208485841751,2144680,1577868,1232451,190,140,109,2
15,53,53,6544.5,305.3208485841751,2244374,1652573,1305477,199,147,116,2
16,51,52,6807.5,310.4924215078354,2177707,1598824,1240672,193,142,110,2
17,52,51,6733.5,315.66399443149567,2211141,1596740,1258366,196,142,111,2
18,52,52,6733.5,312.3502861261368,2228691,1589559,1261747,198,141,112,2
19,52,54,7613.5,330.14927566051483,1996364,1374195,1032105,177,122,91,2
20,51,51,6917.5,321.1787132024765,2219016,1554191,1217063,197,138,108,2
21,52,52,6723.5,314.3502861261368,2234122,1590033,1268320,198,141,112,2
22,50,52,6758.0,317.76449966430664,2237878,1582808,1254209,199,140,111,2
23,53,54,7401.5,324.4924215078354,2005593,1400107,1077365,178,124,95,2
24,52,52,6683.5,316.0071402788162,2235688,1634626,1285962,198,145,114,2
25,52,51,6726.5,313.3208485841751,2209930,1610814,1261918,196,143,112,2
26,52,53,6699.5,308.4924215078354,2100688,1510162,1230921,186,134,109,2
27,52,53,6519.0,303.5634891986847,2085193,1520922,1275870,185,135,113,2
28,52,54,7530.0,327.22034335136414,1942408,1303918,1043695,172,116,92,2
29,51,53,6699.0,309.90663504600525,2129072,1530040,1229744,189,136,109,2
30,52,53,6775.5,310.83556735515594,2157337,1548013,1215968,192,137,108,2
31,52,51,6798.5,320.83556735515594,2226534,1565036,1234983,198,139,109,2
32,51,53,6851.0,312.73506212234497,2250022,1604085,1231419,200,142,109,2
33,51,53,6962.5,315.3208485841751,2239869,1584529,1203818,199,141,107,2
34,52,54,7048.0,315.22034335136414,1998618,1393156,1154887,177,123,102,2
35,53,53,7339.5,322.83556735515594,2136903,1529164,1127124,190,136,100,2
36,51,53,6800.5,314.83556735515594,2235732,1606855,1254797,198,143,111,2
37,53,52,6933.0,313.90663504600525,2172826,1594189,1216350,193,141,108,2
38,51,52,6735.5,315.1787132024765,2233815,1621573,1272226,198,144,113,2
39,52,53,6631.5,307.3208485841751,2182003,1625299,1275088,194,144,113,2
40,51,54,7655.0,327.22034335136414,1943852,1328748,1007063,173,118,89,2
41,52,53,7259.0,321.5634891986847,1988709,1402053,1091559,176,124,97,2
42,51,51,6871.5,318.83556735515594,2199658,1562632,1220162,195,139,108,2
43,51,52,6730.0,315.76449966430664,2235232,1591741,1267377,198,141,112,2
44,51,52,6731.5,317.52185904979706,2241007,1590513,1262244,199,141,112,2
45,52,52,6579.0,310.59292674064636,2238615,1621103,1294880,199,144,115,2
46,51,53,6763.5,316.0071402788162,2234900,1616032,1267473,198,143,112,2
47,52,54,7478.5,327.3208485841751,2005657,1393223,1062443,178,123,94,2
48,52,52,6741.0,314.9360725879669,2225302,1586234,1260343,198,141,112,2
49,53,54,7412.5,323.3208485841751,1995216,1391847,1073296,177,123,95,2
50,52,51,6546.0,312.59292674064636,2244303,1700639,1312853,199,151,116,2
51,52,53,7147.0,318.3919162750244,2012501,1431837,1121902,179,127,99,2
52,51,51,6620.0,314.1076455116272,2233422,1679333,1302471,198,149,115,2
53,52,53,6795.0,311.5634891986847,2078711,1517977,1210606,185,135,107,2
54,51,53,6861.0,315.90663504600525,2237282,1599921,1240827,199,142,110,2
55,53,52,7497.0,325.0782079696655,2106846,1490436,1083314,187,132,96,2
56,50,53,6861.0,313.90663504600525,2245713,1600646,1232729,199,142,109,2
57,51,52,6794.5,310.4924215078354,2174203,1598157,1239956,193,142,110,2
58,53,53,7073.0,315.90663504600525,2115482,1542366,1173423,188,137,104,2
59,52,52,6560.0,305.90663504600525,2091076,1521247,1269777,186,135,113,2
60,52,53,6857.0,313.90663504600525,2245078,1603642,1229296,199,142,109,2
61,52,52,6882.5,313.66399443149567,2189974,1573457,1206915,194,140,107,2
62,52,53,6788.5,311.3208485841751,2242445,1614726,1246143,199,143,110,2
63,52,53,6576.0,305.5634891986847,2061411,1495818,1264261,183,133,112,2
64,52,52,6676.5,308.4924215078354,2205235,1623470,1264458,196,144,112,2
65,52,54,7294.5,322.97770273685455,1969401,1346704,1100425,175,119,97,2
66,52,53,6540.5,306.4924215078354,2241171,1654131,1309228,199,147,116,2
