,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,51,52,5460.5,286.83556735515594,1678777,1706159,1575727,149,151,140,3
1,51,51,5829.5,296.83556735515594,1608935,1638463,1498587,143,145,133,3
2,52,54,5107.0,278.9360725879669,1726308,1750680,1635946,153,155,145,3
3,51,54,5171.0,278.45079135894775,1774216,1793949,1630395,157,159,145,3
4,53,52,6689.5,309.8061298131943,1365239,1383058,1239301,121,123,110,3
5,53,52,7290.5,323.11983811855316,1240740,1259852,1099981,110,112,97,3
6,52,53,7013.0,313.5634891986847,1350676,1367287,1193061,120,121,106,3
7,53,52,6295.5,300.14927566051483,1443041,1461391,1324151,128,130,117,3
8,53,52,5909.0,293.90663504600525,1533111,1552250,1423111,136,138,126,3
9,52,53,5070.5,276.69343197345734,1832797,1854449,1683325,163,165,149,3
10,51,53,4883.0,272.45079135894775,1762173,1788303,1682402,156,159,149,3
11,51,53,4879.5,272.69343197345734,1779513,1805598,1692348,158,160,150,3
12,53,52,7379.5,321.8061298131943,1237864,1256475,1089711,110,111,96,3
13,53,50,5371.5,291.66399443149567,1745678,1767012,1590925,155,157,141,3
14,52,53,5045.0,276.1076455116272,1723306,1749094,1641675,153,155,146,3
15,53,50,5528.5,294.4924215078354,1687561,1709495,1540495,150,152,137,3
16,51,54,5085.5,278.3502861261368,1722558,1747408,1635808,153,155,145,3
17,53,50,5834.5,300.4924215078354,1585120,1606269,1449725,141,142,129,3
18,51,50,6816.5,317.66399443149567,1364960,1400861,1260746,121,124,112,3
19,52,50,6731.5,315.66399443149567,1353700,1384314,1263767,120,123,112,3
20,52,54,5124.0,277.2792184352875,1811530,1831311,1665819,161,162,148,3
21,51,50,6516.5,310.4924215078354,1459745,1496982,1343546,129,133,119,3
22,51,50,7100.5,326.14927566051483,1329102,1370560,1208871,118,121,107,3
23,51,54,5205.0,279.0782079696655,1741408,1760656,1635135,154,156,145,3
24,52,53,5085.5,277.52185904979706,1718361,1744055,1634336,152,155,145,3
25,52,50,6773.5,319.3208485841751,1323490,1352159,1236282,117,120,110,3
26,51,54,5221.0,279.4213538169861,1725259,1744750,1619096,153,155,144,3
27,51,50,7090.0,327.22034335136414,1232963,1260723,1138684,109,112,101,3
28,51,53,4993.5,274.69343197345734,1732222,1757254,1653968,154,156,147,3
29,53,50,5174.5,285.3208485841751,1800977,1823182,1646039,160,162,146,3
30,51,53,4905.0,272.45079135894775,1750464,1776093,1673514,155,158,148,3
31,53,50,5157.0,285.4213538169861,1836897,1859465,1674150,163,165,148,3
32,53,53,7198.0,320.3919162750244,1253452,1274421,1118137,111,113,99,3
33,52,54,4845.0,272.1076455116272,1800702,1827016,1707766,160,162,151,3
34,52,52,5416.5,283.66399443149567,1650369,1669470,1548132,146,148,137,3
35,52,52,5256.0,282.59292674064636,1707540,1728064,1607581,151,153,143,3
36,52,54,4800.5,270.69343197345734,1831751,1855829,1727181,163,165,153,3
37,51,53,7485.0,324.04877042770386,1211548,1230501,1058648,107,109,94,3
38,52,52,5261.0,282.59292674064636,1695569,1716415,1596546,150,152,142,3
39,53,53,7335.0,320.04877042770386,1263605,1282872,1105707,112,114,98,3
40,52,54,4801.5,270.69343197345734,1861460,1884327,1740935,165,167,154,3
41,52,52,5282.0,282.59292674064636,1699693,1721211,1598865,151,153,142,3
42,52,54,4814.0,270.9360725879669,1870156,1892044,1740997,166,168,154,3
43,52,51,5185.0,279.76449966430664,1730172,1753762,1631679,153,156,145,3
44,51,54,5135.5,279.1787132024765,1725650,1748916,1634863,153,155,145,3
45,53,49,5588.0,295.0782079696655,1662797,1686361,1518055,147,150,135,3
46,52,54,4798.5,270.69343197345734,1859822,1884046,1740057,165,167,154,3
47,51,54,5084.5,277.52185904979706,1722823,1746378,1636607,153,155,145,3
48,53,49,5259.5,286.4924215078354,1772612,1794970,1619806,157,159,144,3
49,53,52,6929.0,313.22034335136414,1318319,1336180,1185526,117,118,105,3
50,51,50,6766.0,317.4213538169861,1366707,1400259,1268609,121,124,112,3
51,52,50,7224.5,328.97770273685455,1299213,1337968,1182349,115,119,105,3
52,50,54,5190.5,280.0071402788162,1721349,1742894,1618726,153,155,144,3
53,53,49,6846.0,322.3919162750244,1305169,1331093,1193554,116,118,106,3
54,51,54,5169.0,278.59292674064636,1725622,1748759,1627338,153,155,144,3
55,53,49,6144.5,309.3208485841751,1495435,1519522,1367430,133,135,121,3
56,52,51,5569.5,290.83556735515594,1658908,1688028,1552325,147,150,138,3
57,51,52,5392.0,284.59292674064636,1688872,1713123,1586503,150,152,141,3
58,52,50,5948.0,299.4213538169861,1582329,1614999,1471382,140,143,130,3
59,51,54,5166.0,278.45079135894775,1779214,1798842,1633848,158,160,145,3
60,51,54,5193.0,279.62236428260803,1763792,1783028,1625781,156,158,144,3
61,52,53,7005.0,314.8771975040436,1359990,1376966,1199619,121,122,106,3
62,52,54,4788.0,270.45079135894775,1851385,1876126,1736675,164,166,154,3
63,53,52,7135.0,320.534051656723,1272199,1290668,1136357,113,114,101,3
64,51,52,5343.0,283.4213538169861,1675100,1693396,1574366,149,150,140,3
65,53,52,6583.0,305.5634891986847,1381645,1399634,1257174,122,124,111,3
66,52,54,4802.5,270.69343197345734,1827452,1852842,1724136,162,164,153,3
67,52,52,5542.0,287.0782079696655,1620207,1637275,1515561,144,145,134,3
68,52,54,4820.0,270.9360725879669,1869008,1891865,1740053,166,168,154,3
69,52,50,7271.0,329.22034335136414,1288164,1329053,1168797,114,118,104,3
70,51,50,6791.5,316.83556735515594,1367686,1402664,1266855,121,124,112,3
71,52,51,5293.0,280.9360725879669,1708726,1731865,1607776,152,154,143,3
72,52,54,4820.0,270.9360725879669,1870750,1893804,1740581,166,168,154,3
