,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,60,64,2602.0,292.9360725879669,2593381,2531350,2305431,230,225,205,4
1,60,64,2713.5,300.4924215078354,2578129,2512327,2269970,229,223,202,4
2,51,60,4425.0,337.50461411476135,2354769,2253058,1911957,209,200,170,4
3,55,53,2742.0,245.1959581375122,2520668,2446839,2259678,224,217,201,4
4,51,59,2566.5,286.0071402788162,2590029,2524093,2293855,230,224,204,4
5,55,52,2415.0,239.53910398483276,2571062,2507640,2329891,228,223,207,4
6,50,51,2316.5,238.46803629398346,2555323,2500884,2358345,227,222,209,4
7,51,62,4943.5,339.4629839658737,2268112,2160092,1808472,201,192,160,4
8,54,52,3742.0,262.16652059555054,2349222,2253256,2047998,209,200,182,4
9,51,61,4346.0,336.19090580940247,2369538,2267910,1931382,210,201,171,4
10,53,53,3035.5,249.09545290470123,2469517,2387206,2196223,219,212,195,4
11,59,63,2477.0,287.76449966430664,2601273,2539763,2324264,231,226,206,4
12,58,63,2663.0,292.9360725879669,2573231,2503438,2275140,229,222,202,4
13,55,52,3704.5,260.7523070573807,2352029,2257600,2060745,209,200,183,4
14,44,51,2236.5,236.61017167568207,2601107,2562120,2422738,231,228,215,4
15,60,65,3199.0,311.22034335136414,2514875,2440319,2165756,223,217,192,4
16,50,51,2110.5,233.78174459934235,2634358,2588338,2431028,234,230,216,4
17,61,65,4254.5,346.43354642391205,2380219,2285810,1943005,211,203,172,4
18,52,51,2165.0,233.53910398483276,2630073,2580536,2410099,234,229,214,4
19,47,64,4433.0,353.36247873306274,2283601,2168804,1909244,203,193,169,4
20,46,64,4207.5,332.29141104221344,2279886,2181102,1968327,202,194,175,4
21,49,52,2304.5,238.95331752300262,2553710,2499568,2358591,227,222,209,4
22,50,52,2091.5,233.29646337032318,2592591,2540055,2398392,230,226,213,4
23,49,51,2588.5,241.78174459934235,2511449,2455495,2305154,223,218,205,4
24,50,61,4826.5,327.8061298131943,2278305,2173112,1835543,202,193,163,4
25,49,51,3054.5,251.09545290470123,2451666,2390928,2217116,218,212,197,4
