,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,52,55,5531.0,286.9360725879669,1585449,1631098,1694380,141,145,150,5
1,53,55,7364.5,321.3208485841751,1144590,1180624,1232870,101,105,109,5
2,52,55,5645.5,289.52185904979706,1553629,1603518,1669953,138,142,148,5
3,53,55,7587.5,326.14927566051483,1102409,1144143,1205276,98,101,107,5
4,52,55,5463.0,284.45079135894775,1592552,1636519,1696943,141,145,151,5
5,52,55,5544.0,286.1076455116272,1578629,1622273,1680477,140,144,149,5
6,52,55,5535.5,286.69343197345734,1583238,1625707,1684824,140,144,149,5
7,52,55,5792.0,290.59292674064636,1527470,1577915,1644604,135,140,146,5
8,52,56,5618.0,292.9360725879669,1553915,1602980,1660869,138,142,147,5
9,53,55,5871.0,294.9360725879669,1528192,1565428,1619254,136,139,144,5
10,53,56,7093.5,316.4924215078354,1219128,1261034,1318795,108,112,117,5
11,53,56,6666.0,307.4213538169861,1323296,1362921,1418857,117,121,126,5
12,53,55,5995.0,297.4213538169861,1501918,1536913,1592902,133,136,141,5
13,52,56,6529.5,306.0071402788162,1324837,1352061,1383967,117,120,123,5
14,52,55,6264.0,300.2497808933258,1435677,1470354,1528475,127,130,136,5
15,52,55,5584.5,287.1787132024765,1576941,1628082,1695038,140,144,150,5
16,52,55,5517.0,285.2792184352875,1580320,1625035,1682781,140,144,149,5
17,52,55,5530.5,285.52185904979706,1601806,1656834,1729869,142,147,153,5
18,51,55,5559.5,290.0071402788162,1587212,1643356,1715963,141,146,152,5
19,53,55,7328.5,319.3208485841751,1156202,1193666,1247872,102,106,111,5
20,52,55,6153.5,297.52185904979706,1451597,1488875,1543802,129,132,137,5
21,52,55,5624.5,288.3502861261368,1569922,1622511,1693587,139,144,150,5
22,52,56,6261.5,300.3502861261368,1392690,1419022,1452314,123,126,129,5
23,52,55,5585.5,286.69343197345734,1568642,1619094,1686377,139,144,150,5
24,52,55,5576.5,288.3502861261368,1575120,1625673,1693525,140,144,150,5
25,51,55,5962.0,294.1076455116272,1478262,1506740,1542310,131,134,137,5
26,52,55,6126.0,296.9360725879669,1458825,1494762,1550803,129,133,138,5
27,52,56,6562.5,307.66399443149567,1362441,1403992,1466955,121,124,130,5
28,52,55,5562.5,287.52185904979706,1566430,1614038,1670297,139,143,148,5
29,52,55,5685.0,288.9360725879669,1546233,1593565,1648844,137,141,146,5
30,52,55,5604.5,288.69343197345734,1565683,1611787,1669381,139,143,148,5
31,52,55,5455.0,284.1076455116272,1593147,1639058,1698541,141,145,151,5
32,52,55,5521.0,286.1076455116272,1581007,1626277,1683194,140,144,149,5
33,52,54,5566.0,285.76449966430664,1583267,1635324,1706706,140,145,151,5
34,51,55,6385.5,304.3502861261368,1399853,1438085,1495164,124,127,133,5
35,53,55,5996.0,294.1076455116272,1496860,1531988,1587166,133,136,141,5
36,52,54,5554.5,284.69343197345734,1588856,1640923,1712029,141,146,152,5
37,51,55,6072.5,297.52185904979706,1472788,1506774,1555331,131,134,138,5
38,53,55,7366.5,322.14927566051483,1136264,1168224,1216103,101,103,108,5
39,52,55,7578.5,326.97770273685455,1086463,1117724,1161514,96,99,103,5
40,52,55,5584.5,284.69343197345734,1579890,1633789,1704695,140,145,151,5
41,52,56,6769.0,310.2497808933258,1268291,1293780,1326815,112,115,118,5
42,51,55,5551.0,284.9360725879669,1596629,1652699,1725527,142,147,153,5
43,53,55,7197.5,319.3208485841751,1168858,1196003,1233361,104,106,109,5
44,52,54,5740.5,291.1787132024765,1539717,1591733,1659239,137,141,147,5
45,52,54,5552.0,285.76449966430664,1583947,1634652,1703533,140,145,151,5
46,51,55,7409.5,322.14927566051483,1160193,1201916,1268825,103,106,112,5
47,52,55,6747.0,309.0782079696655,1320876,1360465,1422167,117,121,126,5
48,51,55,7228.0,317.90663504600525,1210918,1251558,1319040,107,111,117,5
49,53,55,6455.5,305.1787132024765,1375978,1413859,1471806,122,125,130,5
50,51,55,7376.0,321.5634891986847,1172787,1213372,1282476,104,107,114,5
51,52,55,5591.0,287.2792184352875,1562507,1613358,1679450,139,143,149,5
52,52,56,6160.5,298.3502861261368,1422774,1448229,1483758,126,128,132,5
53,52,55,5589.5,286.69343197345734,1568162,1620436,1685599,139,144,150,5
54,52,56,6576.0,307.4213538169861,1315275,1340659,1374538,117,119,122,5
55,53,55,5910.0,294.1076455116272,1506371,1540696,1592817,134,137,141,5
56,51,55,6929.0,314.2497808933258,1276660,1323063,1388481,113,117,123,5
57,53,55,5615.5,288.3502861261368,1565995,1610694,1668712,139,143,148,5
58,52,55,5499.0,286.1076455116272,1580271,1626966,1682481,140,144,149,5
59,52,55,5649.5,288.83556735515594,1559477,1610648,1677863,138,143,149,5
60,52,55,5580.0,287.2792184352875,1577600,1630142,1702063,140,145,151,5
61,50,55,5866.5,297.52185904979706,1517620,1546726,1589196,135,137,141,5
