,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,10,28,1.0,4.0,1932696,1858948,1611690,172,165,143,6
1,53,50,6720.0,335.36247873306274,1891634,1807883,1572323,168,160,139,6
2,53,59,3637.5,260.5512965917587,2557556,2450340,2205173,227,218,196,6
3,53,59,3548.0,261.13708305358887,2569856,2469762,2228276,228,219,198,6
4,58,53,3586.5,261.37972366809845,2542194,2422914,2201425,226,215,195,6
5,53,59,3633.0,262.7939372062683,2558225,2449752,2205257,227,218,196,6
6,59,52,3549.5,261.722869515419,2569228,2453234,2211672,228,218,196,6
7,53,59,3140.5,262.8944424390793,2537481,2439272,2228720,225,217,198,6
8,53,52,5824.0,313.22034335136414,2019665,1952156,1701696,179,173,151,6
9,33,68,13.5,17.071067690849304,2550881,2451216,2236339,227,218,199,6
10,51,52,5145.5,282.4924215078354,2130281,2066137,1830513,189,183,162,6
11,52,60,3610.5,284.69343197345734,2418905,2345707,2130884,215,208,189,6
12,58,54,6250.5,437.20309841632843,2021220,1943507,1593681,179,172,141,6
13,58,53,3590.0,261.62236428260803,2539805,2419614,2200882,226,215,195,6
14,49,55,5493.5,302.83556735515594,2229438,2175565,1859331,198,193,165,6
15,6,48,1.5,5.414213538169861,1924712,1834348,1598621,171,163,142,6
16,53,61,3303.0,286.59292674064636,2472465,2390082,2186539,220,212,194,6
17,52,60,3514.5,258.5512965917587,2433524,2361618,2156226,216,210,191,6
18,13,48,3.5,7.414213538169861,2012618,1906333,1645617,179,169,146,6
19,52,60,3539.5,262.20815074443817,2429102,2368615,2158923,216,210,192,6
20,52,60,3556.5,277.8650048971176,2424509,2365776,2154145,215,210,191,6
21,47,56,4206.5,276.3502861261368,2379374,2331957,2078797,211,207,185,6
22,48,55,3804.5,266.69343197345734,2431185,2382125,2153546,216,212,191,6
23,52,60,3638.0,260.30865597724915,2419154,2354132,2137745,215,209,190,6
24,53,59,3537.5,259.722869515419,2569979,2470905,2229215,228,219,198,6
25,52,60,3438.5,267.8650048971176,2445519,2372938,2170058,217,211,193,6
26,52,60,3620.5,261.722869515419,2428132,2359842,2141245,216,210,190,6
27,53,60,3271.5,262.20815074443817,2575084,2481941,2260648,229,220,201,6
28,52,60,3610.5,274.20815074443817,2423076,2361014,2146017,215,210,190,6
29,11,77,15.5,15.071067690849304,1991156,1899045,1598085,177,169,142,6
30,18,40,3.5,7.414213538169861,1937463,1813426,1556386,172,161,138,6
31,49,55,3794.5,269.722869515419,2432627,2380228,2151752,216,211,191,6
32,52,59,3489.0,260.30865597724915,2570187,2474039,2235467,228,220,198,6
33,58,53,3499.0,258.30865597724915,2564682,2448235,2222279,228,217,197,6
34,53,59,3550.5,258.5512965917587,2568035,2466721,2225303,228,219,198,6
35,51,52,5089.5,284.83556735515594,2137971,2074826,1844578,190,184,164,6
36,5,52,2.0,6.0,2182016,2062772,1734386,194,183,154,6
37,11,53,107.0,57.455843687057495,2391841,2293188,2015053,212,204,179,6
38,52,60,3523.0,257.9655101299286,2432164,2358645,2152783,216,209,191,6
39,52,60,3402.5,278.3502861261368,2457900,2379662,2174075,218,211,193,6
40,52,60,3461.0,260.45079135894775,2441687,2369270,2165199,217,210,192,6
41,56,51,6290.0,322.8771975040436,1973324,1877426,1629743,175,167,145,6
42,54,61,3066.5,354.29141104221344,2480981,2391819,2189836,220,212,194,6
43,16,48,6.0,10.0,2042081,1928838,1640623,181,171,146,6
44,52,59,3601.0,255.82337474822998,2494679,2394526,2162438,222,213,192,6
45,12,53,187.0,65.11269783973694,2435374,2332408,2052799,216,207,182,6
