,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,17,68,7.0,10.828427076339722,2718541,2433712,1594071,241,216,141,7
1,12,46,34.5,24.727921843528748,2717479,2456859,1633969,241,218,145,7
2,22,59,95.5,40.72792184352875,2710883,2442687,1563670,241,217,139,7
3,14,57,65.0,32.97056245803833,2711934,2443342,1575958,241,217,140,7
4,13,44,36.5,24.727921843528748,2718248,2456824,1636491,241,218,145,7
5,57,54,1.5,5.414213538169861,2748721,2528993,1726299,244,225,153,7
6,12,68,17.5,21.899494767189026,2732178,2450667,1602071,243,218,142,7
7,9,66,4.0,8.828427076339722,2744582,2483307,1647350,244,221,146,7
8,18,67,1.0,4.0,2740392,2502571,1724487,243,222,153,7
9,34,70,3.5,8.242640614509583,2696389,2409969,1576491,239,214,140,7
10,9,65,1.5,5.414213538169861,2741972,2473399,1623508,244,220,144,7
11,36,70,6.0,9.656854152679443,2742379,2505443,1710757,244,222,152,7
12,38,84,5.0,11.656854152679443,2706600,2441663,1639200,240,217,145,7
13,41,63,6.0,10.828427076339722,2748652,2509670,1719543,244,223,153,7
14,14,73,1.0,4.0,2749719,2508892,1709220,244,223,152,7
15,64,46,2.0,8.828427076339722,2748533,2505034,1714487,244,222,152,7
16,21,46,52.0,29.313708305358887,2730063,2478423,1636269,242,220,145,7
17,24,85,1.0,4.828427076339722,2703364,2439545,1640432,240,217,145,7
18,35,47,74.0,41.79898953437805,2739507,2501362,1655853,243,222,147,7
19,39,59,10.0,12.828427076339722,2750742,2516887,1740563,244,224,154,7
20,44,61,3.0,6.828427076339722,2753297,2518425,1736199,245,224,154,7
21,54,66,2.0,6.828427076339722,2752653,2540585,1761657,244,226,156,7
22,27,68,1.0,4.0,2737415,2500105,1713754,243,222,152,7
23,12,68,1.0,4.0,2732015,2449218,1606155,243,217,142,7
24,70,68,3052.0,310.8771975040436,2696729,2438014,1659454,240,216,147,7
25,58,70,1.0,4.0,2713887,2452759,1650822,241,218,146,7
26,7,44,15.5,17.071067690849304,2710050,2443924,1626298,241,217,144,7
27,9,45,23.0,20.485281229019165,2712227,2453105,1650399,241,218,146,7
28,4,53,3.5,8.242640614509583,2719140,2463844,1648666,242,219,146,7
29,59,58,5.0,11.656854152679443,2748644,2523559,1759382,244,224,156,7
30,23,80,2.0,6.0,2741159,2523004,1742626,243,224,155,7
31,25,84,1.5,5.414213538169861,2696523,2420879,1591272,239,215,141,7
32,21,78,1.0,4.0,2742815,2523231,1748284,244,224,155,7
33,71,71,2796.5,384.0904005765915,2708743,2444472,1622666,241,217,144,7
34,67,62,1.0,4.0,2715115,2448524,1597711,241,217,142,7
35,27,68,2.0,6.0,2760591,2541388,1739322,245,226,154,7
36,17,45,46.5,28.727921843528748,2724633,2473649,1646720,242,220,146,7
37,52,71,3.5,8.242640614509583,2715815,2456041,1635609,241,218,145,7
38,9,65,1.0,4.0,2745441,2492408,1652366,244,221,147,7
39,6,44,5.5,10.242640614509583,2704540,2440352,1636876,240,217,145,7
40,13,68,21.0,22.485281229019165,2737028,2462988,1627103,243,219,144,7
41,14,45,40.0,26.14213538169861,2720300,2461767,1633080,242,219,145,7
42,5,53,6.5,10.242640614509583,2728116,2483241,1697084,242,221,151,7
43,61,62,14.0,19.313708305358887,2714806,2452485,1630543,241,218,145,7
44,26,68,1.5,5.414213538169861,2737004,2498863,1714481,243,222,152,7
45,13,57,59.5,30.727921843528748,2712862,2446071,1581448,241,217,140,7
46,21,58,106.5,41.55634891986847,2714351,2451119,1591237,241,218,141,7
47,26,71,7.0,13.656854152679443,2746080,2529579,1737194,244,225,154,7
48,58,46,6.0,13.656854152679443,2715502,2431501,1595880,241,216,142,7
49,37,79,1.0,4.828427076339722,2702462,2423661,1602564,240,215,142,7
50,26,70,8.0,14.828427076339722,2746210,2513841,1739448,244,223,154,7
51,31,75,16.0,22.485281229019165,2743299,2502109,1722462,244,222,153,7
52,53,73,1.0,4.0,2706025,2449215,1669104,240,217,148,7
53,23,46,47.5,28.727921843528748,2731455,2480753,1636402,243,220,145,7
54,38,71,2.0,6.0,2745095,2509298,1682046,244,223,149,7
55,38,84,1.0,4.828427076339722,2704255,2439272,1634882,240,217,145,7
56,18,78,4.0,8.828427076339722,2741706,2505120,1711815,244,222,152,7
57,39,69,25.0,23.313708305358887,2740587,2507466,1729542,243,223,153,7
58,68,70,2613.5,332.29141104221344,2710122,2475968,1736809,241,220,154,7
59,19,66,1.0,4.0,2748242,2511247,1719562,244,223,153,7
60,58,62,13.0,18.485281229019165,2715707,2460608,1655097,241,218,147,7
61,25,76,2.5,7.414213538169861,2723354,2474079,1672281,242,220,148,7
62,15,67,1.0,4.0,2734218,2451584,1604592,243,218,142,7
63,56,46,2.0,6.0,2749094,2538211,1754481,244,225,156,7
64,10,66,5.0,8.828427076339722,2745361,2484878,1652598,244,221,147,7
65,13,45,37.5,25.899494767189026,2717906,2459522,1631282,241,218,145,7
66,22,58,108.5,43.21320307254791,2715109,2451081,1593432,241,218,141,7
67,28,69,4.0,8.828427076339722,2701552,2415658,1580615,240,214,140,7
68,47,62,2.0,6.828427076339722,2740932,2525201,1740274,243,224,154,7
69,17,68,6.0,10.828427076339722,2714838,2430479,1601508,241,216,142,7
70,39,74,3.0,6.828427076339722,2744568,2529501,1735257,244,225,154,7
71,35,80,1.5,5.414213538169861,2702637,2412736,1571951,240,214,139,7
72,33,70,5.0,8.828427076339722,2696022,2409077,1569803,239,214,139,7
73,10,71,3.0,8.0,2752311,2519868,1737658,244,224,154,7
74,26,68,1.5,5.414213538169861,2735667,2496660,1712081,243,222,152,7
75,36,71,1.0,4.0,2743648,2508567,1680420,244,223,149,7
76,22,46,49.5,28.727921843528748,2729319,2479392,1635126,242,220,145,7
77,46,71,1.5,5.414213538169861,2752748,2537753,1758844,244,225,156,7
78,13,59,2.0,6.828427076339722,2746331,2503385,1664437,244,222,148,7
79,67,64,1.5,5.414213538169861,2724008,2471998,1652004,242,220,147,7
80,30,79,3.5,7.414213538169861,2706097,2458878,1692758,240,218,150,7
81,40,81,18.0,18.485281229019165,2701401,2440641,1642755,240,217,146,7
82,64,56,1.0,4.0,2742481,2509218,1734570,244,223,154,7
83,69,66,3563.5,374.9188276529312,2741580,2494844,1693602,243,222,150,7
84,39,69,27.5,23.899494767189026,2742063,2508070,1732330,244,223,154,7
85,17,77,9.0,19.656854152679443,2743601,2505067,1713396,244,222,152,7
86,28,68,1.0,4.0,2738528,2499906,1715113,243,222,152,7
87,34,69,2.5,7.414213538169861,2736277,2495150,1700712,243,222,151,7
88,10,67,1.5,5.414213538169861,2749036,2515670,1736969,244,223,154,7
89,23,76,3.5,9.41421353816986,2741235,2502467,1658562,243,222,147,7
90,6,53,13.5,14.242640614509583,2729417,2482682,1701585,242,220,151,7
91,4,53,3.5,8.242640614509583,2721115,2463671,1647296,242,219,146,7
92,58,58,1.5,5.414213538169861,2747758,2524266,1757730,244,224,156,7
93,22,67,1.0,4.0,2736067,2494827,1703085,243,222,151,7
94,59,72,1.0,4.0,2707814,2443778,1627229,240,217,144,7
95,26,83,1.5,5.414213538169861,2701374,2439850,1640676,240,217,146,7
96,8,44,18.5,17.899494767189026,2708858,2442158,1625875,241,217,144,7
97,73,52,1.5,5.414213538169861,2715060,2454772,1647842,241,218,146,7
98,55,62,1.0,4.0,2714020,2455483,1653922,241,218,147,7
99,21,78,1.0,4.0,2742133,2522277,1747960,244,224,155,7
100,27,83,2.0,6.0,2698259,2424056,1599248,240,215,142,7
101,22,80,1.5,5.414213538169861,2740237,2523089,1743434,243,224,155,7
102,77,52,2.0,6.0,2716498,2448853,1594047,241,217,141,7
103,6,54,24.0,20.485281229019165,2724128,2467431,1656624,242,219,147,7
104,54,71,4.0,8.828427076339722,2717459,2456958,1635316,241,218,145,7
105,34,77,9.0,11.656854152679443,2751100,2539355,1755581,244,226,156,7
106,69,66,3451.0,322.3919162750244,2702136,2430456,1620942,240,216,144,7
107,65,57,3.5,7.414213538169861,2719049,2456065,1618256,241,218,144,7
108,9,56,43.5,26.727921843528748,2716112,2452131,1610402,241,218,143,7
109,26,75,1.5,7.414213538169861,2695967,2412514,1577357,239,214,140,7
110,14,46,40.5,26.727921843528748,2720038,2461622,1627371,242,219,144,7
111,49,66,6.0,11.656854152679443,2744950,2531311,1772961,244,225,157,7
112,46,72,93.5,69.69848430156708,2706491,2444547,1643061,240,217,146,7
113,19,76,1.5,5.414213538169861,2745220,2522483,1750743,244,224,155,7
114,11,52,6.5,12.242640614509583,2745876,2497727,1656966,244,222,147,7
115,17,78,1.0,4.0,2761150,2537986,1735456,245,225,154,7
116,28,71,2.0,6.0,2759288,2541133,1742477,245,226,155,7
117,60,46,1.0,4.0,2746172,2498551,1686844,244,222,150,7
118,21,46,51.0,29.313708305358887,2728105,2478009,1636939,242,220,145,7
119,67,66,3817.5,373.74725472927094,2744283,2503718,1717467,244,222,152,7
120,71,69,2811.5,311.8061298131943,2697706,2443567,1672680,240,217,148,7
121,24,69,4.0,8.828427076339722,2705942,2421174,1593287,240,215,141,7
122,31,68,4.0,7.656854152679443,2738707,2503160,1718439,243,222,152,7
123,46,72,1.0,4.0,2740270,2524647,1742469,243,224,155,7
124,16,69,3.0,6.828427076339722,2721564,2433216,1589766,242,216,141,7
125,27,81,1.0,4.828427076339722,2753515,2537954,1743439,245,225,155,7
126,33,62,4.5,10.242640614509583,2754389,2520531,1735373,245,224,154,7
127,60,59,4.5,8.242640614509583,2735046,2488360,1627347,243,221,144,7
128,39,48,73.0,43.79898953437805,2743664,2509432,1683025,244,223,149,7
129,55,61,1.5,5.414213538169861,2745050,2515751,1731259,244,223,154,7
130,20,68,2.0,6.0,2740009,2502764,1729256,243,222,153,7
131,30,77,9.5,12.242640614509583,2715254,2455288,1627406,241,218,144,7
132,23,77,1.0,4.0,2726120,2478466,1688939,242,220,150,7
133,72,53,1.5,5.414213538169861,2716531,2454744,1644228,241,218,146,7
134,66,64,4139.0,374.3330411911011,2748285,2505951,1711993,244,223,152,7
135,59,72,2.0,6.0,2708470,2441345,1633284,241,217,145,7
136,13,45,39.0,25.313708305358887,2720892,2460689,1628173,242,219,144,7
137,20,46,50.5,29.55634891986847,2728581,2477012,1640209,242,220,145,7
138,30,84,1.0,4.0,2704092,2439520,1640672,240,217,146,7
139,35,80,5.0,8.828427076339722,2701360,2442760,1644111,240,217,146,7
140,38,74,2.5,7.414213538169861,2741648,2503963,1725763,244,222,153,7
141,56,26,1.0,4.0,2750128,2506883,1710110,244,223,152,7
142,68,58,9.5,12.242640614509583,2721847,2461328,1639180,242,219,145,7
143,35,69,8.5,12.242640614509583,2736346,2496615,1699253,243,222,151,7
144,35,83,1.0,4.0,2717814,2455558,1638273,241,218,145,7
145,10,66,7.0,10.828427076339722,2740901,2472291,1625064,243,220,144,7
146,51,46,9.0,12.828427076339722,2754925,2540662,1767571,245,226,157,7
147,20,69,7.0,11.656854152679443,2708095,2421466,1579897,241,215,140,7
148,67,53,6.5,10.242640614509583,2745708,2523774,1756251,244,224,156,7
149,41,79,1.0,4.0,2699784,2417253,1590486,240,215,141,7
150,32,75,3.0,8.0,2744538,2534590,1765246,244,225,157,7
151,11,57,57.0,30.14213538169861,2714335,2448306,1596114,241,217,142,7
152,37,70,8.5,12.242640614509583,2711195,2442267,1568226,241,217,139,7
153,47,72,8.0,10.828427076339722,2742027,2506329,1681598,244,223,149,7
154,24,46,55.0,30.14213538169861,2732555,2482208,1632170,243,220,145,7
155,34,80,9.5,15.071067690849304,2698515,2441834,1640695,240,217,146,7
156,67,45,2.0,6.0,2745259,2514236,1737851,244,223,154,7
157,56,73,4.0,8.828427076339722,2701923,2439598,1640073,240,217,145,7
158,36,84,1.0,4.0,2726752,2476241,1640367,242,220,145,7
159,13,45,38.0,26.14213538169861,2718440,2459864,1629929,241,218,145,7
160,66,58,5.5,9.41421353816986,2721384,2462960,1638313,242,219,145,7
161,51,70,1.5,5.414213538169861,2707372,2466598,1713368,240,219,152,7
162,48,56,59.5,52.38477599620819,2747953,2510472,1721169,244,223,153,7
163,16,72,4.0,8.828427076339722,2748532,2506955,1710357,244,223,152,7
164,29,59,118.5,47.55634891986847,2714393,2448161,1584166,241,217,140,7
165,53,71,5.5,10.242640614509583,2715283,2454801,1640297,241,218,145,7
166,67,65,3949.0,405.64674949645996,2747728,2529273,1726438,244,225,153,7
167,13,68,17.5,23.071067690849304,2729651,2445690,1608958,242,217,143,7
168,24,46,54.0,30.97056245803833,2730395,2481602,1631050,243,220,145,7
169,33,80,3.5,7.414213538169861,2739328,2497896,1653706,243,222,147,7
170,32,69,4.5,9.41421353816986,2700347,2418438,1597666,240,215,142,7
171,46,68,4.0,8.828427076339722,2727448,2476442,1683560,242,220,149,7
172,29,71,11.5,18.242640614509583,2745645,2529576,1730145,244,225,153,7
173,22,69,4.0,8.828427076339722,2708385,2420899,1587059,241,215,141,7
174,19,58,106.0,40.97056245803833,2715843,2451303,1597447,241,218,142,7
175,54,52,1.0,4.0,2717219,2450769,1606412,241,218,142,7
176,66,57,6.0,10.828427076339722,2719271,2454665,1617722,242,218,143,7
177,18,77,2.0,6.828427076339722,2745172,2523320,1752451,244,224,155,7
178,47,72,123.0,73.11269783973694,2709508,2446920,1644340,241,217,146,7
179,48,66,5.0,10.828427076339722,2743229,2530917,1771750,244,225,157,7
180,36,70,9.0,13.656854152679443,2696221,2413382,1582980,239,214,140,7
181,60,72,3.0,6.828427076339722,2707031,2441571,1630780,240,217,145,7
182,58,42,1.0,4.0,2706654,2433888,1609833,240,216,143,7
183,30,72,2.0,6.828427076339722,2744051,2496248,1695358,244,222,150,7
184,51,66,1.0,4.0,2699859,2431213,1630177,240,216,145,7
185,62,46,2.5,9.41421353816986,2749417,2505931,1714312,244,223,152,7
186,11,73,3.0,8.0,2757549,2531138,1759865,245,225,156,7
187,20,74,1.0,4.0,2751163,2532616,1735894,244,225,154,7
188,10,52,5.5,9.41421353816986,2747333,2496199,1656528,244,222,147,7
189,45,74,1.5,5.414213538169861,2751772,2538397,1756056,244,225,156,7
190,32,72,1.0,4.0,2757520,2541113,1742704,245,226,155,7
191,8,44,17.5,17.071067690849304,2709898,2443580,1621948,241,217,144,7
192,29,69,2.0,6.0,2760301,2540141,1735293,245,226,154,7
193,69,68,3271.0,379.8477599620819,2751897,2536854,1740807,244,225,154,7
194,14,78,1.0,4.0,2744836,2509612,1684184,244,223,149,7
195,14,67,1.0,4.0,2724740,2444949,1613705,242,217,143,7
196,23,69,5.0,8.828427076339722,2706335,2421955,1586992,240,215,141,7
197,41,75,1.0,4.0,2737750,2497165,1697522,243,222,151,7
198,71,69,2773.0,313.36247873306274,2696812,2442858,1667949,240,217,148,7
199,57,72,1.0,4.0,2706559,2440900,1632406,240,217,145,7
200,65,53,1.5,5.414213538169861,2739360,2502623,1725401,243,222,153,7
201,53,60,1.0,4.828427076339722,2744438,2515948,1731458,244,223,154,7
202,44,68,5.0,8.828427076339722,2728218,2478480,1687875,242,220,150,7
203,70,69,2942.0,325.22034335136414,2696278,2439279,1660321,239,217,147,7
204,17,77,3.0,6.828427076339722,2742735,2505045,1713506,244,222,152,7
205,37,69,21.0,21.313708305358887,2741523,2506440,1731289,243,223,154,7
206,69,67,3432.5,368.0904005765915,2742256,2503109,1720519,244,222,153,7
207,30,78,1.5,5.414213538169861,2704798,2431007,1618758,240,216,144,7
208,67,65,3970.0,360.3330411911011,2746066,2505391,1712773,244,222,152,7
209,35,78,3.5,7.414213538169861,2756715,2540082,1746250,245,226,155,7
210,51,68,7.0,11.656854152679443,2760038,2540352,1740043,245,226,154,7
211,35,84,1.0,4.0,2717824,2457181,1632301,241,218,145,7
212,34,69,3.5,9.41421353816986,2711386,2443108,1572810,241,217,139,7
213,18,46,51.0,28.97056245803833,2725518,2474334,1642888,242,220,146,7
214,6,43,5.0,8.828427076339722,2702687,2440689,1639881,240,217,145,7
