,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,53,54,7113.0,320.2497808933258,1279298,1089904,1085553,113,97,96,8
1,50,53,7314.0,331.5634891986847,1218562,1068942,1052856,108,95,93,8
2,51,52,6327.0,308.2497808933258,1429210,1310433,1304877,127,116,116,8
3,53,54,6400.5,308.14927566051483,1466206,1268817,1267581,130,112,112,8
4,49,54,7183.0,319.76449966430664,1226604,1089745,1076174,109,96,95,8
5,54,54,6776.0,316.3919162750244,1373190,1166781,1167369,122,103,103,8
6,50,53,7030.5,317.1787132024765,1289111,1140294,1129502,114,101,100,8
7,48,54,7522.0,330.59292674064636,1122310,987181,977041,99,87,86,8
8,53,53,6228.5,307.3208485841751,1499617,1314128,1313589,133,116,116,8
9,48,54,7295.0,322.59292674064636,1179532,1046737,1034122,104,93,92,8
10,51,53,6994.5,322.83556735515594,1309721,1133850,1125865,116,100,100,8
11,49,54,7293.0,321.76449966430664,1182586,1048283,1037025,105,93,92,8
12,53,55,7102.5,322.83556735515594,1293212,1101115,1096146,115,97,97,8
13,52,53,7062.5,324.4924215078354,1330970,1132130,1126817,118,100,100,8
14,53,55,7063.5,325.3208485841751,1323933,1137833,1132663,117,101,100,8
15,51,52,6381.5,312.83556735515594,1417548,1300650,1293039,126,115,115,8
16,49,53,6965.0,323.4213538169861,1324989,1185571,1181620,117,105,105,8
17,50,53,6548.0,311.90663504600525,1406638,1281302,1270649,125,114,113,8
18,50,52,6575.0,314.2497808933258,1401577,1275125,1266785,124,113,112,8
19,52,53,6909.0,315.2792184352875,1340201,1166974,1161379,119,103,103,8
20,52,53,6235.5,304.4924215078354,1494453,1311382,1309828,133,116,116,8
21,50,53,6730.5,318.4924215078354,1356698,1234052,1227187,120,109,109,8
22,53,54,7035.0,319.4213538169861,1253852,1094997,1090959,111,97,97,8
23,53,54,6868.0,314.9360725879669,1294144,1142731,1139545,115,101,101,8
24,52,54,6773.0,311.2792184352875,1317400,1168926,1166755,117,104,103,8
25,50,53,6601.5,314.4924215078354,1389958,1270478,1261010,123,113,112,8
26,51,53,7208.0,329.4213538169861,1304661,1071774,1071893,116,95,95,8
27,51,53,7353.0,333.90663504600525,1292724,1057130,1054818,115,94,93,8
28,53,54,6957.5,317.1787132024765,1269883,1114570,1113961,113,99,99,8
29,49,54,7534.0,330.2497808933258,1122002,985168,976633,99,87,86,8
30,53,52,6682.5,315.1787132024765,1397561,1206009,1203388,124,107,107,8
31,49,54,7329.0,323.4213538169861,1166883,1034578,1023796,103,92,91,8
32,53,53,6294.5,305.66399443149567,1480840,1300430,1297260,131,115,115,8
33,48,54,7227.0,320.59292674064636,1210032,1074119,1063357,107,95,94,8
34,51,53,6748.0,310.9360725879669,1374416,1206487,1198658,122,107,106,8
35,51,53,6733.5,312.69343197345734,1374868,1208086,1199384,122,107,106,8
36,50,52,6253.0,305.90663504600525,1452601,1334654,1327218,129,118,118,8
37,50,52,6357.5,310.4924215078354,1448016,1322795,1315233,128,117,117,8
38,50,52,6344.5,309.3208485841751,1444095,1317187,1309743,128,117,116,8
39,50,54,7066.0,322.73506212234497,1285959,1153468,1141777,114,102,101,8
40,53,53,6324.5,306.83556735515594,1472615,1289019,1287452,131,114,114,8
41,52,54,6964.0,315.76449966430664,1322384,1150513,1143778,117,102,101,8
42,50,53,6740.5,315.3208485841751,1362657,1234937,1225863,121,109,109,8
43,51,53,6854.5,313.52185904979706,1351952,1183300,1175979,120,105,104,8
44,52,53,7179.0,327.22034335136414,1278112,1074356,1077704,113,95,95,8
45,51,53,6766.0,312.1076455116272,1366913,1198760,1191162,121,106,106,8
46,52,54,6920.5,322.634556889534,1335255,1128450,1129779,118,100,100,8
47,51,53,6880.5,313.52185904979706,1346071,1182739,1174587,119,105,104,8
48,53,53,6735.0,317.76449966430664,1392252,1190786,1191396,123,105,106,8
