,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,53,51,6569.5,310.14927566051483,2658777,1711242,1333211,236,152,118,9
1,53,53,7048.0,318.59292674064636,2677908,1651983,1347126,238,147,119,9
2,52,52,7080.0,318.59292674064636,2645152,1616185,1309161,235,143,116,9
3,52,51,6997.5,319.9482651948929,2688988,1722538,1270826,239,153,113,9
4,52,53,6932.5,314.0071402788162,2663982,1658851,1346369,237,147,119,9
5,52,51,6774.5,314.29141104221344,2693766,1759471,1325941,239,156,118,9
6,52,52,6969.5,317.4629839658737,2686889,1702220,1254674,239,151,111,9
7,52,51,7188.5,325.11983811855316,2680965,1682513,1244251,238,149,110,9
8,52,53,6792.5,310.83556735515594,2658798,1671427,1375206,236,148,122,9
9,52,51,7144.5,323.9482651948929,2684776,1704489,1247361,238,151,111,9
10,53,52,6954.0,317.4213538169861,2647890,1627992,1330018,235,144,118,9
11,53,51,6802.5,315.4629839658737,2660277,1690431,1282394,236,150,114,9
12,53,53,6845.0,315.0782079696655,2636587,1651203,1365809,234,146,121,9
13,51,53,7059.5,318.4924215078354,2655223,1637427,1340753,236,145,119,9
14,53,52,6883.0,316.8771975040436,2671559,1703370,1270460,237,151,113,9
15,51,53,7064.5,316.83556735515594,2652454,1636819,1338234,236,145,119,9
16,53,52,7132.5,321.66399443149567,2649739,1621412,1308454,235,144,116,9
17,52,52,6435.0,308.3919162750244,2648527,1711440,1353500,235,152,120,9
18,52,53,7013.0,317.90663504600525,2666463,1618809,1321292,237,144,117,9
19,52,53,7007.5,319.3208485841751,2660103,1655217,1346760,236,147,119,9
20,52,53,6753.0,313.0782079696655,2657546,1666918,1387473,236,148,123,9
21,52,52,7199.5,319.1787132024765,2699105,1626940,1288344,240,144,114,9
22,53,52,7170.5,318.3502861261368,2687816,1619506,1288741,239,144,114,9
23,52,53,7097.0,318.2497808933258,2654492,1627340,1321446,236,144,117,9
24,52,51,7151.5,323.11983811855316,2685620,1703275,1249647,239,151,111,9
25,53,53,6814.5,311.8061298131943,2691059,1728822,1291226,239,153,114,9
26,52,53,6546.0,305.5634891986847,2698065,1759245,1356834,240,156,120,9
27,52,52,6374.0,306.73506212234497,2696096,1757031,1385484,239,156,123,9
28,54,53,6931.0,320.534051656723,2686116,1708315,1250919,239,152,111,9
29,53,53,6936.5,317.8061298131943,2683781,1714267,1251723,238,152,111,9
30,53,53,7031.0,316.59292674064636,2654711,1633729,1332718,236,145,118,9
31,52,52,7047.0,316.59292674064636,2645596,1624767,1319737,235,144,117,9
32,51,53,7049.5,318.4924215078354,2657823,1639791,1341011,236,145,119,9
33,53,52,6787.5,312.14927566051483,2692720,1725571,1300699,239,153,115,9
34,52,52,7187.5,323.9482651948929,2683752,1694658,1244302,238,150,110,9
35,53,53,6930.0,312.59292674064636,2656500,1641897,1342117,236,146,119,9
36,52,53,6983.5,314.0071402788162,2656349,1623662,1326200,236,144,118,9
37,52,51,7072.5,320.29141104221344,2687812,1712971,1260645,239,152,112,9
38,53,53,6670.5,309.8061298131943,2693432,1747570,1326952,239,155,118,9
39,51,51,5833.0,304.73506212234497,2688762,1876327,1526965,239,166,135,9
40,52,54,6970.0,315.90663504600525,2666363,1640343,1344689,237,145,119,9
41,52,54,6910.0,317.0782079696655,2659961,1662080,1359040,236,147,120,9
42,52,54,6926.5,318.4924215078354,2649854,1640866,1348723,235,146,120,9
43,53,53,6988.5,316.83556735515594,2658796,1649959,1345562,236,146,119,9
44,52,52,6319.5,302.4924215078354,2647278,1729214,1376393,235,153,122,9
45,53,52,7145.0,323.90663504600525,2648275,1622909,1305606,235,144,116,9
46,52,51,7171.5,323.11983811855316,2681453,1679630,1244417,238,149,110,9
47,52,51,5927.0,379.8477599620819,2692713,1870987,1501602,239,166,133,9
48,52,51,6312.5,302.14927566051483,2696475,1838427,1433263,239,163,127,9
49,53,52,6426.5,310.29141104221344,2658885,1628228,1345706,236,144,119,9
50,52,52,6642.5,313.4629839658737,2673584,1625681,1302133,237,144,115,9
51,52,53,7008.5,315.1787132024765,2665184,1628986,1324031,237,144,117,9
52,52,52,7155.0,324.534051656723,2679021,1661525,1238691,238,147,110,9
53,52,53,7092.0,316.9360725879669,2660109,1628112,1321662,236,144,117,9
54,53,52,7026.0,319.7056245803833,2676245,1621687,1238013,238,144,110,9
55,52,52,6989.0,315.4213538169861,2675105,1652761,1328002,238,147,118,9
56,52,53,6657.5,309.4629839658737,2694559,1748820,1327746,239,155,118,9
57,53,52,6947.5,315.8061298131943,2686407,1704697,1257336,239,151,111,9
58,52,53,7184.5,320.0071402788162,2646279,1608045,1293553,235,143,115,9
59,53,51,6996.0,321.7056245803833,2679936,1703282,1241672,238,151,110,9
60,53,53,6961.0,317.0782079696655,2637438,1640035,1342362,234,145,119,9
61,52,53,6344.0,302.73506212234497,2697725,1774746,1397718,240,157,124,9
62,52,51,6984.5,320.29141104221344,2676926,1702136,1253688,238,151,111,9
63,53,52,6568.0,305.5634891986847,2694254,1745244,1349187,239,155,120,9
64,53,53,6838.5,314.83556735515594,2638603,1650227,1364392,234,146,121,9
65,52,52,6920.0,318.04877042770386,2674374,1704186,1265015,238,151,112,9
