,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,49,55,3588.0,260.3675310611725,2576290,2458110,2083636,229,218,185,10
1,52,56,2959.0,248.08326029777527,2566058,2463665,2191776,228,219,195,10
2,53,53,2860.5,248.32590091228485,2615917,2509979,2206248,232,223,196,10
3,53,56,2880.0,247.0538227558136,2584394,2484903,2215545,230,221,197,10
4,49,56,3909.0,271.62236428260803,2501256,2382046,2008193,222,212,178,10
5,50,56,3234.5,257.92387998104095,2596797,2491102,2145945,231,221,190,10
6,53,56,2909.0,247.88224983215332,2584419,2485691,2213025,230,221,196,10
7,52,54,2892.5,247.9827550649643,2635821,2530987,2211329,234,225,196,10
8,52,54,3235.0,246.02438521385193,2524312,2421774,2154102,224,215,191,10
9,52,53,2870.0,243.0538227558136,2584831,2483554,2215027,230,221,197,10
10,53,53,3235.5,246.95331752300262,2508489,2402653,2141308,223,213,190,10
11,54,53,2981.5,249.9827550649643,2580756,2473983,2178689,229,220,193,10
12,52,53,2892.5,243.15432798862457,2569956,2465352,2198548,228,219,195,10
13,49,55,2901.5,249.29646337032318,2619311,2513349,2213680,233,223,197,10
14,54,54,3307.0,251.1959581375122,2532334,2427152,2134752,225,216,189,10
15,54,56,2931.0,250.36753106117249,2572210,2470063,2200711,228,219,195,10
16,53,56,3023.0,250.56854152679443,2581505,2480961,2187956,229,220,194,10
17,53,56,2914.0,249.88224983215332,2572527,2472271,2207170,228,220,196,10
18,52,56,3046.0,249.7401144504547,2581498,2480367,2179165,229,220,193,10
19,53,56,3012.0,251.39696860313416,2585537,2486809,2189783,230,221,194,10
20,49,56,4060.0,268.16652059555054,2515739,2388928,1998517,223,212,177,10
21,50,54,2810.0,244.56854152679443,2628304,2523233,2228884,233,224,198,10
22,51,55,3066.0,250.56854152679443,2560268,2454859,2166817,227,218,192,10
23,52,53,2837.5,246.6690467596054,2631791,2526610,2216068,234,224,197,10
24,51,55,3048.5,249.49747383594513,2556514,2451917,2171745,227,218,193,10
25,55,56,3267.0,248.02438521385193,2532308,2426078,2150775,225,215,191,10
26,50,55,2970.0,248.911687374115,2561091,2457528,2184134,227,218,194,10
