,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,46,50,3805.5,279.1787132024765,2161120,2009458,1952535,192,178,173,11
1,47,51,3559.5,268.69343197345734,2190594,2059778,2005452,194,183,178,11
2,52,54,3903.0,256.5096664428711,2204876,2002241,1961505,196,178,174,11
3,48,58,4313.5,296.4924215078354,2113407,1912171,1851755,188,170,164,11
4,48,58,3976.5,288.83556735515594,2183040,1997282,1940185,194,177,172,11
5,54,56,4291.5,263.37972366809845,2029692,1845507,1822594,180,164,162,11
6,49,52,4060.5,270.06601536273956,2163146,1958617,1918022,192,174,170,11
7,51,53,3950.0,260.99494767189026,2191457,1989512,1949356,195,177,173,11
8,51,59,5036.0,285.76449966430664,2043506,1810765,1743286,181,161,155,11
9,55,56,4520.0,272.45079135894775,1988104,1799005,1776865,176,160,158,11
10,54,57,4733.0,301.22034335136414,1999455,1820175,1771611,177,161,157,11
11,57,51,3498.5,273.0365778207779,2252669,2116464,2057622,200,188,183,11
12,52,54,3072.0,242.36753106117249,2281156,2189589,2132731,203,194,189,11
13,50,53,4032.0,267.4802289009094,2171564,1969380,1930165,193,175,171,11
14,51,54,3064.0,242.71067690849304,2287314,2193879,2134949,203,195,190,11
15,48,52,3409.5,261.37972366809845,2212149,2093707,2038158,196,186,181,11
16,50,53,3215.0,252.6518018245697,2247462,2144782,2088254,200,190,185,11
17,52,53,3761.5,264.7523070573807,2225092,2030768,1983315,198,180,176,11
18,53,57,5040.5,303.3208485841751,2063924,1830144,1738460,183,162,154,11
19,51,54,3752.5,258.2670258283615,2233150,2036424,1986926,198,181,176,11
20,49,57,3681.5,284.0071402788162,2233915,2063550,2006813,198,183,178,11
21,50,58,3636.5,281.1787132024765,2240814,2071120,2012127,199,184,179,11
22,47,51,4181.0,277.9655101299286,2135595,1931547,1888349,190,171,168,11
23,50,58,4038.0,287.76449966430664,2211575,2021618,1946594,196,179,173,11
24,55,56,5031.5,283.52185904979706,1911294,1701598,1669191,170,151,148,11
25,55,51,3944.0,273.13708305358887,2178277,1993597,1947251,193,177,173,11
26,54,53,3838.0,269.13708305358887,2203005,2015521,1969340,196,179,175,11
27,50,56,4186.0,262.6518018245697,2053256,1867712,1845537,182,166,164,11
28,45,49,4030.0,289.4213538169861,2133472,1964480,1907189,189,174,169,11
29,52,54,3892.5,256.7523070573807,2207818,2006355,1963879,196,178,174,11
30,51,59,5534.0,299.76449966430664,1970890,1721093,1641160,175,153,146,11
31,51,53,3953.0,260.99494767189026,2190301,1988335,1946762,194,176,173,11
32,55,56,5250.5,294.83556735515594,1871348,1659618,1625301,166,147,144,11
33,54,57,4391.0,292.3919162750244,2062901,1896300,1846670,183,168,164,11
34,54,57,5506.0,317.22034335136414,1848192,1643775,1593002,164,146,141,11
35,45,49,4036.0,289.4213538169861,2132749,1961091,1905108,189,174,169,11
36,56,51,3459.0,270.45079135894775,2255423,2123396,2061706,200,188,183,11
37,56,51,3983.5,276.5512965917587,2168839,1984975,1939642,193,176,172,11
38,58,50,4035.5,283.37972366809845,2152845,1969931,1924316,191,175,171,11
39,51,54,3787.5,254.2670258283615,2228846,2030139,1983976,198,180,176,11
40,55,58,5286.5,293.0365778207779,2019286,1774133,1695818,179,157,150,11
41,52,54,3871.5,255.09545290470123,2212798,2011836,1968158,196,179,175,11
42,53,59,4853.5,281.1787132024765,2073665,1845874,1783382,184,164,158,11
43,46,50,3863.0,281.76449966430664,2151392,1994348,1936535,191,177,172,11
44,46,51,3603.0,270.1076455116272,2186431,2050893,1995259,194,182,177,11
45,58,50,3741.5,283.52185904979706,2220903,2067569,2013457,197,184,179,11
46,51,54,3078.0,245.1959581375122,2287426,2190490,2129902,203,194,189,11
47,58,50,3894.5,287.52185904979706,2193372,2028094,1976948,195,180,175,11
48,49,56,4563.5,274.69343197345734,1997140,1796590,1766752,177,159,157,11
49,47,57,5081.0,299.4213538169861,1923016,1697279,1649310,171,151,146,11
50,52,53,3106.0,246.85281229019165,2287189,2186516,2126410,203,194,189,11
51,54,52,3224.5,256.4091612100601,2278560,2165217,2103395,202,192,187,11
52,47,58,4554.5,300.4924215078354,2058494,1848689,1790932,183,164,159,11
53,54,57,5579.0,318.04877042770386,1829962,1625643,1578496,162,144,140,11
54,53,57,4550.5,294.97770273685455,2036201,1862923,1815011,181,165,161,11
55,45,49,4014.0,289.4213538169861,2131829,1963794,1908271,189,174,169,11
56,50,56,4166.5,261.23758828639984,2057898,1874379,1851269,183,166,164,11
57,51,53,3138.5,247.5807341337204,2265080,2169621,2112998,201,193,188,11
58,54,56,5158.0,292.2497808933258,1890329,1678454,1645035,168,149,146,11
59,51,53,3969.5,261.5807341337204,2189270,1987001,1947130,194,176,173,11
60,52,54,3900.0,256.16652059555054,2204495,2003469,1962793,196,178,174,11
61,52,59,4887.0,280.59292674064636,2065444,1838478,1775700,183,163,158,11
62,52,54,3876.0,254.5096664428711,2213230,2011122,1968464,196,178,175,11
63,55,58,5167.0,291.2792184352875,2033088,1795348,1719042,180,159,152,11
64,51,54,3788.0,253.68123936653137,2229458,2029990,1983769,198,180,176,11
65,47,51,3590.0,269.2792184352875,2186183,2051939,1997159,194,182,177,11
66,46,50,3830.0,280.59292674064636,2156756,2001963,1945081,191,178,173,11
67,57,50,4069.0,283.2792184352875,2150203,1965046,1917753,191,174,170,11
68,53,52,3201.0,254.16652059555054,2277893,2169416,2107617,202,193,187,11
69,56,51,3991.0,278.7939372062683,2167485,1983602,1937282,192,176,172,11
70,56,51,3465.0,269.62236428260803,2255402,2123222,2063687,200,188,183,11
71,47,57,5221.0,305.4213538169861,1900048,1666868,1618493,169,148,144,11
72,49,56,4613.0,278.1076455116272,1989372,1785517,1753615,177,158,156,11
73,59,50,3910.5,287.1787132024765,2188514,2021043,1971084,194,179,175,11
74,58,50,3740.0,284.1076455116272,2221688,2066940,2014186,197,183,179,11
75,47,58,4624.0,303.90663504600525,2048281,1833700,1773969,182,163,157,11
76,54,53,3191.5,254.40916121006012,2280167,2169886,2108177,202,193,187,11
77,52,53,3099.5,247.4385987520218,2286755,2188139,2127852,203,194,189,11
78,48,58,3941.5,288.83556735515594,2192260,2007285,1950168,195,178,173,11
79,49,52,3301.5,257.722869515419,2232571,2124032,2067654,198,189,184,11
80,48,58,4327.0,299.0782079696655,2112043,1909964,1849119,187,169,164,11
81,57,50,4048.5,283.0365778207779,2154373,1969783,1923627,191,175,171,11
82,55,52,3279.5,260.8944424390793,2267494,2150852,2090633,201,191,186,11
83,52,56,4051.0,282.59292674064636,2226624,2038513,1963323,198,181,174,11
84,53,57,4515.0,295.22034335136414,2039902,1870028,1821740,181,166,162,11
85,51,54,3072.5,242.1248904466629,2286915,2192206,2134007,203,195,189,11
86,52,54,3076.5,242.95331752300262,2282631,2190304,2133707,203,194,189,11
87,57,51,3541.5,273.0365778207779,2247310,2107865,2048912,200,187,182,11
88,53,56,4337.0,265.13708305358887,2023388,1835407,1812388,180,163,161,11
89,54,56,4514.5,270.69343197345734,1995937,1804954,1779631,177,160,158,11
90,47,58,4642.0,306.2497808933258,2044602,1832076,1772551,181,163,157,11
91,51,59,4995.0,282.2497808933258,2048758,1817578,1752384,182,161,155,11
92,52,54,3934.5,259.92387998104095,2194661,1993101,1952550,195,177,173,11
93,49,52,4079.5,268.8944424390793,2161646,1958605,1917569,192,174,170,11
94,50,53,3213.5,253.23758828639984,2248916,2147304,2091550,200,191,186,11
95,48,52,3370.0,260.7939372062683,2220472,2104286,2049616,197,187,182,11
96,51,54,3744.5,257.4385987520218,2235004,2037074,1989665,198,181,177,11
97,51,54,3726.5,261.23758828639984,2232641,2041906,1995024,198,181,177,11
98,50,58,3875.5,284.3502861261368,2238634,2052885,1980417,199,182,176,11
99,47,51,4178.5,278.5512965917587,2136022,1931061,1889083,190,171,168,11
100,53,53,3842.0,268.30865597724915,2204224,2015186,1969075,196,179,175,11
101,49,56,4488.0,272.45079135894775,2007366,1808472,1780781,178,160,158,11
102,55,51,3960.5,273.722869515419,2179642,1992783,1947834,193,177,173,11
103,49,58,3566.5,278.3502861261368,2250951,2083109,2025319,200,185,180,11
104,49,58,3589.0,277.76449966430664,2251705,2084365,2029796,200,185,180,11
105,52,53,3776.5,268.06601536273956,2219644,2028206,1981484,197,180,176,11
106,51,54,3746.0,260.5096664428711,2231321,2036694,1988661,198,181,176,11
107,48,58,4607.5,307.3208485841751,2058435,1843723,1782882,183,164,158,11
108,49,52,3332.0,259.13708305358887,2225343,2113929,2058118,198,188,183,11
109,55,56,5488.5,303.3208485841751,1838326,1630336,1591066,163,145,141,11
