,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,52,54,7874.5,331.3208485841751,1067552,1079546,1118087,95,96,99,12
1,52,54,7634.0,325.90663504600525,1104260,1113947,1158222,98,99,103,12
2,52,54,7792.0,330.2497808933258,1097748,1110438,1161827,97,98,103,12
3,52,53,7833.0,330.73506212234497,1109445,1116374,1157335,98,99,103,12
4,52,56,7219.0,318.2497808933258,1246528,1249808,1287989,110,111,114,12
5,53,54,7725.0,328.2497808933258,1107696,1116008,1163992,98,99,103,12
6,52,54,7278.0,317.90663504600525,1209026,1212036,1232328,107,107,109,12
7,53,54,7239.5,316.4924215078354,1222293,1223984,1244075,108,108,110,12
8,51,55,7610.5,325.66399443149567,1130928,1138229,1168013,100,101,103,12
9,52,54,7271.0,320.2497808933258,1269164,1265075,1301268,112,112,115,12
10,52,55,7589.5,325.66399443149567,1134255,1140006,1166513,100,101,103,12
11,53,55,7195.0,318.2497808933258,1269060,1270152,1308810,112,113,116,12
12,52,55,7318.5,322.4924215078354,1195488,1208710,1267479,106,107,112,12
13,52,53,7783.5,330.4924215078354,1120905,1128371,1171756,99,100,104,12
14,52,54,7077.5,315.66399443149567,1247083,1258170,1309836,110,111,116,12
15,52,54,7889.0,332.59292674064636,1074698,1088221,1139199,95,96,101,12
16,51,54,7844.0,331.0782079696655,1074784,1088573,1133856,95,96,100,12
17,52,54,7314.0,319.0782079696655,1201877,1201668,1227066,106,106,109,12
18,51,54,7767.0,328.73506212234497,1082771,1095611,1132579,96,97,100,12
19,51,54,7694.5,326.4924215078354,1100415,1113748,1150024,97,99,102,12
20,52,53,7379.5,319.3208485841751,1187691,1189427,1213542,105,105,108,12
21,52,54,7018.5,313.66399443149567,1258703,1268206,1289448,112,112,114,12
22,52,55,7505.0,323.0782079696655,1148663,1157204,1187681,102,102,105,12
23,52,53,7022.5,312.0071402788162,1253066,1262035,1283303,111,112,114,12
24,51,53,7660.5,326.4924215078354,1151108,1155072,1198437,102,102,106,12
25,52,55,7489.5,322.83556735515594,1147867,1158641,1186907,102,103,105,12
26,52,54,7223.5,317.3208485841751,1225429,1226988,1245921,109,109,110,12
27,51,54,7144.0,315.0782079696655,1234275,1237363,1256562,109,110,111,12
28,50,55,7155.5,316.14927566051483,1261991,1264397,1303998,112,112,116,12
29,52,54,7903.0,331.0782079696655,1046419,1056257,1081697,93,94,96,12
30,52,55,7374.5,321.3208485841751,1183908,1187185,1238474,105,105,110,12
31,52,54,7883.0,331.0782079696655,1070057,1078795,1104581,95,96,98,12
32,52,53,7220.0,316.73506212234497,1215388,1223497,1246621,108,108,110,12
33,52,54,7972.0,333.0782079696655,1033771,1041786,1061295,92,92,94,12
34,52,55,7634.0,326.2497808933258,1127016,1134388,1163738,100,100,103,12
35,52,55,7628.0,325.0782079696655,1110037,1121082,1145094,98,99,101,12
36,52,54,7220.0,316.73506212234497,1204715,1212079,1232746,107,107,109,12
37,51,55,7834.5,330.4924215078354,1061191,1068187,1090313,94,95,97,12
38,52,54,7211.5,317.3208485841751,1222026,1229165,1254993,108,109,111,12
39,51,54,7769.5,329.3208485841751,1081782,1094024,1135315,96,97,101,12
40,52,54,7438.0,323.90663504600525,1167759,1179950,1237652,103,105,110,12
41,52,54,7404.0,322.73506212234497,1168366,1182388,1238991,103,105,110,12
42,52,55,7652.5,326.4924215078354,1149696,1155157,1197533,102,102,106,12
43,51,54,7753.5,328.4924215078354,1115890,1123259,1169179,99,99,104,12
44,52,53,7863.5,331.66399443149567,1071310,1083580,1132311,95,96,100,12
45,52,54,7824.0,330.73506212234497,1073941,1088083,1126106,95,96,100,12
46,51,54,7877.5,331.3208485841751,1054867,1067053,1112428,93,94,99,12
47,50,55,7301.0,321.0782079696655,1197567,1205891,1247022,106,107,110,12
48,52,54,7216.0,317.0782079696655,1202930,1209878,1233366,107,107,109,12
49,51,54,7429.0,323.0782079696655,1242996,1236160,1278719,110,110,113,12
50,52,55,7633.0,326.2497808933258,1112650,1120348,1148279,99,99,102,12
51,51,54,7091.5,314.4924215078354,1240084,1247847,1269060,110,111,112,12
52,52,55,7631.0,326.2497808933258,1195323,1185516,1234330,106,105,109,12
53,52,53,7131.5,315.66399443149567,1242482,1244578,1266159,110,110,112,12
54,52,54,7290.5,318.4924215078354,1213486,1214033,1238086,107,108,110,12
