,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,55,53,5666.5,294.83556735515594,2161548,1979934,1749863,192,176,155,13
1,52,53,6036.5,295.8650048971176,2135267,1938443,1681843,190,172,149,13
2,51,52,5906.0,296.1076455116272,2111182,1917759,1693681,187,170,150,13
3,52,53,7158.0,321.7056245803833,1979673,1723271,1427993,176,153,127,13
4,53,53,5925.5,293.8650048971176,2154336,1958304,1707344,191,174,151,13
5,55,54,5844.5,295.66399443149567,2139274,1951719,1721343,190,173,153,13
6,53,52,6080.0,296.45079135894775,2128048,1930085,1675738,189,171,149,13
7,53,54,6246.5,304.14927566051483,2083850,1884843,1642469,185,167,146,13
8,51,53,5903.5,295.8650048971176,2110272,1918799,1692109,187,170,150,13
9,51,53,6001.5,296.69343197345734,2119536,1924214,1679593,188,171,149,13
10,55,54,5512.5,289.1787132024765,2158648,1973781,1747121,192,175,155,13
11,51,53,6071.5,298.3502861261368,2099270,1899748,1654401,186,169,147,13
12,54,53,5925.0,297.0782079696655,2075037,1873081,1631100,184,166,145,13
13,52,53,7021.0,318.534051656723,1995898,1746384,1451542,177,155,129,13
14,50,53,5908.0,296.1076455116272,2108848,1914854,1690382,187,170,150,13
15,51,53,6936.0,317.7056245803833,1971135,1749750,1501295,175,155,133,13
16,51,53,6960.0,315.7056245803833,1957217,1736987,1489929,174,154,132,13
17,50,53,6620.0,308.8771975040436,1960288,1753759,1526547,174,156,135,13
18,51,53,7046.0,320.8771975040436,1960107,1733156,1483860,174,154,132,13
19,51,53,7311.0,325.7056245803833,1932347,1696679,1434820,171,151,127,13
20,52,52,5898.5,296.3502861261368,2102834,1918974,1711944,187,170,152,13
21,53,53,6106.0,298.45079135894775,2118188,1922069,1674683,188,171,149,13
22,53,52,6198.0,298.45079135894775,2109002,1911763,1660484,187,170,147,13
23,51,53,7001.0,318.534051656723,1941069,1721543,1484111,172,153,132,13
24,53,52,6110.5,299.52185904979706,2089626,1894550,1650692,185,168,146,13
25,52,52,6123.0,297.2792184352875,2101356,1907037,1659651,187,169,147,13
26,52,53,6880.5,315.11983811855316,2021058,1776142,1485100,179,158,132,13
27,52,52,6139.0,299.2792184352875,2090755,1895805,1652518,186,168,147,13
