,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,52,52,7086.5,320.14927566051483,2289073,2071185,1536881,203,184,136,14
1,63,57,3713.0,362.19090580940247,2485844,2245258,1642843,221,199,146,14
2,16,58,9.5,12.242640614509583,2482225,2218818,1614625,220,197,143,14
3,52,52,7262.0,321.5634891986847,2270919,2049445,1502320,202,182,133,14
4,62,57,3934.0,355.8477599620819,2507012,2263820,1642181,223,201,146,14
5,52,53,6956.5,316.14927566051483,2221713,2003393,1535534,197,178,136,14
6,22,21,2.0,7.656854152679443,2506458,2263861,1645133,223,201,146,14
7,52,53,7066.5,318.4924215078354,2232106,2010306,1520474,198,178,135,14
8,53,54,7156.0,319.22034335136414,2173712,1953523,1497929,193,173,133,14
9,63,58,3657.0,330.534051656723,2510800,2275973,1670496,223,202,148,14
10,53,54,6997.5,315.8061298131943,2198085,1982128,1525744,195,176,135,14
11,27,16,1.0,4.0,2491117,2255140,1654081,221,200,147,14
12,22,58,4.5,9.41421353816986,2474941,2218833,1618472,220,197,144,14
13,52,52,7153.5,321.3208485841751,2255416,2036161,1518097,200,181,135,14
14,30,59,2.0,6.0,2484719,2236086,1643550,221,199,146,14
15,52,52,7247.5,322.14927566051483,2220267,1993740,1485047,197,177,132,14
16,52,55,5829.5,289.66399443149567,2489186,2230953,1622272,221,198,144,14
17,52,53,6972.0,314.73506212234497,2249883,2012405,1536837,200,179,136,14
18,51,53,6461.0,307.5634891986847,2302967,2084146,1644667,204,185,146,14
19,62,58,3936.5,357.6051193475723,2477592,2200954,1582592,220,195,140,14
20,51,53,6560.5,306.97770273685455,2348753,2142802,1629945,209,190,145,14
21,52,54,5980.5,294.4924215078354,2490055,2220100,1585005,221,197,141,14
22,52,55,5837.5,290.4924215078354,2488627,2231032,1619204,221,198,144,14
23,61,58,4144.0,368.3330411911011,2478414,2198391,1571773,220,195,139,14
24,52,54,5979.5,294.4924215078354,2494999,2221679,1586271,222,197,141,14
25,50,52,6284.0,307.5634891986847,2366120,2170774,1682031,210,193,149,14
26,51,55,5821.0,291.0782079696655,2481707,2228331,1621649,220,198,144,14
