,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,53,51,6923.0,326.73506212234497,1932666,1955949,1559727,172,174,138,15
1,53,50,7141.5,332.14927566051483,1955798,1974373,1548193,174,175,137,15
2,53,56,7299.0,321.90663504600525,2055643,2095786,1591272,182,186,141,15
3,53,51,7224.5,334.4924215078354,1986285,2002543,1553032,176,178,138,15
4,51,54,7030.5,322.14927566051483,2110029,2107435,1626014,187,187,144,15
5,56,53,2.0,6.0,2039459,2056831,1623681,181,183,144,15
6,52,55,7417.5,328.14927566051483,1866226,1957848,1515091,166,174,134,15
7,53,55,7358.0,327.5634891986847,1857894,1949379,1521275,165,173,135,15
8,52,55,7298.5,326.14927566051483,1857262,1939839,1521888,165,172,135,15
9,7,58,2.5,7.414213538169861,1888824,1957946,1546202,168,174,137,15
10,52,53,7419.5,328.14927566051483,1792149,1871892,1463606,159,166,130,15
11,51,53,7506.5,329.8061298131943,1790498,1871562,1445431,159,166,128,15
12,52,53,7407.0,327.5634891986847,1800388,1878139,1466602,160,167,130,15
13,51,53,7576.0,328.73506212234497,1861308,1932962,1466091,165,172,130,15
14,51,52,7743.0,332.73506212234497,1800973,1876482,1422301,160,167,126,15
15,52,52,7543.5,330.97770273685455,1777001,1853858,1451540,158,164,129,15
16,52,52,7635.0,333.90663504600525,1766876,1839816,1438743,157,163,128,15
17,53,55,7478.0,327.90663504600525,1869307,1958992,1500273,166,174,133,15
18,61,41,5.0,12.828427076339722,2005317,2034405,1607536,178,181,143,15
19,53,55,7577.0,330.3919162750244,1893711,1976884,1491820,168,175,132,15
20,53,56,7356.5,323.66399443149567,2083171,2115148,1583802,185,188,140,15
21,48,49,2.0,6.828427076339722,2085347,2114463,1597897,185,188,142,15
22,48,53,4.5,14.242640614509583,1924200,1982954,1575864,171,176,140,15
23,53,51,7192.0,328.3919162750244,1844767,1881128,1492943,164,167,132,15
24,51,53,7492.0,328.3919162750244,1794889,1871262,1448049,159,166,128,15
25,51,52,7755.0,331.90663504600525,1797404,1876631,1418639,159,167,126,15
26,53,52,7286.0,330.73506212234497,1912714,1952642,1524843,170,173,135,15
27,53,52,7199.5,329.3208485841751,1935290,1965114,1541158,172,174,137,15
28,52,53,7472.5,326.97770273685455,1793009,1871791,1447783,159,166,128,15
29,61,60,4752.0,468.96045780181885,1961678,2007562,1595882,174,178,142,15
30,51,55,7048.0,323.5634891986847,2093569,2096503,1620737,186,186,144,15
31,52,55,7073.5,322.97770273685455,2054116,2068431,1617638,182,184,143,15
32,51,54,7033.5,322.97770273685455,2117929,2115674,1629794,188,188,145,15
33,52,55,7407.5,324.14927566051483,2032687,2086913,1569067,180,185,139,15
34,52,55,7211.5,324.634556889534,2068750,2085897,1565229,184,185,139,15
35,53,51,7099.0,333.4213538169861,2004547,2023894,1567385,178,180,139,15
36,53,51,7215.5,334.14927566051483,1969947,1990879,1546583,175,177,137,15
37,52,52,7051.0,319.22034335136414,1991587,2056548,1617542,177,183,143,15
38,53,52,7499.5,332.634556889534,1889492,1942551,1501636,168,172,133,15
39,52,51,7255.0,327.22034335136414,1938906,1998262,1563642,172,177,139,15
40,53,55,7505.5,327.3208485841751,1954046,2026041,1527550,173,180,135,15
41,52,55,7507.5,326.97770273685455,1991389,2054528,1545263,177,182,137,15
42,51,53,7492.0,328.73506212234497,1790383,1868440,1448275,159,166,128,15
43,36,57,1.0,4.0,2081537,2108542,1600745,185,187,142,15
44,51,52,7441.0,334.04877042770386,1791448,1852570,1458143,159,164,129,15
45,53,51,7128.0,326.3919162750244,1876019,1903924,1508323,166,169,134,15
46,34,56,4.5,8.242640614509583,2070385,2092822,1587331,184,186,141,15
47,51,52,7384.5,324.14927566051483,1825611,1901218,1476783,162,169,131,15
48,53,52,7436.0,333.22034335136414,1794293,1844515,1452342,159,164,129,15
49,51,53,7543.0,327.5634891986847,1806949,1884239,1447993,160,167,128,15
50,52,52,7422.0,332.3919162750244,1798674,1844654,1450875,160,164,129,15
51,53,51,6977.5,325.8061298131943,1888394,1920500,1534564,168,170,136,15
52,53,52,7250.5,330.14927566051483,1917231,1954984,1529168,170,173,136,15
53,53,56,7259.5,320.4924215078354,2064189,2102636,1602784,183,187,142,15
54,51,52,7392.0,332.3919162750244,1899223,1947565,1514084,169,173,134,15
55,52,52,7564.5,330.14927566051483,1779653,1855222,1444332,158,165,128,15
56,53,55,7353.0,326.73506212234497,1857556,1951129,1520630,165,173,135,15
57,55,50,7268.0,337.90663504600525,2036996,2051507,1563593,181,182,139,15
58,61,61,4664.0,489.9310202598572,1977964,2019481,1601702,176,179,142,15
59,53,55,7512.5,328.97770273685455,1932369,2009529,1510888,171,178,134,15
60,53,55,7585.0,330.73506212234497,1888716,1975062,1489183,168,175,132,15
61,53,51,7283.0,338.04877042770386,1937643,1962667,1531264,172,174,136,15
62,53,52,7211.5,331.66399443149567,1935338,1964636,1538413,172,174,136,15
63,52,55,7032.0,322.04877042770386,2093806,2101429,1610212,186,187,143,15
64,54,51,7070.5,328.14927566051483,1914183,1938563,1531562,170,172,136,15
65,51,55,6964.0,320.3919162750244,2109751,2113562,1635017,187,188,145,15
66,52,55,7431.5,327.3208485841751,1864471,1958633,1511166,165,174,134,15
67,52,55,7282.5,325.3208485841751,1860367,1941469,1524530,165,172,135,15
68,51,52,7739.5,332.97770273685455,1807618,1882933,1425970,160,167,126,15
69,51,53,7430.0,327.90663504600525,1889868,1959619,1498721,168,174,133,15
70,52,55,7240.0,326.3919162750244,2066166,2086487,1570773,183,185,139,15
71,51,53,7492.5,328.97770273685455,1790791,1870858,1448177,159,166,128,15
72,51,52,7443.5,332.97770273685455,1789835,1850364,1454331,159,164,129,15
73,52,53,7401.5,328.14927566051483,1793766,1874179,1469436,159,166,130,15
74,34,56,1.0,4.0,2070002,2094097,1587953,184,186,141,15
75,52,52,7543.0,332.3919162750244,1776636,1846285,1448060,158,164,128,15
76,59,41,13.5,15.071067690849304,2032423,2052360,1624924,180,182,144,15
77,56,53,3.5,9.41421353816986,2041842,2060036,1621721,181,183,144,15
78,49,64,3.5,7.414213538169861,1976641,2014880,1598592,175,179,142,15
79,51,53,7376.0,323.90663504600525,1925590,1993273,1514694,171,177,134,15
80,53,55,7356.5,327.3208485841751,1860786,1952088,1522609,165,173,135,15
81,53,55,7438.5,327.3208485841751,1865954,1959188,1508863,166,174,134,15
82,53,51,6965.5,322.14927566051483,1893725,1922845,1538079,168,171,136,15
83,53,51,7197.0,326.73506212234497,1838687,1877167,1490334,163,167,132,15
84,52,55,7179.0,325.7056245803833,2074045,2089925,1570843,184,186,139,15
85,51,53,7547.0,327.5634891986847,1804470,1880233,1446916,160,167,128,15
86,52,53,7387.5,326.14927566051483,1804339,1880647,1473719,160,167,131,15
87,51,52,7413.5,332.97770273685455,1899099,1946078,1513260,169,173,134,15
88,51,55,7035.0,322.73506212234497,2110299,2109652,1624926,187,187,144,15
89,53,56,7268.0,321.0782079696655,2061382,2101421,1599222,183,187,142,15
90,53,52,7264.0,329.5634891986847,1917380,1953996,1529849,170,173,136,15
91,53,52,7210.5,330.4924215078354,1936760,1965349,1540917,172,174,137,15
92,53,51,7277.5,342.634556889534,1937680,1961923,1531877,172,174,136,15
93,51,55,6962.5,319.8061298131943,2112376,2113767,1637815,188,188,145,15
94,54,51,7067.5,328.14927566051483,1919634,1942164,1536818,170,172,136,15
95,53,55,7581.0,331.5634891986847,1887436,1972953,1490731,167,175,132,15
96,53,55,7527.0,328.73506212234497,1929566,2005154,1510879,171,178,134,15
97,52,52,7557.5,334.97770273685455,1777828,1847620,1447825,158,164,128,15
98,52,53,7416.0,328.73506212234497,1793880,1871872,1467359,159,166,130,15
99,35,56,1.0,4.0,2072366,2095589,1591475,184,186,141,15
100,51,52,7440.0,333.22034335136414,1791011,1850802,1456366,159,164,129,15
101,52,56,7183.0,343.7056245803833,2067794,2086478,1573540,184,185,140,15
102,51,53,7498.0,329.5634891986847,1789739,1868935,1446006,159,166,128,15
103,51,53,7440.5,327.3208485841751,1892096,1963892,1497298,168,174,133,15
104,51,52,7756.0,331.5634891986847,1809980,1887474,1427873,161,167,127,15
105,52,55,7288.5,325.3208485841751,1857619,1941908,1522504,165,172,135,15
106,53,55,7450.0,327.90663504600525,1864462,1957588,1505040,165,174,133,15
107,51,55,6962.0,320.04877042770386,2116800,2117207,1642421,188,188,146,15
108,52,55,6904.5,320.14927566051483,2133376,2131194,1656120,189,189,147,15
109,53,55,7361.0,327.90663504600525,1861239,1955342,1522045,165,174,135,15
110,50,65,4.0,8.828427076339722,1978993,2017998,1599622,176,179,142,15
111,59,57,3.5,7.414213538169861,2034960,2055685,1623650,181,182,144,15
112,8,55,2.0,6.0,1927048,1986124,1575958,171,176,140,15
113,53,55,7582.0,331.22034335136414,1895434,1979706,1490680,168,176,132,15
114,53,55,7497.0,328.73506212234497,1869722,1961765,1497810,166,174,133,15
115,53,52,7609.0,332.73506212234497,1769913,1843131,1441179,157,164,128,15
116,53,52,7533.0,332.3919162750244,1775978,1855074,1450558,158,165,129,15
117,16,30,1.0,4.828427076339722,2083197,2114738,1596711,185,188,142,15
118,51,52,7745.0,332.3919162750244,1801926,1879150,1422282,160,167,126,15
119,53,56,7357.0,323.0782079696655,2083391,2116374,1584317,185,188,141,15
120,52,55,7062.5,322.97770273685455,2051597,2064747,1620116,182,183,144,15
121,51,55,7048.5,323.3208485841751,2091519,2093765,1621855,186,186,144,15
122,10,41,24.5,28.727921843528748,1956538,2006369,1592050,174,178,141,15
123,51,52,7760.0,331.90663504600525,1804859,1882405,1421926,160,167,126,15
124,51,53,7501.5,328.14927566051483,1792491,1871767,1445016,159,166,128,15
125,52,53,7473.5,326.97770273685455,1795276,1872796,1450217,159,166,129,15
126,53,52,7201.5,330.14927566051483,1934254,1966112,1540196,172,174,137,15
127,53,52,7274.5,330.14927566051483,1912864,1952595,1526038,170,173,135,15
128,51,54,7031.0,323.5634891986847,2118948,2115050,1630755,188,188,145,15
129,51,53,7588.0,329.90663504600525,1863605,1936923,1465471,165,172,130,15
130,52,55,6944.0,320.3919162750244,2126204,2123652,1650677,189,189,146,15
131,53,50,7231.0,341.5634891986847,1966946,1986900,1545764,175,176,137,15
132,53,55,7404.5,324.14927566051483,2064348,2115206,1595089,183,188,141,15
133,53,51,7089.0,331.4213538169861,2006187,2023143,1570272,178,180,139,15
134,52,55,7399.5,324.14927566051483,2033170,2089176,1568798,180,185,139,15
135,52,51,7264.0,325.5634891986847,1941941,1999918,1563776,172,177,139,15
136,53,52,7522.0,336.04877042770386,1890435,1942770,1500761,168,172,133,15
137,52,52,7442.0,332.3919162750244,1794324,1845112,1450025,159,164,129,15
138,40,56,1.0,4.0,2068377,2092279,1585041,184,186,141,15
139,51,52,7380.5,324.14927566051483,1822812,1900180,1476342,162,169,131,15
140,52,52,7333.0,323.5634891986847,1817751,1894319,1477591,161,168,131,15
141,51,52,7439.5,332.634556889534,1789434,1852172,1456420,159,164,129,15
142,52,53,7479.0,328.73506212234497,1788734,1868899,1448434,159,166,128,15
143,52,55,7506.0,325.5634891986847,1992439,2056728,1543956,177,183,137,15
144,53,55,7510.0,326.73506212234497,1957345,2030697,1528533,174,180,136,15
145,52,52,7034.5,318.634556889534,1990666,2057029,1619773,177,183,144,15
146,52,53,7093.0,322.04877042770386,2009112,2079903,1620689,178,185,144,15
147,53,51,7077.5,334.14927566051483,1999959,2019507,1572460,177,179,139,15
148,52,55,7541.0,325.5634891986847,2004183,2063147,1541672,178,183,137,15
149,52,50,7219.5,334.14927566051483,1957441,1980166,1547347,174,176,137,15
150,52,53,7423.5,326.97770273685455,1793849,1872654,1462608,159,166,130,15
151,52,55,7424.5,325.3208485841751,2049862,2100329,1579380,182,186,140,15
152,51,54,7041.0,324.3919162750244,2114697,2112503,1628268,188,188,144,15
153,52,52,7507.5,332.97770273685455,1781840,1846022,1449936,158,164,129,15
154,47,56,1.5,7.414213538169861,2076743,2101844,1597638,184,187,142,15
155,51,52,7431.0,332.3919162750244,1791850,1846270,1453344,159,164,129,15
156,53,55,7514.5,328.14927566051483,1938898,2014255,1516835,172,179,134,15
157,53,55,7507.5,327.8061298131943,1977866,2043459,1540054,176,181,137,15
158,52,51,7434.5,331.8061298131943,1904149,1960016,1520797,169,174,135,15
159,52,52,7198.0,324.04877042770386,1959143,2022006,1583380,174,179,140,15
160,39,50,1.5,5.414213538169861,1883104,1955651,1540963,167,174,137,15
161,53,55,7325.5,327.3208485841751,1853250,1942094,1519139,164,172,135,15
162,37,49,1.0,4.0,1874866,1951026,1535433,166,173,136,15
163,52,52,7140.5,322.634556889534,1995369,2062676,1608565,177,183,143,15
164,53,51,7007.0,329.5634891986847,1960734,1980073,1567013,174,176,139,15
165,10,41,33.0,35.31370830535889,1941847,1994260,1585804,172,177,141,15
166,51,55,6933.5,320.97770273685455,2120868,2120857,1645144,188,188,146,15
167,54,51,6922.0,326.3919162750244,1925976,1948868,1557106,171,173,138,15
168,52,55,6996.5,318.97770273685455,2101108,2105034,1623681,186,187,144,15
169,52,56,7360.5,323.3208485841751,2086287,2116365,1589986,185,188,141,15
170,41,57,4.0,8.828427076339722,2085745,2112825,1602212,185,188,142,15
171,52,55,7319.0,326.73506212234497,1853483,1940096,1518806,164,172,135,15
172,53,55,7533.5,329.3208485841751,1876570,1963385,1493382,167,174,132,15
173,52,55,7590.0,331.22034335136414,1910546,1990154,1498845,170,177,133,15
174,60,61,4572.5,493.6883796453476,1988977,2025532,1605324,177,180,142,15
175,52,52,7695.5,334.97770273685455,1757718,1836252,1427077,156,163,127,15
176,52,52,7572.0,331.90663504600525,1774802,1843707,1445153,157,164,128,15
177,51,54,7045.0,322.73506212234497,2103609,2104447,1621978,187,187,144,15
178,52,55,7061.0,322.3919162750244,2071408,2080354,1618843,184,185,144,15
179,49,53,8.0,17.656854152679443,1942572,1995846,1583956,172,177,140,15
180,55,50,7109.5,331.66399443149567,2050035,2066664,1585746,182,183,141,15
181,51,52,7740.0,331.90663504600525,1783620,1863171,1411710,158,165,125,15
182,51,53,7531.0,327.5634891986847,1796001,1872731,1443758,159,166,128,15
183,52,52,7339.5,324.14927566051483,1815844,1894348,1475551,161,168,131,15
184,52,53,7434.5,326.97770273685455,1792140,1871793,1459119,159,166,129,15
185,52,55,7535.0,325.5634891986847,2001390,2062888,1540796,178,183,137,15
186,51,53,7556.5,330.14927566051483,1818747,1892509,1452182,161,168,129,15
187,53,55,7498.0,328.3919162750244,1972537,2041445,1537058,175,181,136,15
188,51,53,7737.5,334.14927566051483,1833305,1908200,1434125,163,169,127,15
189,46,50,3.0,8.828427076339722,1921262,1982291,1569391,170,176,139,15
190,34,55,1.0,4.828427076339722,1872298,1946747,1532692,166,173,136,15
191,53,55,7347.0,327.5634891986847,1856057,1945320,1521170,165,173,135,15
192,51,55,7052.0,322.73506212234497,2096969,2097323,1620830,186,186,144,15
193,53,55,7396.5,327.3208485841751,1864525,1956025,1517651,165,174,135,15
194,52,51,7061.0,340.3919162750244,1999380,2016376,1578541,177,179,140,15
195,54,50,7094.5,330.4924215078354,2016478,2033402,1570455,179,180,139,15
196,52,55,7417.0,324.73506212234497,2043763,2097366,1575046,181,186,140,15
197,51,53,7316.0,323.90663504600525,1920083,1988029,1524802,170,176,135,15
198,55,41,3.0,6.828427076339722,2017781,2046222,1627032,179,182,144,15
199,52,53,7417.5,328.14927566051483,1799894,1875437,1463990,160,166,130,15
200,53,52,7226.0,329.5634891986847,1926568,1961247,1536089,171,174,136,15
201,53,52,7326.0,328.73506212234497,1906693,1950293,1521423,169,173,135,15
202,52,55,7072.0,322.3919162750244,2058619,2070090,1618168,183,184,144,15
203,53,56,7310.0,321.90663504600525,2056311,2093783,1591368,183,186,141,15
204,53,51,7190.0,328.73506212234497,1845169,1883011,1491219,164,167,132,15
205,52,55,7224.0,324.3919162750244,2067510,2085045,1568217,184,185,139,15
206,53,51,6969.5,324.97770273685455,1900998,1929436,1541025,169,171,137,15
207,51,55,7123.5,324.29141104221344,2083983,2096985,1582116,185,186,140,15
208,53,51,7030.0,329.5634891986847,1938974,1961274,1549865,172,174,137,15
209,52,55,7082.0,322.8771975040436,2088191,2098493,1598418,185,186,142,15
210,54,51,7260.0,334.73506212234497,1963631,1983110,1535913,174,176,136,15
211,52,55,6979.0,321.22034335136414,2102314,2107639,1625355,187,187,144,15
212,52,51,7324.5,340.97770273685455,1937313,1961350,1524964,172,174,135,15
213,53,51,7274.0,333.5634891986847,1934181,1957590,1531595,172,174,136,15
214,51,53,7524.0,327.5634891986847,1793584,1873026,1443524,159,166,128,15
215,52,52,7265.0,331.90663504600525,1931389,1959063,1532283,171,174,136,15
216,52,52,7484.5,330.14927566051483,1787989,1863116,1468491,159,165,130,15
217,52,52,7570.5,332.14927566051483,1770314,1851250,1441223,157,164,128,15
218,51,53,7575.5,329.3208485841751,1857325,1931483,1466207,165,171,130,15
219,53,55,7506.0,328.3919162750244,1969305,2037298,1535918,175,181,136,15
220,51,52,7743.5,333.3208485841751,1794297,1872376,1417385,159,166,126,15
221,52,55,7525.5,326.14927566051483,2001876,2060978,1543400,178,183,137,15
222,52,53,7440.5,326.97770273685455,1791580,1869263,1457871,159,166,129,15
223,51,52,7758.0,330.73506212234497,1795705,1872445,1417910,159,166,126,15
224,52,52,7348.0,324.3919162750244,1817983,1895631,1475586,161,168,131,15
