,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,52,55,6490.0,304.73506212234497,1730452,1864525,1657202,154,165,147,16
1,52,55,6285.0,300.73506212234497,1753622,1881563,1686102,156,167,150,16
2,53,50,6677.5,314.83556735515594,1712073,1807020,1602053,152,160,142,16
3,53,50,6685.5,312.83556735515594,1728582,1809496,1595542,153,161,142,16
4,51,55,6688.0,308.73506212234497,1697308,1834775,1621040,151,163,144,16
5,52,54,6770.5,310.4924215078354,1681004,1818417,1606232,149,161,142,16
6,51,54,6274.0,302.59292674064636,1718045,1836347,1673850,152,163,148,16
7,54,51,6076.0,302.3919162750244,1780802,1881731,1707538,158,167,151,16
8,54,51,6285.0,308.3919162750244,1735220,1835655,1664076,154,163,148,16
9,52,54,6162.0,300.59292674064636,1720146,1835883,1673928,153,163,148,16
10,52,53,6197.0,301.5634891986847,1775087,1814744,1665181,157,161,148,16
11,51,52,6320.5,308.4924215078354,1717026,1842940,1666517,152,164,148,16
12,51,53,6275.0,305.0782079696655,1714922,1840162,1661809,152,163,147,16
13,53,51,6853.5,318.14927566051483,1634533,1755148,1571538,145,156,139,16
14,51,53,6322.0,304.59292674064636,1706686,1827816,1654436,151,162,147,16
15,51,53,6353.5,303.1787132024765,1704305,1823245,1658572,151,162,147,16
16,53,51,6617.5,311.3208485841751,1683101,1805239,1617370,149,160,143,16
17,53,51,6817.5,316.14927566051483,1638022,1757367,1577749,145,156,140,16
18,54,50,6674.5,315.8061298131943,1657939,1764542,1590534,147,157,141,16
19,53,50,7005.5,321.8061298131943,1595069,1708011,1528648,141,152,136,16
20,52,52,6361.0,305.0782079696655,1732341,1856315,1664524,154,165,148,16
21,52,51,6218.0,300.2497808933258,1774707,1900371,1706882,157,169,151,16
22,52,52,6303.0,311.90663504600525,1726932,1853722,1680080,153,164,149,16
23,52,52,6274.0,312.73506212234497,1738498,1865171,1689791,154,165,150,16
24,52,54,6755.5,309.3208485841751,1682906,1820602,1607529,149,162,143,16
25,53,54,6492.0,305.90663504600525,1668460,1784536,1589242,148,158,141,16
26,51,54,6262.0,302.59292674064636,1709093,1829361,1671260,152,162,148,16
27,54,51,6124.5,304.97770273685455,1777507,1879051,1704730,158,167,151,16
28,53,51,5648.5,294.97770273685455,1866784,1962947,1802969,166,174,160,16
29,53,50,6834.0,317.90663504600525,1630442,1747578,1572115,145,155,139,16
30,53,51,7222.5,326.14927566051483,1554984,1673180,1489994,138,148,132,16
31,53,50,6687.5,314.0071402788162,1720114,1808486,1596209,153,160,142,16
32,53,51,6855.0,317.0782079696655,1711575,1784036,1565195,152,158,139,16
33,53,50,6863.0,318.73506212234497,1624638,1744675,1565657,144,155,139,16
34,52,53,7093.5,317.4629839658737,1692061,1721117,1539879,150,153,137,16
35,51,55,6671.5,307.3208485841751,1698827,1838023,1621465,151,163,144,16
36,52,52,6872.5,311.4629839658737,1757752,1785233,1610790,156,158,143,16
37,51,55,6066.5,297.1787132024765,1764468,1879045,1720914,157,167,153,16
38,51,55,6091.5,298.3502861261368,1745951,1862675,1703324,155,165,151,16
39,51,55,6144.5,297.66399443149567,1757589,1880111,1699076,156,167,151,16
40,52,53,6520.0,307.5634891986847,1740217,1777509,1615449,154,158,143,16
41,52,52,6039.0,299.90663504600525,1792354,1907248,1715030,159,169,152,16
42,52,52,6893.5,313.8061298131943,1762921,1792855,1612164,156,159,143,16
43,52,52,6011.0,297.90663504600525,1800002,1911438,1721039,160,170,153,16
44,52,52,6948.5,317.3208485841751,1753282,1792083,1595507,156,159,141,16
45,53,50,5984.5,306.0071402788162,1797156,1898885,1720126,159,169,153,16
46,51,53,6268.5,302.83556735515594,1716744,1842027,1662977,152,163,148,16
47,53,53,6037.0,298.2497808933258,1757803,1864696,1694155,156,165,150,16
48,54,51,6497.5,310.83556735515594,1734755,1835484,1635202,154,163,145,16
49,53,53,6153.0,301.0782079696655,1728361,1838952,1661841,153,163,147,16
50,54,51,6467.0,311.4213538169861,1722904,1831164,1633486,153,162,145,16
51,52,52,6213.5,313.3208485841751,1753968,1875199,1690398,156,166,150,16
52,52,52,6066.5,305.3208485841751,1783512,1899688,1712934,158,169,152,16
53,53,51,6737.0,315.90663504600525,1655586,1776310,1593504,147,158,141,16
54,53,54,6510.0,304.2497808933258,1674282,1795717,1590513,149,159,141,16
55,53,54,6694.5,310.4924215078354,1664225,1794937,1584227,148,159,140,16
56,53,50,6804.0,316.73506212234497,1634565,1751642,1575785,145,155,140,16
57,51,52,6322.0,307.90663504600525,1718582,1846404,1668928,152,164,148,16
58,53,50,7017.5,322.14927566051483,1591356,1707533,1526961,141,151,135,16
59,52,54,6759.5,310.4924215078354,1683631,1820486,1609374,149,162,143,16
60,52,55,6654.0,306.73506212234497,1702233,1841715,1624286,151,163,144,16
61,53,51,6838.5,316.83556735515594,1697146,1782850,1563555,151,158,139,16
62,52,52,7053.0,318.04877042770386,1673208,1706504,1529713,148,151,136,16
63,52,52,6227.0,311.90663504600525,1748093,1872510,1689482,155,166,150,16
64,52,52,6281.5,312.14927566051483,1736148,1863923,1687615,154,165,150,16
65,52,53,6236.0,302.73506212234497,1764549,1807274,1655676,157,160,147,16
66,52,53,5862.5,296.83556735515594,1828230,1938526,1751206,162,172,155,16
67,52,51,6872.5,317.8061298131943,1750920,1803365,1594385,155,160,141,16
68,52,51,6715.0,316.73506212234497,1749120,1814649,1598929,155,161,142,16
69,52,55,6546.0,305.5634891986847,1723220,1858107,1648895,153,165,146,16
70,54,51,6820.5,318.634556889534,1628941,1738934,1564044,144,154,139,16
71,54,51,6500.0,310.3919162750244,1689211,1792359,1621561,150,159,144,16
72,52,54,6770.5,310.4924215078354,1673910,1809226,1597168,148,161,142,16
73,52,55,6213.0,298.2497808933258,1749012,1871931,1685061,155,166,149,16
74,53,51,6702.5,314.14927566051483,1661971,1779914,1600869,147,158,142,16
75,51,51,6009.5,294.83556735515594,1827811,1943318,1770003,162,172,157,16
76,53,51,6681.5,311.3208485841751,1672854,1797913,1604418,148,160,142,16
77,53,54,6681.0,309.0782079696655,1663320,1793937,1582576,148,159,140,16
78,52,51,6116.5,299.66399443149567,1809563,1928963,1748780,161,171,155,16
79,54,50,6424.0,312.04877042770386,1708974,1811847,1635131,152,161,145,16
80,54,51,6056.0,303.5634891986847,1783378,1881283,1711440,158,167,152,16
81,51,53,6258.5,302.83556735515594,1719134,1843254,1665944,153,164,148,16
82,52,52,6315.0,307.0782079696655,1721492,1849552,1672604,153,164,148,16
83,51,53,6897.0,314.3919162750244,1693267,1728371,1554693,150,153,138,16
84,54,51,6297.0,308.3919162750244,1732067,1834055,1660655,154,163,147,16
85,53,53,7083.0,316.8771975040436,1702374,1730779,1549307,151,154,137,16
86,52,55,6646.0,306.73506212234497,1702898,1842438,1625752,151,163,144,16
87,52,54,6742.5,309.3208485841751,1685451,1823253,1610634,150,162,143,16
88,53,50,7027.0,322.73506212234497,1591259,1706510,1527643,141,151,135,16
89,53,51,6593.0,310.73506212234497,1681709,1799530,1619749,149,160,144,16
90,54,50,6662.5,314.0071402788162,1713225,1810732,1606401,152,161,142,16
91,53,50,6693.5,314.0071402788162,1723666,1808108,1595889,153,160,142,16
92,52,51,6715.0,315.90663504600525,1748144,1813505,1599518,155,161,142,16
93,52,51,6876.0,319.22034335136414,1749487,1801839,1593453,155,160,141,16
94,52,53,5870.5,298.0071402788162,1827548,1939135,1751974,162,172,155,16
95,54,51,6085.5,302.97770273685455,1779192,1880228,1705576,158,167,151,16
96,52,55,6330.0,301.90663504600525,1751409,1879087,1681568,155,167,149,16
97,52,55,6523.0,305.5634891986847,1725724,1861418,1651862,153,165,147,16
98,52,52,6283.5,313.3208485841751,1738978,1865405,1690202,154,166,150,16
99,51,52,6235.5,312.14927566051483,1748075,1871775,1691726,155,166,150,16
100,52,51,6086.0,299.0782079696655,1809823,1930560,1748859,161,171,155,16
101,53,51,6651.5,311.3208485841751,1676626,1802090,1609228,149,160,143,16
102,53,54,6662.0,309.0782079696655,1664408,1793821,1584330,148,159,141,16
103,51,51,5989.5,294.0071402788162,1831022,1948111,1774257,162,173,157,16
104,52,54,6754.5,309.66399443149567,1673524,1807582,1597118,148,160,142,16
105,53,51,6842.5,316.97770273685455,1633928,1755197,1571282,145,156,139,16
106,54,51,5893.0,300.3919162750244,1822420,1923385,1754060,162,171,156,16
107,54,50,6682.5,315.8061298131943,1656707,1763745,1587988,147,156,141,16
108,54,51,6510.5,312.14927566051483,1686449,1791209,1618517,150,159,144,16
109,54,51,6831.0,319.22034335136414,1627772,1737909,1561704,144,154,138,16
110,51,53,6329.0,304.59292674064636,1705174,1827221,1652950,151,162,147,16
111,51,53,6357.5,304.0071402788162,1702850,1822966,1656612,151,162,147,16
112,52,52,6317.5,310.14927566051483,1721271,1850414,1673467,153,164,148,16
113,51,53,6250.5,304.0071402788162,1719889,1845375,1667509,153,164,148,16
114,54,51,6066.0,303.5634891986847,1781031,1880102,1707953,158,167,152,16
115,54,50,6430.0,312.3919162750244,1706681,1809932,1632633,151,161,145,16
