,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,49,66,4986.0,357.22034335136414,2099624,1855460,1518961,186,165,135,17
1,48,65,5039.0,443.64674949645996,2148758,1907692,1560431,191,169,138,17
2,95,60,4.0,8.0,2160733,1914541,1578967,192,170,140,17
3,49,62,4946.5,360.9188276529312,2291084,2101761,1741728,203,187,155,17
4,45,62,5049.0,375.8477599620819,2243124,2026351,1674282,199,180,149,17
5,50,56,6053.5,407.26197350025177,2161987,1887664,1576192,192,168,140,17
6,51,54,6425.0,307.5634891986847,2291427,2127168,1779093,203,189,158,17
7,45,57,5077.5,394.43354642391205,2248231,2006462,1741134,200,178,154,17
8,52,54,6472.0,306.04877042770386,2275739,2105177,1758371,202,187,156,17
9,51,55,6663.0,318.73506212234497,2195732,1878744,1573601,195,167,140,17
10,49,55,5905.0,350.19090580940247,2226154,1941591,1666687,198,172,148,17
11,52,55,6900.0,345.7056245803833,2116047,1840153,1550173,188,163,137,17
12,51,55,6769.0,331.7056245803833,2148547,1868119,1556132,191,166,138,17
13,52,54,6836.5,323.3208485841751,2162525,1854895,1558908,192,165,138,17
14,48,65,5020.0,438.4751765727997,2177510,1941790,1587622,193,172,141,17
15,20,18,1.0,4.828427076339722,2128489,1885881,1544905,189,167,137,17
16,52,55,6426.0,309.5634891986847,2255385,1980968,1675516,200,176,149,17
17,53,54,6949.0,342.534051656723,2131634,1818509,1519347,189,161,135,17
18,52,55,6601.0,310.8771975040436,2229676,1966702,1651684,198,175,146,17
19,50,54,6679.0,317.90663504600525,2196522,1899118,1611619,195,169,143,17
20,81,24,18.5,19.899494767189026,2277751,2065297,1764136,202,183,157,17
21,49,60,5294.5,417.546244263649,2326650,2153595,1795264,207,191,159,17
22,48,62,4921.0,355.8477599620819,2295879,2108702,1747682,204,187,155,17
23,52,55,6630.0,310.8771975040436,2218898,1962136,1650564,197,174,146,17
24,52,54,7233.0,330.04877042770386,2045943,1773375,1472886,182,157,131,17
25,49,55,6667.5,347.9482651948929,2089775,1817620,1534640,185,161,136,17
26,51,55,6428.0,308.04877042770386,2257445,1969647,1668084,200,175,148,17
27,47,62,5086.5,365.6051193475723,2266116,2057741,1704631,201,183,151,17
28,52,56,6677.0,314.8771975040436,2207884,1949504,1634304,196,173,145,17
29,53,54,6942.5,334.29141104221344,2109004,1790759,1496584,187,159,133,17
30,52,54,6875.5,324.4924215078354,2155385,1847347,1548543,191,164,137,17
31,42,63,4515.0,369.1614682674408,2162566,1918531,1599060,192,170,142,17
32,52,55,6598.5,311.4629839658737,2230195,1966201,1651973,198,174,147,17
33,94,43,7.5,11.41421353816986,2119139,1861200,1562943,188,165,139,17
34,54,54,6914.0,330.8771975040436,2109295,1793149,1500655,187,159,133,17
35,85,26,5.0,12.485281229019165,2258379,2034174,1746110,200,181,155,17
36,50,57,5331.5,489.48736917972565,2264654,2087379,1751303,201,185,155,17
37,52,54,6476.5,308.634556889534,2276405,2107934,1759607,202,187,156,17
38,51,55,6835.0,341.22034335136414,2125165,1853313,1562643,189,164,139,17
39,51,55,6436.0,319.7056245803833,2199161,1911213,1621222,195,170,144,17
40,49,54,6541.0,313.5634891986847,2210449,1918188,1628996,196,170,144,17
41,50,54,6764.5,345.6051193475723,2104030,1834716,1554690,187,163,138,17
42,85,25,41.5,59.69848430156708,2302799,2105275,1740489,204,187,154,17
43,64,20,50.5,27.899494767189026,2312302,2130088,1785895,205,189,158,17
44,74,15,18.0,21.313708305358887,2305482,2129493,1766500,205,189,157,17
45,49,56,6129.0,414.3330411911011,2153945,1878597,1565926,191,167,139,17
46,48,63,5113.0,391.50461411476135,2188193,2005810,1663195,194,178,148,17
47,48,62,5205.0,368.81832242012024,2250020,2059605,1715417,200,183,152,17
48,51,55,6548.0,312.534051656723,2237762,1968892,1654061,199,175,147,17
49,58,34,4.0,8.0,2216364,1998004,1646014,197,177,146,17
50,52,54,6621.0,325.22034335136414,2168233,1891483,1575393,192,168,140,17
51,50,61,5169.5,408.2325359582901,2339092,2169069,1817944,208,193,161,17
52,52,54,6586.5,315.8061298131943,2174905,1900342,1584292,193,169,141,17
53,49,61,5288.0,367.50461411476135,2323799,2141984,1779776,206,190,158,17
54,51,54,6326.0,308.73506212234497,2301051,2139644,1798262,204,190,160,17
55,93,43,5.5,9.41421353816986,2113534,1855322,1550676,188,165,138,17
56,54,54,6935.0,339.7056245803833,2102396,1782146,1490614,187,158,132,17
57,52,55,6517.5,311.11983811855316,2237878,1974895,1661817,199,175,147,17
58,53,54,6900.5,328.14927566051483,2150718,1839604,1541650,191,163,137,17
59,42,64,4515.0,376.3330411911011,2151777,1903774,1573523,191,169,140,17
60,52,55,6687.0,314.04877042770386,2207321,1949477,1632885,196,173,145,17
61,49,54,6563.0,311.90663504600525,2210143,1916153,1628763,196,170,144,17
62,46,25,3.5,7.414213538169861,2293169,2093582,1725028,204,186,153,17
63,50,54,6645.5,342.7766922712326,2119005,1853596,1580029,188,164,140,17
64,52,55,6933.0,348.534051656723,2116212,1836869,1541039,188,163,137,17
65,50,54,6472.5,311.9482651948929,2201850,1911071,1620207,195,170,144,17
66,52,56,6638.0,316.3919162750244,2180045,1928605,1597507,194,171,142,17
67,45,23,1.0,4.0,2291824,2128749,1779511,203,189,158,17
68,52,54,6519.0,308.04877042770386,2275947,2106751,1756732,202,187,156,17
69,49,57,5328.5,494.6589421033859,2267404,2091471,1755972,201,186,156,17
70,84,26,9.0,14.485281229019165,2263542,2043928,1752367,201,181,155,17
71,50,56,6086.0,409.0193328857422,2159152,1885984,1573632,192,167,140,17
