,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,52,52,7269.0,322.3919162750244,2044673,1611290,1143350,181,143,101,18
1,52,53,7513.5,324.14927566051483,2094070,1498178,1008240,186,133,89,18
2,53,52,7637.5,328.97770273685455,2096673,1490342,985382,186,132,87,18
3,52,53,7728.5,329.8061298131943,1971405,1522153,1034399,175,135,92,18
4,53,52,7333.0,323.22034335136414,2081115,1524884,1057787,185,135,94,18
5,52,53,7715.5,327.3208485841751,2090699,1496612,965894,186,133,85,18
6,52,53,7575.5,326.634556889534,1989964,1524244,1061751,177,135,94,18
7,52,53,7661.5,328.14927566051483,2098379,1509700,979126,186,134,87,18
8,51,53,7674.0,327.22034335136414,1970947,1507352,1038252,175,134,92,18
9,52,53,7575.0,325.90663504600525,2096481,1500077,997807,186,133,88,18
10,51,52,7178.0,320.73506212234497,2057173,1625031,1168676,183,144,104,18
11,52,52,7591.5,325.66399443149567,2101158,1502624,996345,187,133,88,18
12,52,52,7143.5,320.97770273685455,2063239,1628978,1176829,183,144,104,18
13,51,53,7657.5,326.634556889534,1972458,1510296,1039290,175,134,92,18
14,53,52,7648.5,327.3208485841751,2097472,1489859,985743,186,132,87,18
15,52,52,7628.5,327.3208485841751,2086869,1475805,981089,185,131,87,18
16,52,52,7541.0,327.22034335136414,2001598,1571653,1086699,178,139,96,18
17,52,52,7628.5,327.3208485841751,2089576,1477345,979554,185,131,87,18
18,52,52,7450.0,324.3919162750244,2117799,1518279,1028841,188,135,91,18
19,52,53,7498.0,326.04877042770386,2002459,1587607,1111202,178,141,98,18
20,52,52,7662.0,327.5634891986847,2091348,1487523,980519,186,132,87,18
21,52,51,7415.0,325.22034335136414,2013162,1539707,1091374,179,137,97,18
22,52,52,7315.0,322.8771975040436,2031914,1560871,1112026,180,138,98,18
23,52,52,7526.5,324.634556889534,2028285,1526403,1055247,180,135,93,18
24,52,53,7676.5,328.14927566051483,2100663,1508157,977172,186,134,86,18
25,52,51,7434.5,324.634556889534,2009408,1540796,1093649,178,137,97,18
26,53,51,7397.5,323.8061298131943,2011837,1552176,1101106,179,138,97,18
27,53,52,7460.0,326.3919162750244,2113852,1516770,1027103,188,134,91,18
28,52,52,7438.0,323.0782079696655,2122759,1543375,1037387,188,137,92,18
29,52,53,7602.0,326.73506212234497,2106575,1509670,992174,187,134,88,18
30,53,52,7377.0,323.22034335136414,2056623,1533438,1067129,183,136,94,18
31,52,53,7599.5,327.3208485841751,2104705,1516897,997760,187,135,88,18
32,52,52,7614.5,325.8061298131943,1976792,1515782,1049391,175,134,93,18
33,51,53,7542.0,326.73506212234497,2109876,1528936,1011965,187,136,90,18
34,52,53,7718.0,329.22034335136414,1961089,1506236,1036063,174,134,92,18
35,52,53,7551.0,325.5634891986847,1990769,1526251,1061934,177,135,94,18
36,51,53,7690.5,328.634556889534,1997081,1576886,1085200,177,140,96,18
37,52,52,7749.5,328.634556889534,1995348,1567656,1064819,177,139,94,18
38,52,52,7624.5,327.3208485841751,2098258,1490727,985700,186,132,87,18
39,52,52,7630.5,327.3208485841751,2091279,1481259,982081,186,131,87,18
40,52,52,7428.5,322.14927566051483,2115068,1519805,1031546,188,135,91,18
41,53,53,7453.0,323.90663504600525,2101550,1506719,1022144,187,134,90,18
42,52,51,7404.0,324.3919162750244,2013126,1596543,1123969,179,142,100,18
43,52,52,7627.0,326.73506212234497,2085298,1476005,979675,185,131,87,18
44,52,53,7551.5,327.4629839658737,1999398,1583721,1104429,177,140,98,18
45,53,52,7581.0,326.3919162750244,2124533,1549075,1023109,189,137,91,18
46,52,53,7731.5,328.4924215078354,2090508,1493304,963689,186,132,85,18
47,52,53,7620.5,327.4629839658737,2007875,1585501,1088104,178,141,96,18
48,52,52,7591.0,327.22034335136414,2115467,1539411,1012065,188,137,90,18
49,52,53,7667.5,327.4629839658737,1995306,1563010,1064041,177,139,94,18
50,52,53,7344.5,322.97770273685455,2129808,1562121,1061961,189,139,94,18
51,52,53,7667.5,327.3208485841751,1987000,1504477,1030549,176,133,91,18
52,52,53,7414.0,322.73506212234497,2124637,1548860,1044478,189,137,92,18
53,52,53,7565.5,326.14927566051483,2020683,1525538,1052616,179,135,93,18
54,52,52,7301.5,322.634556889534,2031823,1561415,1117882,180,138,99,18
55,52,53,7566.5,324.4924215078354,2111545,1516182,1000310,187,134,89,18
56,52,51,7365.5,323.8061298131943,2028654,1573940,1117073,180,140,99,18
57,52,52,7133.5,320.14927566051483,2063334,1631758,1178660,183,145,104,18
58,52,52,7673.5,328.4924215078354,2102771,1497767,979547,187,133,87,18
59,52,52,7395.5,325.4629839658737,2031188,1552870,1099531,180,138,97,18
60,52,51,7303.0,323.5634891986847,2045042,1598777,1138332,182,142,101,18
61,53,52,7491.0,325.7056245803833,2036804,1527673,1059111,181,135,94,18
62,52,52,7593.5,326.4924215078354,2098426,1500449,995326,186,133,88,18
63,52,51,7282.0,321.5634891986847,2046874,1602107,1139871,182,142,101,18
64,52,53,7734.5,328.4924215078354,2078354,1467533,955910,184,130,85,18
65,52,52,7165.0,319.5634891986847,2059541,1627467,1171608,183,144,104,18
66,52,53,7664.0,328.73506212234497,2099471,1510825,980685,186,134,87,18
67,52,53,7661.5,327.8061298131943,1975698,1510717,1040862,175,134,92,18
68,52,52,7591.5,325.66399443149567,2100636,1499824,995170,186,133,88,18
69,52,53,7720.5,327.3208485841751,2089755,1497098,966410,185,133,86,18
70,51,53,7724.0,328.3919162750244,1977203,1497816,1024731,175,133,91,18
71,52,52,7310.0,322.04877042770386,2093317,1522320,1052559,186,135,93,18
72,51,53,7720.0,329.22034335136414,1993490,1574220,1078845,177,140,96,18
73,52,53,7624.0,328.04877042770386,1990875,1576772,1094588,177,140,97,18
74,52,52,7613.5,326.14927566051483,2105792,1524453,994565,187,135,88,18
75,52,52,7549.5,325.8061298131943,1993447,1559249,1081624,177,138,96,18
76,52,52,7624.5,326.97770273685455,2103057,1517725,985582,187,135,87,18
77,52,53,7737.5,329.8061298131943,1963298,1510611,1033898,174,134,92,18
78,52,53,7536.5,324.14927566051483,2091790,1496791,1003320,186,133,89,18
79,53,52,7190.0,321.5634891986847,2053754,1623853,1164115,182,144,103,18
80,52,52,7287.0,323.5634891986847,2042598,1606800,1138266,181,143,101,18
81,52,52,7665.5,327.3208485841751,2081656,1472312,975430,185,131,86,18
82,52,52,7424.0,324.3919162750244,2024905,1585885,1107487,180,141,98,18
83,53,52,7486.0,324.73506212234497,2109628,1518961,1022083,187,135,90,18
84,52,52,7548.5,326.634556889534,2025847,1523180,1053110,180,135,93,18
85,51,52,7637.0,327.90663504600525,2103900,1501272,993389,187,133,88,18
86,52,52,7316.0,322.8771975040436,2030982,1561390,1116900,180,138,99,18
87,52,51,7345.5,320.97770273685455,2030666,1582840,1123237,180,140,99,18
88,52,51,7434.0,324.8771975040436,2009774,1538548,1088844,178,136,96,18
89,52,52,7686.5,328.4924215078354,2102816,1494111,976586,187,132,86,18
90,52,53,7577.0,326.73506212234497,2096225,1498062,998032,186,133,88,18
91,52,52,7201.5,320.634556889534,2039241,1594493,1147680,181,141,102,18
92,52,52,7450.0,323.5634891986847,2117146,1518703,1027710,188,135,91,18
93,52,53,7621.0,330.04877042770386,1993212,1577627,1097410,177,140,97,18
94,51,53,7705.0,328.04877042770386,1995670,1575595,1083375,177,140,96,18
95,52,52,7167.0,319.5634891986847,2058279,1628124,1169574,183,144,104,18
96,52,53,7730.0,327.90663504600525,2079105,1467250,957889,185,130,85,18
97,52,52,7142.0,320.3919162750244,2062303,1629611,1176781,183,145,104,18
98,52,53,7594.0,325.90663504600525,2101724,1501014,994422,187,133,88,18
99,52,52,7481.5,326.29141104221344,2038525,1530614,1062147,181,136,94,18
100,53,52,7331.5,323.8061298131943,2085178,1524997,1058449,185,135,94,18
101,52,52,7459.0,324.3919162750244,2113574,1517272,1025759,188,135,91,18
102,52,53,7528.0,325.5634891986847,1997421,1530647,1065397,177,136,94,18
103,52,53,7708.5,328.14927566051483,2092043,1497916,967858,186,133,86,18
104,52,53,7657.5,327.8061298131943,1970759,1509726,1041275,175,134,92,18
105,52,53,7661.5,328.14927566051483,2100714,1510362,981682,186,134,87,18
106,52,53,7736.0,329.22034335136414,1959442,1508918,1034898,174,134,92,18
107,52,52,7621.5,327.8061298131943,2104431,1517683,987628,187,135,87,18
108,52,52,7546.0,327.22034335136414,1991510,1555100,1076289,177,138,95,18
109,52,53,7605.0,326.73506212234497,2106344,1522835,993723,187,135,88,18
110,52,52,7445.5,324.97770273685455,2020568,1582424,1103862,179,140,98,18
111,52,52,7667.5,327.3208485841751,2082609,1471023,977062,185,130,86,18
112,52,52,7410.5,323.8061298131943,2024741,1587968,1110206,180,141,98,18
113,52,53,7496.0,328.04877042770386,2003880,1587152,1112278,178,141,98,18
114,52,52,7305.0,322.3919162750244,2038563,1604485,1134627,181,142,100,18
115,52,53,7543.5,325.3208485841751,2093459,1496195,1005080,186,133,89,18
116,53,51,7394.5,323.8061298131943,2017458,1559252,1103873,179,138,98,18
117,52,51,7433.0,326.04877042770386,2012380,1538391,1090806,179,136,97,18
118,52,52,7674.0,327.90663504600525,2103514,1495786,975898,187,133,86,18
119,52,51,7360.5,322.97770273685455,2029411,1579765,1121750,180,140,99,18
