,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,55,53,5462.0,281.76449966430664,2018886,1923622,1654597,179,171,147,19
1,52,54,6656.0,308.59292674064636,1921436,1728092,1390198,171,153,123,19
2,53,54,4954.5,275.52185904979706,2101723,1940068,1729750,187,172,153,19
3,52,54,6260.0,304.73506212234497,1793064,1690990,1421818,159,150,126,19
4,50,52,5051.5,279.66399443149567,2086661,1851864,1659234,185,164,147,19
5,52,53,6228.5,303.3208485841751,1814967,1704703,1434460,161,151,127,19
6,50,52,5356.5,284.4924215078354,2048734,1791025,1595681,182,159,142,19
7,55,54,5410.5,284.3502861261368,1916231,1811053,1588839,170,161,141,19
8,51,55,6060.0,301.0782079696655,1797064,1708186,1455063,159,152,129,19
9,49,52,4875.0,274.9360725879669,2131679,1932729,1720228,189,172,153,19
10,51,54,6120.0,300.73506212234497,1800003,1706371,1446601,160,151,128,19
11,50,52,4978.5,280.0071402788162,2102381,1881370,1681185,187,167,149,19
12,53,54,6580.0,308.1076455116272,1918446,1738305,1408412,170,154,125,19
13,49,52,4889.0,275.76449966430664,2117815,1901596,1704690,188,169,151,19
14,55,54,5319.5,279.52185904979706,2025870,1934839,1661899,180,172,147,19
15,51,54,6211.5,301.52185904979706,1942887,1784401,1479680,172,158,131,19
16,55,54,5198.5,278.69343197345734,2029683,1939177,1674196,180,172,149,19
17,53,54,4924.5,274.69343197345734,2108315,1947135,1736845,187,173,154,19
18,52,54,6346.5,303.3208485841751,1938431,1741739,1440555,172,155,128,19
19,53,54,5994.0,293.4213538169861,1925325,1799826,1502750,171,160,133,19
20,53,55,5141.0,280.1076455116272,2088447,1912881,1676511,185,170,149,19
21,51,55,5982.5,294.83556735515594,1972917,1784491,1510193,175,158,134,19
22,52,55,5330.0,283.76449966430664,2047118,1870438,1626755,182,166,144,19
23,52,53,6226.5,300.83556735515594,1895573,1739219,1440311,168,154,128,19
24,51,54,6117.0,301.90663504600525,1798847,1707190,1446375,160,151,128,19
25,52,54,4849.0,275.9655101299286,2131205,1966333,1755111,189,175,156,19
26,55,53,5446.5,285.1787132024765,1923507,1815548,1584187,171,161,140,19
27,54,54,5784.5,290.83556735515594,1850828,1739649,1500594,164,154,133,19
28,54,53,5794.0,290.2497808933258,1822607,1718041,1491160,162,152,132,19
29,54,54,5242.5,280.3502861261368,1966292,1863147,1634006,174,165,145,19
30,54,54,4941.5,276.3502861261368,2024648,1930799,1705139,180,171,151,19
31,51,55,5384.5,286.0071402788162,2018797,1854432,1619796,179,165,144,19
32,50,56,5607.0,290.9360725879669,1870239,1779035,1555530,166,158,138,19
33,50,55,5624.5,291.1787132024765,1884784,1785992,1559049,167,158,138,19
34,55,54,5431.0,284.59292674064636,1901071,1797101,1578661,169,159,140,19
35,50,52,4867.0,275.76449966430664,2132948,1935079,1721062,189,172,153,19
36,51,55,5854.5,296.0071402788162,1829364,1743307,1498038,162,155,133,19
37,50,52,4821.0,275.76449966430664,2129766,1923241,1723415,189,171,153,19
38,51,55,6085.0,301.90663504600525,1796065,1706901,1448885,159,151,128,19
39,50,52,5001.0,281.4213538169861,2096343,1866320,1673128,186,166,148,19
40,51,53,6459.5,306.4924215078354,1895314,1668503,1387448,168,148,123,19
41,51,52,6526.5,309.1787132024765,1890596,1624157,1354521,168,144,120,19
42,52,54,5141.0,280.59292674064636,2062350,1898496,1682359,183,168,149,19
43,52,55,5818.0,291.76449966430664,1983633,1800262,1541676,176,160,137,19
44,53,55,5504.0,286.59292674064636,2021072,1841097,1590037,179,163,141,19
45,53,54,6521.5,308.83556735515594,1929032,1728151,1411764,171,153,125,19
46,52,55,6049.5,300.83556735515594,1798114,1711044,1455331,160,152,129,19
47,52,53,6029.0,296.73506212234497,1917777,1782690,1484740,170,158,132,19
48,52,55,6257.0,302.73506212234497,1944505,1749382,1458138,173,155,129,19
49,52,54,6254.0,302.2497808933258,1899076,1727009,1432490,169,153,127,19
50,51,53,5947.0,297.90663504600525,1890112,1762708,1507247,168,156,134,19
