,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,55,55,7213.0,408.67618703842163,1705641,1614129,1642231,151,143,146,20
1,53,55,6458.0,307.90663504600525,1860252,1785741,1802085,165,158,160,20
2,54,54,6547.5,310.14927566051483,1864894,1783047,1799062,165,158,160,20
3,54,55,6766.0,322.73506212234497,1749120,1690801,1734723,155,150,154,20
4,53,53,7035.5,327.4629839658737,1783701,1686739,1709542,158,150,152,20
5,54,53,6815.0,332.04877042770386,1783462,1693434,1711652,158,150,152,20
6,50,53,6967.0,319.22034335136414,1800016,1707821,1736998,160,151,154,20
7,52,52,7168.5,328.29141104221344,1770325,1673805,1699446,157,148,151,20
8,53,55,6473.5,315.3208485841751,1854132,1780349,1806749,165,158,160,20
9,11,37,43.5,40.72792184352875,1722139,1637105,1668523,153,145,148,20
10,53,55,6491.0,309.5634891986847,1843432,1771747,1799763,164,157,160,20
11,54,55,7001.5,342.7766922712326,1731738,1651614,1689624,154,146,150,20
12,54,54,6552.5,310.14927566051483,1864126,1784262,1799753,165,158,160,20
13,52,52,7129.5,327.9482651948929,1777413,1680461,1707951,158,149,152,20
14,53,51,6915.0,324.534051656723,1767807,1696024,1745533,157,150,155,20
15,53,51,6588.0,315.7056245803833,1798620,1733281,1779590,160,154,158,20
16,53,55,6628.0,310.2497808933258,1856167,1774390,1790310,165,157,159,20
17,54,54,7042.5,320.14927566051483,1751102,1664112,1691089,155,148,150,20
18,53,54,6385.5,307.3208485841751,1888807,1809490,1826059,168,161,162,20
19,53,55,6569.0,314.3919162750244,1868194,1786094,1802218,166,158,160,20
20,53,55,6408.0,307.5634891986847,1883189,1805001,1817483,167,160,161,20
21,54,54,6821.0,315.5634891986847,1777380,1692071,1715102,158,150,152,20
22,53,55,6357.0,305.4213538169861,1845626,1772619,1797845,164,157,160,20
23,53,55,6269.5,303.66399443149567,1875105,1799126,1823788,166,160,162,20
24,50,53,6915.0,330.8771975040436,1808336,1713416,1745333,160,152,155,20
25,13,46,23.0,23.313708305358887,1890981,1812186,1837002,168,161,163,20
26,53,54,6384.0,307.0782079696655,1890309,1809582,1829351,168,161,162,20
27,52,51,6744.5,317.8061298131943,1759512,1696739,1746590,156,151,155,20
28,53,55,6556.0,309.5634891986847,1871288,1789662,1807598,166,159,160,20
29,54,54,6782.5,314.83556735515594,1777959,1713366,1764006,158,152,156,20
30,53,54,6650.0,310.2497808933258,1806287,1741528,1791101,160,154,159,20
31,12,46,12.5,17.071067690849304,1886412,1809213,1831297,167,161,162,20
32,52,51,6796.5,318.29141104221344,1794063,1720667,1768800,159,153,157,20
33,51,51,6653.5,320.29141104221344,1808893,1732012,1773096,160,154,157,20
34,51,53,7146.0,325.22034335136414,1775312,1677687,1706613,158,149,151,20
35,54,55,6993.5,344.7766922712326,1734811,1652028,1691378,154,147,150,20
36,52,53,7143.0,322.8771975040436,1771785,1674320,1700279,157,149,151,20
37,54,54,6819.5,315.8061298131943,1808602,1724592,1749677,160,153,155,20
38,54,53,6933.5,317.3208485841751,1784668,1698222,1722891,158,151,153,20
39,53,54,6568.5,310.4924215078354,1861450,1779197,1796086,165,158,159,20
40,53,55,6551.5,310.14927566051483,1874185,1789219,1806723,166,159,160,20
41,53,54,6579.5,310.4924215078354,1862420,1779845,1794696,165,158,159,20
42,53,55,6544.0,308.2497808933258,1858388,1778766,1792957,165,158,159,20
43,55,55,6937.5,314.14927566051483,1762086,1678071,1701575,156,149,151,20
44,53,55,6628.0,312.73506212234497,1862532,1777082,1794339,165,158,159,20
45,54,54,6868.5,316.4924215078354,1772208,1688641,1710446,157,150,152,20
46,54,55,6496.0,310.3919162750244,1842819,1771407,1797768,164,157,160,20
47,52,55,6802.5,311.1787132024765,1738239,1683069,1724951,154,149,153,20
48,54,54,7075.5,324.4924215078354,1758838,1670980,1695342,156,148,150,20
49,54,53,6654.0,311.5634891986847,1818136,1734807,1753345,161,154,156,20
50,52,52,6412.5,308.634556889534,1847293,1769435,1803151,164,157,160,20
51,53,52,6615.5,316.29141104221344,1837929,1746931,1780142,163,155,158,20
52,51,53,6779.0,317.5634891986847,1825187,1732669,1763498,162,154,156,20
53,52,54,6846.5,314.83556735515594,1759238,1690636,1734926,156,150,154,20
54,51,52,6626.0,356.19090580940247,1845383,1754098,1787924,164,156,159,20
55,53,55,6707.5,310.4924215078354,1772883,1715478,1759581,157,152,156,20
56,55,55,7095.5,360.7766922712326,1721808,1634549,1666789,153,145,148,20
57,53,55,6458.5,304.3502861261368,1833073,1767759,1811426,163,157,161,20
58,55,54,7212.5,321.8061298131943,1666391,1592368,1626889,148,141,144,20
59,53,55,6475.5,306.0071402788162,1840828,1775555,1816498,163,158,161,20
60,11,45,15.0,16.485281229019165,1713281,1637074,1674414,152,145,149,20
61,53,55,6494.0,311.22034335136414,1845139,1772278,1799901,164,157,160,20
62,53,55,7016.5,340.7766922712326,1728362,1650532,1688769,153,146,150,20
63,54,55,6409.0,322.73506212234497,1860344,1784877,1808024,165,158,160,20
64,54,55,7110.5,338.29141104221344,1726630,1640703,1673133,153,146,148,20
65,52,52,7079.5,326.29141104221344,1784338,1689163,1714791,158,150,152,20
66,53,53,6895.0,317.5634891986847,1810347,1717271,1747328,161,152,155,20
67,54,54,6962.0,315.5634891986847,1786565,1697817,1725941,159,151,153,20
68,55,54,6740.0,313.5634891986847,1804823,1720921,1743831,160,153,155,20
69,53,55,6483.5,308.14927566051483,1877663,1796766,1813620,167,159,161,20
70,53,55,6606.5,308.0071402788162,1768545,1710645,1745955,157,152,155,20
71,54,53,6836.5,331.8061298131943,1776932,1687566,1706177,158,150,151,20
72,53,53,7031.0,338.19090580940247,1772109,1676150,1699134,157,149,151,20
73,54,55,6411.5,307.66399443149567,1863630,1787650,1807121,165,159,160,20
74,54,54,7123.5,370.43354642391205,1731072,1643267,1668401,154,146,148,20
75,15,45,11.0,20.485281229019165,1859062,1780565,1795590,165,158,159,20
76,54,55,7162.5,320.97770273685455,1737393,1647167,1671145,154,146,148,20
77,53,55,6282.5,303.66399443149567,1870097,1795519,1820539,166,159,162,20
78,53,54,6406.0,307.0782079696655,1888569,1807734,1826609,168,160,162,20
79,53,55,6297.0,336.3919162750244,1890639,1812323,1835835,168,161,163,20
80,53,52,6576.5,314.97770273685455,1789869,1729540,1777574,159,153,158,20
81,12,49,2.0,11.656854152679443,1835888,1768649,1799531,163,157,160,20
82,54,55,7145.5,320.634556889534,1679987,1603777,1641442,149,142,146,20
83,53,55,6465.0,305.4213538169861,1839387,1775270,1814624,163,157,161,20
84,53,55,6402.0,306.73506212234497,1884886,1805487,1818460,167,160,161,20
85,53,54,6381.5,307.66399443149567,1890657,1810483,1828067,168,161,162,20
86,53,51,6775.0,318.534051656723,1764557,1698483,1746905,157,151,155,20
87,52,51,6764.5,317.4629839658737,1783837,1715673,1763835,158,152,156,20
88,53,55,6376.0,306.2497808933258,1839887,1768475,1792050,163,157,159,20
89,53,55,6266.0,310.73506212234497,1868715,1793771,1818819,166,159,161,20
90,53,55,6396.5,307.66399443149567,1836426,1765327,1789780,163,157,159,20
91,54,55,6737.0,313.0782079696655,1801624,1718726,1740407,160,152,154,20
92,54,54,6965.0,317.5634891986847,1783994,1697583,1723982,158,151,153,20
93,54,55,7100.5,343.11983811855316,1726541,1639696,1672183,153,145,148,20
94,53,55,6388.5,324.14927566051483,1858994,1785480,1807871,165,158,160,20
95,53,55,7010.5,340.7766922712326,1732077,1651550,1691443,154,146,150,20
96,53,55,6496.0,313.22034335136414,1844905,1772866,1798919,164,157,160,20
97,51,53,6857.0,317.5634891986847,1818064,1723123,1754742,161,153,156,20
98,51,53,7231.0,326.8771975040436,1764250,1665295,1694265,157,148,150,20
99,53,55,6412.5,306.14927566051483,1884474,1803954,1818506,167,160,161,20
100,53,53,6887.5,328.29141104221344,1804141,1709126,1733675,160,152,154,20
101,54,53,6831.5,331.8061298131943,1781622,1690450,1710640,158,150,152,20
102,55,54,7007.0,318.3919162750244,1764807,1674180,1699795,157,149,151,20
103,15,45,7.0,14.485281229019165,1856724,1780231,1792727,165,158,159,20
104,54,54,7125.0,371.50461411476135,1731724,1641613,1667780,154,146,148,20
105,54,55,6426.5,307.66399443149567,1861512,1787253,1804419,165,159,160,20
106,52,55,6590.0,307.4213538169861,1769988,1710362,1745787,157,152,155,20
107,53,55,6461.5,307.3208485841751,1877298,1798305,1812695,167,160,161,20
108,53,55,6463.5,305.1787132024765,1839926,1773878,1816345,163,157,161,20
109,54,55,7169.5,321.4629839658737,1673491,1599825,1635564,148,142,145,20
110,54,55,7157.5,321.8061298131943,1741404,1649121,1675284,154,146,149,20
111,54,54,6818.0,314.73506212234497,1776824,1693719,1715324,158,150,152,20
112,13,48,3.5,15.071067690849304,1836692,1767959,1801068,163,157,160,20
113,52,51,6709.0,318.8771975040436,1765425,1705223,1751862,157,151,155,20
114,13,46,32.5,26.727921843528748,1889614,1812372,1834804,168,161,163,20
115,53,54,6396.5,307.3208485841751,1888118,1808677,1826691,168,160,162,20
116,53,55,6404.5,307.66399443149567,1831115,1760660,1784201,162,156,158,20
117,53,55,6268.0,308.2497808933258,1865310,1792092,1815475,166,159,161,20
118,52,50,6749.5,318.29141104221344,1786756,1720426,1766852,159,153,157,20
119,52,51,6590.0,314.8771975040436,1792610,1729302,1774985,159,153,157,20
120,53,54,6388.5,307.66399443149567,1891459,1809912,1829727,168,161,162,20
121,54,55,6400.0,306.73506212234497,1886191,1805630,1819967,167,160,161,20
122,53,55,6592.0,314.73506212234497,1868152,1784873,1802043,166,158,160,20
