,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,51,52,7400.0,324.73506212234497,2140733,1694757,1306517,190,150,116,21
1,52,53,7389.5,328.4924215078354,1790017,1260025,1164547,159,112,103,21
2,53,50,7598.5,333.0365778207779,1838627,1293991,1108925,163,115,98,21
3,52,52,7291.0,320.9360725879669,2074307,1620559,1256487,184,144,111,21
4,55,52,6258.0,404.534051656723,2001569,1522925,1324455,178,135,117,21
5,53,52,7353.5,322.3502861261368,2079633,1620145,1242203,185,144,110,21
6,55,52,5988.5,437.88939011096954,2049781,1592707,1348741,182,141,120,21
7,52,52,6921.0,316.04877042770386,2097448,1586192,1312601,186,141,116,21
8,52,52,7464.5,325.8650048971176,2038877,1555667,1220911,181,138,108,21
9,51,52,6671.5,310.20815074443817,1966097,1449093,1314948,174,128,117,21
10,52,52,7280.0,322.1076455116272,2070152,1608434,1261219,184,143,112,21
11,54,52,6491.0,373.90663504600525,1979136,1480881,1317880,176,131,117,21
12,52,53,7391.0,326.73506212234497,1785764,1259378,1166048,158,112,103,21
13,53,52,6475.5,368.0071402788162,1975392,1477247,1317226,175,131,117,21
14,51,52,7508.5,326.4924215078354,2121886,1660086,1271942,188,147,113,21
15,52,53,7503.5,328.14927566051483,1787244,1248250,1146588,159,111,102,21
16,52,52,7441.5,326.4924215078354,2140021,1671525,1287131,190,148,114,21
17,53,50,7576.5,335.0365778207779,1841640,1298523,1113632,163,115,99,21
18,52,53,7561.0,330.2497808933258,1801757,1248154,1126705,160,111,100,21
19,51,52,7261.0,322.3919162750244,2203201,1768856,1359487,196,157,120,21
20,53,51,7151.5,323.8650048971176,1914638,1373803,1207406,170,122,107,21
21,52,52,7393.0,327.4213538169861,1842279,1292284,1157967,163,115,103,21
22,52,51,7185.5,323.52185904979706,1907155,1359899,1200295,169,121,106,21
23,51,52,7066.0,317.22034335136414,2249585,1817898,1398655,200,161,124,21
24,52,52,7267.0,320.9360725879669,2069097,1608955,1266084,184,143,112,21
25,52,50,7706.5,337.52185904979706,1824547,1286762,1088992,162,114,96,21
26,51,53,7098.0,317.90663504600525,2189088,1687245,1334358,194,150,118,21
27,51,52,7114.0,321.22034335136414,2141119,1634437,1317396,190,145,117,21
28,51,51,6549.5,307.4629839658737,2052617,1523013,1368327,182,135,121,21
29,52,52,7273.5,321.66399443149567,2203325,1687720,1309274,196,150,116,21
30,52,52,7279.5,322.83556735515594,2228607,1719296,1319662,198,153,117,21
31,53,50,7374.5,329.0365778207779,1876140,1326364,1152792,166,118,102,21
32,52,52,7623.0,336.59292674064636,1957093,1394518,1161347,174,124,103,21
33,51,52,7668.0,337.0782079696655,1901993,1328637,1138362,169,118,101,21
34,52,51,6864.5,313.4629839658737,2067721,1544236,1313783,184,137,116,21
35,52,52,6665.5,309.37972366809845,1963130,1444596,1310635,174,128,116,21
36,53,52,7361.5,325.52185904979706,2044496,1555230,1247318,181,138,111,21
37,53,52,6587.5,352.0071402788162,1969521,1462930,1316082,175,130,117,21
38,53,51,7350.0,323.2792184352875,2056194,1581663,1247420,183,140,111,21
39,54,52,6349.5,394.634556889534,1989324,1503537,1317242,177,133,117,21
40,52,51,6896.0,312.8771975040436,2270754,1841120,1435515,202,163,127,21
41,52,51,6951.5,313.4629839658737,2239043,1799488,1416938,199,160,126,21
42,53,51,7469.5,330.69343197345734,1854777,1312526,1131426,165,116,100,21
43,52,51,7106.0,323.4213538169861,1894831,1359852,1219202,168,121,108,21
44,52,51,7017.0,320.9360725879669,1920247,1388637,1236617,170,123,110,21
45,52,53,7765.0,336.2497808933258,1758404,1197283,1080979,156,106,96,21
46,52,52,7457.0,326.45079135894775,2039855,1554008,1224693,181,138,108,21
47,51,52,7233.5,319.8061298131943,2226352,1782374,1362116,198,158,121,21
48,53,52,7613.0,331.0782079696655,1797503,1237660,1109210,159,110,98,21
49,52,52,7045.0,315.22034335136414,2261170,1825057,1399507,201,162,124,21
50,52,52,7761.5,332.3502861261368,2071585,1562628,1156137,184,139,102,21
51,52,52,6865.0,312.8771975040436,2212430,1777778,1423666,196,158,126,21
52,53,53,7483.5,325.52185904979706,2078422,1603156,1212707,184,142,107,21
53,51,52,6908.0,315.7056245803833,2131506,1687915,1373179,189,150,122,21
54,52,53,7353.0,329.2792184352875,2029495,1527792,1237915,180,135,110,21
55,52,52,6777.5,311.8650048971176,1946710,1416092,1286435,173,126,114,21
56,52,52,7353.5,330.3502861261368,2007876,1482084,1230749,178,131,109,21
57,52,52,7456.5,326.4924215078354,2134338,1667811,1281511,189,148,114,21
58,52,52,7011.0,316.2497808933258,1905489,1358617,1235754,169,120,109,21
59,51,52,7107.0,319.22034335136414,2159260,1651328,1325501,192,146,117,21
60,51,52,7564.5,336.14927566051483,1876960,1310869,1154704,167,116,102,21
61,52,52,7210.0,324.9360725879669,2239373,1749761,1352579,199,155,120,21
62,51,53,7647.0,337.5634891986847,1820789,1252511,1125445,162,111,100,21
63,51,52,7089.0,319.5634891986847,2112288,1594375,1311446,187,141,116,21
64,51,52,7377.0,327.0782079696655,2169962,1696029,1307878,193,150,116,21
65,51,51,6595.0,309.22034335136414,2064357,1538978,1361725,183,136,121,21
66,52,53,7470.5,329.3208485841751,1787017,1251026,1151860,159,111,102,21
67,51,52,7418.5,325.66399443149567,2149868,1680496,1294091,191,149,115,21
68,52,53,7492.5,329.3208485841751,1787490,1248463,1150511,159,111,102,21
69,52,53,7385.0,328.3919162750244,1783865,1258119,1165650,158,111,103,21
70,51,52,7502.5,327.3208485841751,2123351,1658825,1272922,188,147,113,21
71,53,51,7144.0,318.1076455116272,2083783,1632837,1289491,185,145,114,21
72,52,52,6499.5,367.1787132024765,1971455,1472042,1317740,175,131,117,21
73,53,51,7325.0,323.2792184352875,2056007,1584430,1250299,182,141,111,21
74,52,52,6692.5,310.20815074443817,1962333,1441138,1310104,174,128,116,21
75,51,52,6938.0,317.22034335136414,2103214,1597181,1311342,187,142,116,21
76,52,51,6908.5,314.634556889534,2267247,1833216,1431189,201,163,127,21
77,51,51,7057.5,316.634556889534,2267019,1829117,1403310,201,162,124,21
78,52,53,7181.0,319.76449966430664,2097285,1647975,1281693,186,146,114,21
79,51,52,7357.5,324.14927566051483,2137502,1688013,1306669,190,150,116,21
80,56,52,5932.0,448.1320307254791,2060113,1606692,1353811,183,142,120,21
81,53,52,7266.0,320.9360725879669,2074860,1623581,1262721,184,144,112,21
82,55,52,6179.5,416.0904005765915,2005340,1532122,1325616,178,136,117,21
