,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,64,30,4.5,8.242640614509583,2467910,2370961,2142858,219,211,190,22
1,54,62,3654.5,287.66399443149567,2549014,2480678,2274847,226,220,202,22
2,42,53,4132.5,297.11983811855316,2479410,2398785,2183231,220,213,194,22
3,49,52,5535.5,284.14927566051483,2213685,1815571,1715216,197,161,152,22
4,48,52,4995.5,281.66399443149567,2260163,1861772,1793298,201,165,159,22
5,36,55,3067.0,302.59292674064636,2362230,2252344,2158054,210,200,192,22
6,75,47,24.0,22.485281229019165,2373073,2217960,2133449,211,197,189,22
7,59,52,3.0,6.828427076339722,2475230,2317633,2208251,220,206,196,22
8,58,52,4182.0,266.59292674064636,2455890,2390227,2166582,218,212,192,22
9,96,49,57.5,31.55634891986847,2299301,2104522,1947830,204,187,173,22
10,49,63,3048.5,332.7766922712326,2494317,2369351,2231709,221,210,198,22
11,92,50,92.0,36.97056245803833,2220870,2008626,1812733,197,178,161,22
12,57,52,4330.5,270.0071402788162,2469147,2399973,2167528,219,213,192,22
13,57,52,4359.5,271.1787132024765,2486539,2417300,2186733,221,215,194,22
14,35,34,1.5,5.414213538169861,2481245,2385169,2154386,220,212,191,22
15,70,30,3.5,8.242640614509583,2485578,2394017,2165686,221,213,192,22
16,49,63,3418.0,262.1076455116272,2557412,2503860,2312524,227,222,205,22
17,48,58,5155.5,389.6051193475723,2148451,2030767,1750739,191,180,155,22
18,50,63,3376.0,260.45079135894775,2555696,2502655,2313376,227,222,205,22
19,48,59,5460.0,385.36247873306274,2056117,1941193,1675708,182,172,149,22
20,52,64,3034.0,235.9655101299286,2434233,2168361,2144035,216,192,190,22
21,52,63,3122.5,224.89444243907928,2427556,2132521,2131438,216,189,189,22
22,51,62,3377.0,280.3919162750244,2534974,2474733,2283721,225,220,203,22
23,65,40,4.5,10.242640614509583,2262751,2169728,1854614,201,193,165,22
24,58,52,5.5,9.41421353816986,2479822,2327631,2213647,220,207,197,22
25,52,62,3371.0,285.5634891986847,2527567,2457325,2272122,224,218,202,22
26,55,53,5482.5,286.97770273685455,2388236,2305098,2022844,212,205,180,22
27,49,66,2727.0,242.1076455116272,2457095,2258041,2181436,218,200,194,22
28,59,52,4027.5,261.52185904979706,2448561,2386431,2170413,217,212,193,22
29,51,64,2888.0,248.1076455116272,2444467,2212910,2162843,217,196,192,22
30,44,52,5051.5,316.7766922712326,2382225,2282483,2018239,212,203,179,22
31,60,52,3796.0,252.93607258796692,2456878,2399715,2198618,218,213,195,22
32,58,32,24.0,19.313708305358887,2444345,2348996,2126024,217,209,189,22
33,64,52,3461.0,272.9360725879669,2489722,2434491,2259719,221,216,201,22
34,56,62,3751.0,296.73506212234497,2535180,2449181,2239375,225,217,199,22
35,50,63,3362.5,264.69343197345734,2552008,2500169,2310875,227,222,205,22
36,63,52,4122.0,288.59292674064636,2424069,2350523,2142145,215,209,190,22
37,44,56,4043.5,357.6051193475723,2357942,2259774,2027853,209,201,180,22
38,50,63,3345.5,270.0071402788162,2546975,2493841,2306012,226,221,205,22
39,50,63,3362.0,262.45079135894775,2553416,2500802,2312243,227,222,205,22
40,36,55,2997.0,296.9360725879669,2373702,2263841,2174635,211,201,193,22
41,39,57,3806.0,388.19090580940247,2227358,2121973,1973680,198,188,175,22
42,55,62,3716.5,294.97770273685455,2542059,2462789,2253450,226,219,200,22
43,49,31,2.0,6.0,2477338,2382176,2151226,220,212,191,22
44,54,62,3642.0,287.0782079696655,2549681,2482895,2276253,226,220,202,22
45,64,30,1.5,5.414213538169861,2469779,2373442,2145903,219,211,190,22
46,51,62,3364.0,272.2497808933258,2544741,2490913,2300673,226,221,204,22
47,58,52,7.5,10.242640614509583,2476663,2322023,2209649,220,206,196,22
48,42,53,4188.0,296.8771975040436,2471712,2391046,2171912,219,212,193,22
49,57,52,4373.5,271.1787132024765,2482326,2412694,2181045,220,214,194,22
50,57,52,4331.0,268.9360725879669,2459719,2390768,2158798,218,212,192,22
