,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,53,52,6450.5,315.722869515419,1383459,1502242,1353407,123,133,120,23
1,53,52,6441.0,319.62236428260803,1375229,1500666,1348694,122,133,120,23
2,50,52,6964.5,341.0365778207779,1282285,1427853,1222604,114,127,108,23
3,51,55,6361.5,326.69343197345734,1436665,1556750,1416598,127,138,126,23
4,52,51,6427.0,322.30865597724915,1374249,1500507,1352784,122,133,120,23
5,52,51,6703.0,330.45079135894775,1343047,1474788,1328858,119,131,118,23
6,53,53,6654.5,331.52185904979706,1375283,1515019,1337423,122,134,119,23
7,52,53,6485.0,325.13708305358887,1429986,1568296,1408042,127,139,125,23
8,52,52,6917.0,337.9655101299286,1306947,1452624,1286197,116,129,114,23
9,52,52,7014.5,339.37972366809845,1251417,1395656,1217654,111,124,108,23
10,52,52,6969.0,338.45079135894775,1269254,1405639,1233435,112,125,109,23
11,51,54,6053.0,314.1076455116272,1494639,1619537,1486025,133,144,132,23
12,51,53,6371.5,329.11983811855316,1451254,1573895,1446131,129,140,128,23
13,53,53,6821.0,324.73506212234497,1370047,1520957,1275558,121,135,113,23
14,79,16,5.0,12.485281229019165,1333272,1466030,1333538,118,130,118,23
15,51,53,6326.5,324.20815074443817,1474341,1609618,1446917,131,143,128,23
16,53,52,6685.5,337.1787132024765,1368637,1496519,1354275,121,133,120,23
17,52,53,6162.0,314.6518018245697,1497885,1626166,1455361,133,144,129,23
18,53,53,7263.0,339.9655101299286,1148673,1283552,1105291,102,114,98,23
19,53,53,7024.0,332.6518018245697,1213344,1338252,1172490,107,119,104,23
20,53,55,6609.5,330.97770273685455,1350461,1475595,1297055,120,131,115,23
21,52,51,7558.0,347.62236428260803,1106033,1256513,1048263,98,111,93,23
22,53,53,6823.5,324.4924215078354,1362683,1511103,1267068,121,134,112,23
23,51,51,7179.5,342.20815074443817,1223884,1371806,1163177,108,122,103,23
24,51,51,7322.0,345.62236428260803,1182266,1331659,1122017,105,118,99,23
25,51,54,6651.0,323.0782079696655,1413433,1554702,1339501,125,138,119,23
26,50,53,6840.0,346.2497808933258,1323286,1481681,1285642,117,131,114,23
27,51,54,6623.5,327.8650048971176,1376125,1531945,1338657,122,136,119,23
28,53,52,6812.5,338.20815074443817,1337113,1464233,1311731,119,130,116,23
29,52,51,6683.0,338.1076455116272,1361749,1490663,1344601,121,132,119,23
30,53,51,6433.0,320.7939372062683,1374995,1500461,1351696,122,133,120,23
31,52,53,6597.0,328.1076455116272,1364058,1501553,1324635,121,133,117,23
32,53,52,6555.0,325.62236428260803,1358812,1486716,1341975,120,132,119,23
33,51,52,6879.5,341.1787132024765,1337041,1486594,1300958,118,132,115,23
34,52,54,6350.5,320.83556735515594,1433099,1579086,1386414,127,140,123,23
35,51,53,6715.5,321.3208485841751,1337378,1473009,1310900,119,131,116,23
36,51,55,6189.5,313.66399443149567,1473200,1609078,1412027,131,143,125,23
37,53,54,6585.5,329.11983811855316,1401618,1534053,1331231,124,136,118,23
38,53,54,6841.0,330.8771975040436,1371155,1517123,1298028,122,135,115,23
39,52,51,7517.5,345.37972366809845,1097730,1244615,1042218,97,110,92,23
40,53,52,6837.5,324.4924215078354,1368886,1522069,1275270,121,135,113,23
41,53,52,7355.5,340.20815074443817,1123222,1262644,1075003,99,112,95,23
42,52,53,6791.0,327.90663504600525,1383083,1537764,1300372,123,136,115,23
43,54,53,6759.0,328.7939372062683,1270163,1390784,1233252,113,123,109,23
44,50,55,7255.0,326.8771975040436,1171902,1322252,1167420,104,117,103,23
45,51,54,7019.0,322.3919162750244,1254326,1399695,1238028,111,124,110,23
46,54,53,6422.5,314.20815074443817,1371840,1488757,1345685,122,132,119,23
47,51,53,5776.5,300.69343197345734,1544483,1673081,1555582,137,148,138,23
48,54,53,6408.0,316.1076455116272,1364873,1477975,1338143,121,131,119,23
49,51,53,6674.5,318.14927566051483,1341289,1478247,1318647,119,131,117,23
50,54,52,6429.5,313.0365778207779,1374280,1490344,1348480,122,132,120,23
51,52,53,6523.5,315.66399443149567,1365939,1498442,1335643,121,133,118,23
52,50,52,6810.5,334.5512965917587,1315042,1458112,1256285,117,129,111,23
53,53,53,6816.0,322.2497808933258,1361608,1510560,1268594,121,134,112,23
54,51,51,7216.5,343.8650048971176,1213056,1359918,1152663,107,121,102,23
55,53,53,6792.5,324.83556735515594,1375400,1526999,1281323,122,135,114,23
56,50,53,6860.5,341.52185904979706,1317595,1477242,1282400,117,131,114,23
57,52,52,6862.5,334.8944424390793,1321388,1467145,1300439,117,130,115,23
58,50,53,6745.0,337.76449966430664,1356147,1506094,1320689,120,134,117,23
59,53,52,6763.0,330.7939372062683,1359863,1486904,1340126,121,132,119,23
60,51,53,6031.0,311.82337474823,1505003,1633432,1456754,133,145,129,23
61,52,53,6164.0,313.82337474823,1500171,1628826,1457278,133,144,129,23
62,52,55,6332.5,316.14927566051483,1471346,1604525,1404894,130,142,125,23
63,52,54,6623.0,324.73506212234497,1423699,1564334,1354378,126,139,120,23
64,53,52,6475.0,315.9655101299286,1377042,1494639,1348219,122,133,119,23
65,53,52,6461.0,318.7939372062683,1373197,1496809,1345770,122,133,119,23
66,52,52,6981.0,339.62236428260803,1271284,1408087,1238403,113,125,110,23
67,52,52,7011.5,339.37972366809845,1248632,1390179,1210858,111,123,107,23
68,51,53,6435.0,324.30865597724915,1438381,1577722,1416916,128,140,126,23
69,51,54,6103.5,316.3502861261368,1494033,1618443,1484259,132,144,132,23
70,50,55,7413.5,328.14927566051483,1139612,1292441,1132673,101,115,100,23
71,50,56,7057.5,322.634556889534,1210845,1352821,1208360,107,120,107,23
72,51,55,6336.0,325.76449966430664,1452677,1572433,1434897,129,139,127,23
73,52,52,6782.0,334.30865597724915,1344306,1486692,1322656,119,132,117,23
74,51,53,6421.5,323.722869515419,1447591,1585842,1426137,128,141,126,23
75,50,52,6776.0,338.59292674064636,1348523,1499947,1311652,120,133,116,23
76,50,53,6855.0,341.76449966430664,1320356,1479741,1283044,117,131,114,23
77,52,53,6518.0,315.4213538169861,1363928,1495413,1335308,121,133,118,23
78,53,52,6434.5,315.37972366809845,1374882,1491989,1348749,122,132,120,23
79,53,53,6644.5,332.3502861261368,1370343,1511035,1331376,121,134,118,23
80,51,53,6784.5,319.3208485841751,1321143,1458226,1296529,117,129,115,23
81,54,53,6411.5,316.69343197345734,1365027,1479062,1337181,121,131,119,23
82,52,53,5798.0,299.62236428260803,1539394,1668314,1551472,137,148,138,23
83,52,53,6765.5,323.66399443149567,1384235,1534110,1290659,123,136,114,23
84,51,51,7240.5,344.69343197345734,1204379,1352146,1144496,107,120,101,23
85,53,53,6789.0,323.4213538169861,1368928,1515769,1275283,121,134,113,23
86,50,52,6878.5,338.20815074443817,1298922,1444053,1239118,115,128,110,23
87,52,54,6551.5,323.66399443149567,1442626,1580333,1373376,128,140,122,23
88,52,55,6317.5,315.8061298131943,1480134,1611068,1413825,131,143,125,23
89,53,52,6452.5,319.0365778207779,1375566,1499862,1347785,122,133,119,23
90,53,51,6671.0,329.2792184352875,1348432,1478186,1333381,120,131,118,23
91,53,52,6453.5,316.5512965917587,1382384,1499925,1352960,123,133,120,23
92,51,53,6182.5,316.06601536273956,1498004,1626308,1456671,133,144,129,23
93,51,53,6042.0,310.6518018245697,1507890,1634793,1460106,134,145,129,23
94,53,52,6763.5,336.69343197345734,1355618,1483569,1333735,120,132,118,23
95,49,55,6982.0,321.7056245803833,1224051,1366558,1222867,108,121,108,23
96,53,53,6481.0,325.9655101299286,1326304,1441536,1294761,118,128,115,23
97,50,55,7387.5,327.8061298131943,1136343,1291346,1131207,101,114,100,23
98,52,55,6108.0,317.76449966430664,1496799,1622019,1486036,133,144,132,23
99,52,52,7027.5,340.20815074443817,1247262,1391498,1211556,111,123,107,23
100,52,52,6993.0,338.45079135894775,1265127,1403151,1230355,112,124,109,23
101,53,51,6496.5,325.37972366809845,1362654,1490055,1342697,121,132,119,23
102,51,53,6390.5,322.5512965917587,1457960,1595983,1433796,129,142,127,23
103,51,52,6748.5,330.8944424390793,1357305,1499170,1334796,120,133,118,23
104,52,55,6391.5,326.3502861261368,1433122,1555076,1413560,127,138,125,23
105,53,55,6573.5,329.8061298131943,1360475,1486924,1306431,121,132,116,23
106,53,55,6599.5,334.14927566051483,1325918,1451111,1287214,118,129,114,23
107,52,53,6139.5,313.23758828639984,1500030,1629059,1455966,133,144,129,23
108,52,52,6674.0,336.9360725879669,1370292,1496632,1355511,121,133,120,23
109,51,53,6310.5,324.20815074443817,1479919,1615006,1450451,131,143,129,23
110,90,35,9.5,25.41421353816986,1302848,1436570,1302574,115,127,115,23
111,50,53,6318.5,327.4629839658737,1464153,1584448,1460290,130,141,129,23
112,53,55,6678.5,329.4629839658737,1353955,1483184,1293305,120,132,115,23
113,51,55,6333.5,324.69343197345734,1435932,1555632,1413746,127,138,125,23
114,53,53,6984.5,332.8944424390793,1221407,1347365,1181412,108,119,105,23
115,53,53,7256.0,339.9655101299286,1152837,1288656,1110195,102,114,98,23
116,51,54,6627.5,329.8650048971176,1376089,1529563,1336125,122,136,118,23
117,50,53,6846.5,341.52185904979706,1322882,1480227,1286211,117,131,114,23
118,52,52,6697.5,329.8650048971176,1363079,1491001,1345513,121,132,119,23
119,53,52,6748.5,335.0365778207779,1350075,1478197,1324508,120,131,117,23
120,52,54,6794.5,332.14927566051483,1386028,1530621,1309534,123,136,116,23
121,51,51,7146.5,341.0365778207779,1235907,1382329,1176107,109,123,104,23
122,53,53,6831.5,328.4924215078354,1359902,1509465,1264163,121,134,112,23
123,52,51,7478.0,346.7939372062683,1133153,1282187,1076491,100,114,95,23
124,52,54,6036.5,314.3502861261368,1501587,1626227,1492447,133,144,132,23
125,51,52,6827.0,340.59292674064636,1346936,1495175,1310818,119,133,116,23
126,53,52,6535.0,323.9655101299286,1362784,1491530,1346724,121,132,119,23
127,53,53,6217.5,320.69343197345734,1456022,1584584,1418563,129,141,126,23
128,53,51,6419.5,321.37972366809845,1375146,1501565,1351234,122,133,120,23
129,50,53,6208.5,313.722869515419,1468873,1603918,1402489,130,142,124,23
130,51,54,6447.5,324.0071402788162,1411915,1558645,1362661,125,138,121,23
131,53,53,6882.5,330.97770273685455,1368736,1522162,1285030,121,135,114,23
132,53,52,7346.0,340.7939372062683,1126725,1264790,1080381,100,112,96,23
133,52,52,6863.5,326.14927566051483,1368725,1520942,1275189,121,135,113,23
134,52,52,7485.0,343.9655101299286,1102385,1245913,1047623,98,110,93,23
135,52,52,6977.5,340.20815074443817,1258679,1397696,1222396,112,124,108,23
136,51,53,6977.0,320.73506212234497,1269595,1412019,1251583,112,125,111,23
137,50,55,7270.0,328.04877042770386,1168345,1318582,1164452,103,117,103,23
138,53,53,6766.0,329.62236428260803,1269794,1391058,1234065,113,123,109,23
139,53,54,6868.0,332.8771975040436,1369209,1518750,1295150,121,135,115,23
140,53,54,6607.5,328.29141104221344,1398062,1533064,1326379,124,136,118,23
141,51,54,6372.0,318.2497808933258,1428310,1572809,1375468,127,139,122,23
142,51,55,6052.0,310.2497808933258,1510121,1640825,1447162,134,146,128,23
143,51,56,6350.0,326.9360725879669,1418748,1538521,1393957,126,136,124,23
144,52,52,6599.0,327.76449966430664,1346200,1483465,1308387,119,132,116,23
145,53,51,6425.0,322.30865597724915,1373892,1499852,1350868,122,133,120,23
146,52,51,7012.5,340.20815074443817,1256032,1401214,1223169,111,124,108,23
147,52,52,6867.5,336.69343197345734,1330861,1477346,1292014,118,131,114,23
148,52,51,6634.0,327.62236428260803,1347866,1477919,1333194,119,131,118,23
149,50,55,7272.5,327.4629839658737,1167205,1316372,1164201,103,117,103,23
150,53,53,6633.5,326.5512965917587,1298994,1416567,1264338,115,126,112,23
151,51,54,7133.0,327.22034335136414,1216398,1365458,1207456,108,121,107,23
152,54,53,6414.5,322.20815074443817,1348772,1462989,1321971,120,130,117,23
153,51,53,6002.0,307.82337474823,1509472,1636631,1461552,134,145,130,23
154,52,53,6759.5,324.4924215078354,1388601,1540977,1297432,123,137,115,23
155,52,51,7575.5,349.37972366809845,1092821,1241666,1036052,97,110,92,23
156,53,53,6934.5,333.8061298131943,1358910,1513594,1278548,120,134,113,23
157,52,52,6775.0,337.62236428260803,1348060,1475196,1323529,119,131,117,23
158,52,52,7381.5,343.0365778207779,1118449,1258313,1066390,99,111,94,23
159,52,51,7010.5,337.722869515419,1259414,1405985,1231193,112,125,109,23
160,53,55,6614.5,326.634556889534,1379474,1510211,1313955,122,134,116,23
161,52,52,6999.0,339.62236428260803,1252512,1393632,1215661,111,124,108,23
162,53,54,6664.5,325.4629839658737,1398673,1537936,1326650,124,136,118,23
163,53,54,6631.5,330.634556889534,1356384,1484604,1299095,120,132,115,23
164,53,52,6426.5,320.20815074443817,1376290,1502909,1351886,122,133,120,23
165,53,52,6492.0,316.7939372062683,1374266,1494931,1344262,122,133,119,23
166,53,53,7178.0,338.30865597724915,1176085,1308369,1134763,104,116,100,23
167,53,53,6911.0,331.4802289009094,1238593,1361836,1198980,110,121,106,23
168,52,51,6692.0,336.9360725879669,1360701,1489036,1343291,121,132,119,23
169,52,53,6247.5,317.722869515419,1493447,1624702,1458700,132,144,129,23
170,51,53,6108.5,312.06601536273956,1498229,1626092,1452278,133,144,129,23
171,53,52,6707.5,335.0365778207779,1374233,1502072,1357200,122,133,120,23
172,50,53,6454.0,333.7056245803833,1428531,1553552,1428347,127,138,127,23
173,49,55,6971.0,324.8771975040436,1215204,1358071,1213642,108,120,108,23
174,52,51,6722.0,338.9360725879669,1348240,1478459,1331002,119,131,118,23
175,52,52,6705.0,330.45079135894775,1371963,1501069,1355079,122,133,120,23
176,52,52,6866.0,337.62236428260803,1307799,1439642,1280268,116,128,113,23
177,51,54,6712.5,333.0365778207779,1350471,1508843,1316800,120,134,117,23
178,51,53,5904.5,305.52185904979706,1514131,1644826,1522693,134,146,135,23
179,52,52,6685.0,333.62236428260803,1380241,1507391,1362766,122,134,121,23
180,51,54,6148.0,316.1076455116272,1460651,1589658,1452670,129,141,129,23
181,52,52,6901.0,339.62236428260803,1293345,1426613,1262665,115,126,112,23
182,52,52,7001.0,341.62236428260803,1251484,1391328,1212372,111,123,107,23
183,52,52,6966.5,336.8944424390793,1291818,1439015,1269846,114,128,113,23
184,52,53,6526.5,325.37972366809845,1413997,1553182,1392262,125,138,123,23
185,52,54,6402.5,320.69343197345734,1426108,1573499,1383838,126,140,123,23
186,52,55,6307.5,321.1787132024765,1461843,1587105,1450911,130,141,129,23
187,52,55,6336.0,326.1076455116272,1415460,1534734,1390924,125,136,123,23
188,52,53,6922.0,330.2497808933258,1343437,1493634,1256955,119,132,111,23
189,50,52,6961.5,338.20815074443817,1282532,1427219,1222979,114,127,108,23
190,50,54,6834.5,343.1787132024765,1326764,1483291,1288587,118,132,114,23
191,53,53,6776.5,324.4924215078354,1375292,1524988,1279906,122,135,113,23
