,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,51,52,5928.0,307.5634891986847,1949753,1408662,1409512,173,125,125,24
1,52,50,5906.5,302.14927566051483,2040469,1468106,1445587,181,130,128,24
2,51,54,7176.5,337.8061298131943,1725444,1083019,1092376,153,96,97,24
3,50,51,6963.5,322.634556889534,1810745,1155911,1155398,161,102,102,24
4,52,54,7155.0,327.4213538169861,1726936,1072158,1086879,153,95,96,24
5,53,54,7265.5,331.3208485841751,1705900,1055700,1065417,151,93,94,24
6,53,49,5909.5,307.8061298131943,1992385,1463900,1446409,177,130,128,24
7,52,50,5941.5,305.8061298131943,2046329,1468238,1446986,182,130,128,24
8,53,51,6056.0,306.04877042770386,1972394,1388468,1408092,175,123,125,24
9,52,54,6659.5,319.3208485841751,1854222,1272408,1252231,165,113,111,24
10,51,52,7237.5,346.4924215078354,1814909,1074419,1080677,161,95,96,24
11,53,53,6425.5,316.4924215078354,1903044,1338864,1312450,169,119,116,24
12,52,52,6639.0,316.534051656723,1886442,1225397,1232276,167,109,109,24
13,51,50,6689.5,319.6051193475723,1848975,1246429,1243708,164,110,110,24
14,52,51,6425.5,321.1787132024765,1983851,1302507,1339573,176,115,119,24
15,52,51,6335.0,321.76449966430664,2001127,1335994,1378501,178,118,122,24
16,51,51,7047.0,340.73506212234497,1917214,1152368,1174761,170,102,104,24
17,51,54,7103.0,338.3919162750244,1738843,1100358,1112859,154,97,99,24
18,52,49,5929.5,315.8061298131943,1982019,1457076,1442109,176,129,128,24
19,50,50,6854.0,336.2497808933258,1953419,1222199,1257823,173,108,111,24
20,51,50,6270.5,317.11983811855316,1923399,1380623,1376739,171,122,122,24
21,51,54,7194.5,338.97770273685455,1721935,1072782,1090771,153,95,97,24
22,51,51,7014.5,334.83556735515594,1929363,1165772,1207463,171,103,107,24
23,52,51,7138.5,336.97770273685455,1810665,1106135,1120739,161,98,99,24
24,50,51,6841.0,334.45079135894775,1979590,1202106,1227790,176,106,109,24
25,52,54,7370.5,337.66399443149567,1690315,1045747,1070863,150,93,95,24
26,52,51,6743.5,328.83556735515594,1947400,1217213,1250368,173,108,111,24
27,52,54,7252.0,333.90663504600525,1702914,1060194,1078957,151,94,96,24
28,53,51,6941.5,339.3208485841751,1849845,1160288,1178950,164,103,104,24
29,52,54,6544.5,324.14927566051483,1858823,1240353,1248180,165,110,111,24
30,52,53,6975.5,328.14927566051483,1786967,1173602,1167730,159,104,103,24
31,51,52,6866.0,339.5634891986847,1913149,1170084,1179871,170,104,105,24
32,51,52,7093.5,340.83556735515594,1847296,1111184,1120109,164,98,99,24
33,53,51,5910.0,304.3919162750244,2021251,1453876,1428975,179,129,127,24
34,52,50,5909.5,302.14927566051483,2039287,1467680,1443153,181,130,128,24
35,51,50,6554.0,318.534051656723,1880223,1308610,1312559,167,116,116,24
36,52,52,5914.0,306.3919162750244,1954284,1416743,1415834,173,126,126,24
37,51,51,7331.5,340.83556735515594,1921049,1105725,1146364,170,98,102,24
38,50,51,6834.0,320.8771975040436,1821840,1191406,1183752,162,106,105,24
39,51,51,7085.0,336.2497808933258,1931486,1160921,1207375,171,103,107,24
40,50,51,7101.5,327.8061298131943,1794297,1124869,1128310,159,100,100,24
41,52,52,7382.5,330.97770273685455,1864397,1032950,1048849,165,91,93,24
42,51,50,6596.0,319.36247873306274,1871968,1296681,1298679,166,115,115,24
43,52,54,7287.0,332.73506212234497,1715333,1049236,1056402,152,93,94,24
44,50,53,6820.5,323.52185904979706,1847747,1192724,1189965,164,106,105,24
45,50,51,6852.5,333.8650048971176,1980273,1199956,1228352,176,106,109,24
46,50,53,6818.0,321.76449966430664,1843627,1190606,1188923,164,105,105,24
47,51,54,7175.5,336.97770273685455,1727966,1084169,1094215,153,96,97,24
48,51,50,6666.5,319.9482651948929,1848568,1246961,1241975,164,110,110,24
49,53,54,6456.0,316.2497808933258,1899420,1332529,1305555,169,118,116,24
50,53,54,6521.0,317.0782079696655,1876734,1312216,1284754,167,116,114,24
51,53,53,6899.5,338.29141104221344,1795762,1161659,1165876,159,103,103,24
52,53,53,6730.5,331.52185904979706,1951092,1214734,1238413,173,108,110,24
53,53,53,6986.0,340.73506212234497,1905232,1139438,1163086,169,101,103,24
