,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,54,53,6104.5,307.23758828639984,1812096,1696032,1610777,161,150,143,25
1,51,54,7087.0,331.9655101299286,1665356,1514290,1410700,148,134,125,25
2,52,54,5572.0,291.76449966430664,1888246,1804114,1738470,168,160,154,25
3,52,53,6033.5,304.0071402788162,1814537,1727198,1647830,161,153,146,25
4,54,54,6315.0,307.76449966430664,1922004,1757397,1646450,171,156,146,25
5,52,54,7051.0,332.7939372062683,1645189,1532497,1450835,146,136,129,25
6,52,53,5506.5,296.69343197345734,1907675,1820504,1750409,169,162,155,25
7,52,54,7061.5,330.20815074443817,1643849,1531767,1450706,146,136,129,25
8,52,54,5572.5,294.3502861261368,1884180,1802938,1734713,167,160,154,25
9,54,53,6135.0,307.13708305358887,1832200,1701321,1608307,163,151,143,25
10,55,53,6519.0,317.13708305358887,1811225,1652890,1544443,161,147,137,25
11,53,54,7117.0,332.30865597724915,1630000,1484895,1383621,145,132,123,25
12,52,52,5981.5,311.1787132024765,1915982,1772910,1673780,170,157,148,25
13,51,54,5529.0,298.1076455116272,1906867,1816615,1748435,169,161,155,25
14,51,53,6087.5,317.66399443149567,1930930,1778254,1675854,171,158,149,25
15,52,54,7122.5,332.5512965917587,1639946,1493914,1393745,145,132,124,25
16,53,54,7099.5,329.722869515419,1637131,1493900,1393029,145,132,123,25
17,51,54,7024.5,331.8650048971176,1667156,1516410,1413519,148,134,125,25
18,51,54,7068.5,333.8650048971176,1658093,1505957,1401080,147,134,124,25
19,53,54,7117.0,329.13708305358887,1643692,1490994,1387906,146,132,123,25
20,52,54,7117.5,334.20815074443817,1638322,1488244,1388491,145,132,123,25
21,54,54,6873.0,320.2497808933258,1866514,1681584,1558213,166,149,138,25
22,51,54,6911.0,321.22034335136414,1879038,1695294,1570981,167,150,139,25
23,53,53,6996.5,328.14927566051483,1840133,1664383,1546905,163,148,137,25
24,52,55,7075.0,332.7939372062683,1642337,1530287,1447209,146,136,128,25
25,53,54,7027.0,337.90663504600525,1857337,1675240,1552426,165,149,138,25
26,54,54,6519.0,312.1076455116272,1900426,1730766,1613675,169,154,143,25
27,53,53,5857.0,295.4213538169861,1976751,1822621,1713758,175,162,152,25
28,52,54,7005.0,333.2792184352875,1674829,1524629,1422949,149,135,126,25
29,53,54,7122.0,335.4802289009094,1628083,1486291,1386585,144,132,123,25
30,54,54,7008.0,335.62236428260803,1673151,1525593,1426204,148,135,126,25
31,52,54,6939.0,331.62236428260803,1691185,1559702,1470060,150,138,130,25
32,52,54,7127.5,333.722869515419,1634198,1485394,1382095,145,132,123,25
33,52,53,6078.0,326.9360725879669,1857356,1715240,1618051,165,152,144,25
34,53,53,6726.0,317.5634891986847,1892991,1707367,1583747,168,151,140,25
35,53,53,6155.0,300.73506212234497,1951729,1789374,1677465,173,159,149,25
36,53,54,7097.5,330.83556735515594,1836081,1654362,1532608,163,147,136,25
37,51,54,7035.5,335.37972366809845,1649072,1534982,1451986,146,136,129,25
38,52,54,7046.0,331.62236428260803,1644716,1534165,1451590,146,136,129,25
39,54,54,6027.0,305.2792184352875,1808877,1720837,1649068,160,153,146,25
40,54,54,6569.5,313.1787132024765,1906051,1730249,1608046,169,153,143,25
41,54,54,6942.0,329.90663504600525,1682971,1575792,1467862,149,140,130,25
42,52,54,7120.0,338.45079135894775,1638361,1493067,1395486,145,132,124,25
43,53,54,7127.5,336.5512965917587,1635646,1491163,1391597,145,132,123,25
44,52,54,7086.0,334.9360725879669,1658994,1506859,1406805,147,134,125,25
45,53,54,7124.0,336.1076455116272,1646123,1497945,1397883,146,133,124,25
46,55,53,6535.5,319.37972366809845,1804665,1646551,1540472,160,146,137,25
47,53,54,7053.5,328.69343197345734,1655787,1528305,1437775,147,136,127,25
48,52,53,6585.5,322.0071402788162,1753528,1643520,1536497,156,146,136,25
49,52,54,7018.5,333.37972366809845,1659437,1537023,1451906,147,136,129,25
50,51,53,6783.0,332.73506212234497,1708835,1601218,1497183,152,142,133,25
51,52,53,6203.0,312.45079135894775,1823702,1685613,1589865,162,150,141,25
52,50,53,5759.0,301.13708305358887,1891090,1770411,1684592,168,157,149,25
53,52,55,7024.0,332.7939372062683,1656889,1537592,1454423,147,136,129,25
54,53,54,6947.5,332.20815074443817,1679519,1553372,1464520,149,138,130,25
55,52,54,7031.5,332.5512965917587,1667318,1527678,1431982,148,135,127,25
56,53,54,7020.5,327.37972366809845,1663806,1530057,1437212,148,136,127,25
57,51,54,6978.0,330.45079135894775,1692190,1542443,1435750,150,137,127,25
58,52,53,6787.5,319.8061298131943,1893905,1711815,1585058,168,152,141,25
59,52,54,6933.5,333.0365778207779,1698205,1557400,1457801,151,138,129,25
60,55,54,6392.0,311.9655101299286,1834595,1679380,1571499,163,149,139,25
61,54,54,6243.5,313.8650048971176,1821747,1685514,1588726,162,150,141,25
62,52,54,7077.0,333.62236428260803,1642163,1530528,1448878,146,136,128,25
63,52,54,7046.5,330.5512965917587,1644104,1531275,1451003,146,136,129,25
64,54,53,6169.0,309.4802289009094,1825564,1694151,1604062,162,150,142,25
65,52,53,5568.0,297.2792184352875,1897563,1807052,1735717,168,160,154,25
66,54,54,6102.0,302.59292674064636,1946918,1786679,1679195,173,159,149,25
67,52,52,6586.5,317.3208485841751,1731729,1630548,1527665,154,145,135,25
68,52,54,7029.5,330.8944424390793,1665725,1524523,1424535,148,135,126,25
69,53,54,7004.0,334.45079135894775,1672225,1527625,1424187,148,135,126,25
70,52,55,7093.5,331.37972366809845,1639524,1521488,1438009,145,135,127,25
71,52,54,6275.0,307.4213538169861,1777727,1686692,1602188,158,150,142,25
72,52,54,7047.0,332.45079135894775,1646409,1533429,1452408,146,136,129,25
73,52,54,6026.5,305.52185904979706,1809029,1723477,1647977,161,153,146,25
74,51,54,7060.5,330.5512965917587,1673288,1520614,1418171,148,135,126,25
75,53,54,7020.0,328.7939372062683,1682529,1530784,1425865,149,136,126,25
76,54,53,6098.0,304.99494767189026,1806640,1694100,1610294,160,150,143,25
77,52,54,7089.0,331.9655101299286,1660761,1509124,1408198,147,134,125,25
78,52,54,7132.0,331.13708305358887,1641188,1489685,1387107,146,132,123,25
79,52,54,7028.0,329.0782079696655,1856730,1675729,1553324,165,149,138,25
80,53,53,7070.0,341.90663504600525,1819064,1641787,1523877,161,146,135,25
81,51,53,6757.0,318.04877042770386,1900303,1718631,1596147,169,152,142,25
82,54,54,6036.5,303.37972366809845,1908978,1753751,1650152,169,156,146,25
83,54,54,6590.0,313.4213538169861,1904396,1726089,1605134,169,153,142,25
84,53,54,7093.0,333.62236428260803,1636353,1492333,1392076,145,132,123,25
85,51,53,6016.0,311.90663504600525,1949365,1798631,1696748,173,160,151,25
86,52,54,7073.0,335.76449966430664,1655750,1505439,1398980,147,133,124,25
87,52,54,5896.5,301.8650048971176,1929612,1792559,1700976,171,159,151,25
88,51,54,7055.0,329.62236428260803,1660843,1508821,1404978,147,134,125,25
89,52,54,7000.5,330.3502861261368,1674798,1524778,1420603,149,135,126,25
90,53,54,6679.0,321.2792184352875,1709406,1611641,1509518,152,143,134,25
91,54,53,6252.5,310.8944424390793,1818725,1681413,1587717,161,149,141,25
92,55,53,6543.0,321.2792184352875,1811317,1652123,1544419,161,147,137,25
93,53,55,6947.0,324.59292674064636,1863502,1684609,1564288,165,149,139,25
94,54,54,6077.0,301.90663504600525,1960234,1800394,1690099,174,160,150,25
95,52,55,7067.5,332.06601536273956,1639253,1528274,1445310,145,136,128,25
96,52,54,7080.5,333.37972366809845,1639888,1529453,1446518,145,136,128,25
97,51,54,7029.0,330.45079135894775,1666406,1517447,1412819,148,135,125,25
98,53,54,5933.0,302.59292674064636,1826718,1741511,1669841,162,154,148,25
99,52,54,7053.5,333.37972366809845,1642617,1531399,1448007,146,136,128,25
100,53,54,6454.0,311.4213538169861,1746854,1652446,1568202,155,147,139,25
101,52,55,7097.0,331.13708305358887,1637173,1522427,1436892,145,135,127,25
102,52,54,7086.5,331.722869515419,1658875,1508512,1405954,147,134,125,25
103,53,53,6072.5,308.8944424390793,1810117,1696783,1615933,161,151,143,25
104,51,54,7092.5,330.8944424390793,1665261,1514752,1409802,148,134,125,25
105,54,54,6993.5,334.20815074443817,1675204,1528458,1427446,149,136,127,25
106,52,54,6997.0,328.6518018245697,1673938,1530629,1433262,148,136,127,25
107,53,54,5956.0,300.9360725879669,1944021,1789396,1682002,173,159,149,25
