,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,54,53,7450.5,330.29141104221344,1306945,1169467,1193713,116,104,106,26
1,52,54,6825.5,312.4924215078354,1449520,1259393,1282679,129,112,114,26
2,52,54,6868.0,314.3919162750244,1437578,1328618,1364526,127,118,121,26
3,55,52,7520.0,329.22034335136414,1277583,1146951,1171573,113,102,104,26
4,52,54,6726.0,315.22034335136414,1466367,1245064,1264297,130,110,112,26
5,54,52,7785.5,332.97770273685455,1211754,1081027,1104608,107,96,98,26
6,52,54,6854.5,312.634556889534,1440297,1330354,1368510,128,118,121,26
7,51,54,7119.0,318.73506212234497,1380777,1219117,1250555,122,108,111,26
8,54,52,7013.0,317.0782079696655,1433056,1289675,1311912,127,114,116,26
9,55,52,7295.0,323.90663504600525,1383940,1230083,1251313,123,109,111,26
10,52,54,6693.0,310.8771975040436,1453413,1363057,1395464,129,121,124,26
11,52,54,6791.5,312.29141104221344,1438913,1338565,1373151,128,119,122,26
12,52,52,7242.0,321.22034335136414,1371837,1158329,1171340,122,103,104,26
13,51,53,7612.5,327.8061298131943,1357153,1148239,1158291,120,102,103,26
14,52,52,7025.0,315.5634891986847,1424836,1202819,1215307,126,107,108,26
15,51,52,6674.5,308.97770273685455,1495504,1272086,1284792,133,113,114,26
16,52,51,7361.5,324.634556889534,1338382,1137185,1152301,119,101,102,26
17,52,52,7503.0,328.04877042770386,1290638,1111162,1128069,114,98,100,26
18,52,54,7107.5,316.97770273685455,1407060,1275461,1318245,125,113,117,26
19,52,53,6718.5,315.3208485841751,1465429,1242206,1264969,130,110,112,26
20,51,53,6729.0,314.2497808933258,1459661,1230999,1252299,129,109,111,26
21,51,52,6736.5,310.14927566051483,1491708,1269196,1283435,132,112,114,26
22,52,52,6708.0,312.3919162750244,1469797,1257302,1281774,130,111,114,26
23,51,53,7427.5,323.8061298131943,1391823,1180209,1191091,123,105,106,26
24,52,51,7026.0,320.3919162750244,1395286,1184634,1209690,124,105,107,26
25,52,51,6966.0,319.5634891986847,1411792,1197036,1223196,125,106,108,26
26,51,53,7666.5,329.8061298131943,1350977,1150761,1161521,120,102,103,26
27,54,52,7034.0,317.90663504600525,1432393,1284650,1303836,127,114,116,26
28,54,52,7006.5,316.14927566051483,1440903,1294087,1312771,128,115,116,26
29,52,54,6767.5,310.14927566051483,1468351,1355806,1391404,130,120,123,26
30,52,54,7028.5,316.4924215078354,1397278,1228316,1255134,124,109,111,26
31,55,52,7081.0,319.90663504600525,1427121,1277193,1301399,127,113,115,26
32,52,54,7159.5,319.3208485841751,1373651,1215777,1247263,122,108,111,26
33,55,52,7158.0,319.4213538169861,1406008,1254387,1276857,125,111,113,26
34,54,53,6931.0,326.3919162750244,1444624,1274546,1305420,128,113,116,26
35,52,53,7604.5,328.634556889534,1346623,1121130,1132561,119,99,100,26
36,53,52,7108.5,316.97770273685455,1427327,1276227,1296239,127,113,115,26
37,52,53,6981.5,324.97770273685455,1435617,1256193,1283450,127,111,114,26
38,53,53,7316.5,320.97770273685455,1390596,1231846,1249488,123,109,111,26
39,52,52,6740.5,312.97770273685455,1464564,1248675,1272236,130,111,113,26
40,52,53,7603.5,329.4629839658737,1339447,1106646,1119842,119,98,99,26
41,51,52,6656.0,313.0782079696655,1477674,1258018,1280764,131,111,113,26
42,52,53,7615.5,330.634556889534,1316568,1075315,1089340,117,95,96,26
43,52,52,6992.0,315.5634891986847,1431949,1211957,1226171,127,107,109,26
44,52,53,6742.0,317.90663504600525,1461311,1229513,1250279,130,109,111,26
45,53,52,7703.0,330.73506212234497,1233402,1087396,1106963,109,96,98,26
46,52,52,6758.0,312.73506212234497,1455233,1244803,1269791,129,110,113,26
47,52,53,6746.5,316.14927566051483,1461042,1229550,1249536,130,109,111,26
48,54,53,7918.0,334.73506212234497,1181173,1045740,1068575,105,93,95,26
49,51,53,6792.0,311.5634891986847,1476556,1246487,1262441,131,110,112,26
50,52,54,6722.5,316.14927566051483,1465028,1245141,1263714,130,110,112,26
51,54,52,7769.0,332.73506212234497,1213858,1082888,1105637,108,96,98,26
52,52,54,6856.0,314.73506212234497,1442668,1233846,1253015,128,109,111,26
53,55,52,7503.5,328.634556889534,1277173,1149844,1173915,113,102,104,26
54,53,51,7040.0,319.5634891986847,1392446,1182885,1207873,123,105,107,26
55,51,53,7616.5,326.97770273685455,1356927,1145531,1157654,120,101,103,26
56,53,52,6796.0,315.22034335136414,1445316,1237321,1260253,128,110,112,26
57,55,53,7600.0,331.22034335136414,1247693,1122006,1142619,111,99,101,26
58,52,53,7605.5,328.634556889534,1346228,1118800,1131449,119,99,100,26
59,51,52,6931.5,316.634556889534,1446117,1226612,1239226,128,109,110,26
60,54,52,6870.0,313.90663504600525,1467314,1321853,1339478,130,117,119,26
61,54,52,7037.0,317.0782079696655,1436236,1285472,1304872,127,114,116,26
62,52,52,6981.0,323.5634891986847,1432339,1244429,1269959,127,110,113,26
63,52,52,7664.5,327.8061298131943,1338761,1158645,1175129,119,103,104,26
64,52,52,6952.0,321.5634891986847,1421023,1223199,1247261,126,108,111,26
65,51,53,7722.0,329.22034335136414,1339264,1145643,1159883,119,101,103,26
66,51,54,6797.5,312.4924215078354,1456726,1264083,1284325,129,112,114,26
67,54,52,7473.0,330.8771975040436,1307629,1167581,1194135,116,103,106,26
68,52,54,6737.0,315.22034335136414,1464279,1242381,1263642,130,110,112,26
69,52,54,6913.5,315.66399443149567,1422312,1243039,1267309,126,110,112,26
70,54,52,7224.5,325.8061298131943,1375074,1228822,1255730,122,109,111,26
71,52,54,6806.5,312.97770273685455,1437211,1335504,1369620,127,118,121,26
72,52,54,6706.5,312.29141104221344,1451051,1357314,1391301,129,120,123,26
73,51,52,6686.5,308.97770273685455,1494057,1269147,1282532,132,112,114,26
74,52,54,6663.5,312.97770273685455,1479313,1254904,1275381,131,111,113,26
75,52,52,7002.5,316.14927566051483,1428346,1208116,1220448,127,107,108,26
76,53,52,7708.0,330.73506212234497,1227722,1089425,1107677,109,96,98,26
77,52,52,7223.0,321.22034335136414,1371920,1165532,1176885,122,103,104,26
78,52,53,6774.0,316.73506212234497,1459519,1226231,1248922,129,109,111,26
79,54,52,7535.5,328.634556889534,1274256,1144630,1167475,113,101,103,26
80,53,51,7676.5,330.14927566051483,1244183,1083362,1098647,110,96,97,26
81,54,52,7029.0,317.90663504600525,1438145,1286342,1308464,127,114,116,26
82,54,52,6881.0,314.73506212234497,1467187,1321032,1340546,130,117,119,26
83,55,52,7505.5,328.634556889534,1276671,1149266,1171384,113,102,104,26
84,52,54,6864.0,313.5634891986847,1440942,1231504,1252950,128,109,111,26
85,54,52,7771.5,332.97770273685455,1211028,1082672,1102925,107,96,98,26
86,52,54,6751.5,315.3208485841751,1457125,1238915,1259683,129,110,112,26
87,51,53,6784.0,311.5634891986847,1477207,1249550,1264032,131,111,112,26
88,51,52,6936.5,316.634556889534,1448079,1224587,1239871,128,108,110,26
89,52,53,7606.5,329.4629839658737,1341230,1114919,1125378,119,99,100,26
90,52,54,6842.0,316.73506212234497,1445719,1233691,1254668,128,109,111,26
91,52,51,6935.5,318.14927566051483,1417573,1202289,1228223,126,107,109,26
92,51,53,7609.5,326.97770273685455,1358328,1145004,1154996,120,101,102,26
93,53,51,7024.5,319.3208485841751,1396812,1185969,1212090,124,105,107,26
94,51,53,7712.5,328.634556889534,1343744,1148217,1160279,119,102,103,26
95,53,51,7107.0,324.3919162750244,1390214,1184088,1211568,123,105,107,26
96,52,52,7651.5,327.8061298131943,1340543,1161421,1174884,119,103,104,26
97,52,52,7166.5,325.8061298131943,1396980,1201719,1229832,124,106,109,26
98,54,52,7254.0,325.5634891986847,1373655,1228236,1252374,122,109,111,26
99,52,54,6937.0,315.90663504600525,1419809,1240225,1266704,126,110,112,26
100,54,52,7478.0,330.8771975040436,1306345,1166774,1190630,116,103,105,26
101,55,52,7121.5,318.83556735515594,1420806,1269251,1291495,126,112,114,26
102,52,54,6818.5,312.4924215078354,1454723,1261147,1283952,129,112,114,26
