,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,53,53,7517.5,326.97770273685455,1766138,1258088,1321268,157,111,117,27
1,52,51,6829.5,319.8061298131943,1769263,1216735,1212948,157,108,107,27
2,52,50,7457.0,341.90663504600525,1587660,1021370,1012812,141,90,90,27
3,52,54,7756.5,330.97770273685455,1810802,1313046,1329397,161,116,118,27
4,51,52,7116.5,323.8061298131943,1752973,1177802,1171232,156,104,104,27
5,52,53,7721.0,331.5634891986847,1720692,1200824,1256592,153,106,111,27
6,51,51,6831.5,319.8061298131943,1768337,1213596,1211031,157,108,107,27
7,53,53,7518.5,326.97770273685455,1764603,1257031,1319859,157,111,117,27
8,52,51,7230.5,326.634556889534,1763161,1121234,1106961,156,99,98,27
9,52,51,7189.5,324.634556889534,1780635,1173264,1150578,158,104,102,27
10,54,53,5746.5,308.634556889534,2060288,1625309,1664837,183,144,148,27
11,52,51,7101.0,324.04877042770386,1715111,1169851,1161719,152,104,103,27
12,57,53,5967.5,319.8061298131943,2064274,1620081,1655612,183,144,147,27
13,54,52,7262.0,329.90663504600525,1819959,1207707,1165536,161,107,103,27
14,52,50,7134.0,325.22034335136414,1741062,1148919,1136504,154,102,101,27
15,56,53,5725.0,314.04877042770386,2091545,1663378,1703587,186,148,151,27
16,52,51,7202.5,327.3208485841751,1683151,1082683,1081510,149,96,96,27
17,52,52,7293.5,321.8061298131943,1804706,1298372,1356222,160,115,120,27
18,52,51,7289.5,337.3208485841751,1653509,1056022,1053635,147,93,93,27
19,51,53,7091.5,318.14927566051483,1842110,1335335,1388143,163,118,123,27
20,53,52,7093.0,326.73506212234497,1842385,1246829,1204003,163,110,107,27
21,52,53,7905.0,333.0782079696655,1783174,1277314,1301496,158,113,115,27
22,53,52,7730.0,330.73506212234497,1804869,1316503,1353841,160,117,120,27
23,52,51,6985.5,320.634556889534,1800196,1228001,1218760,160,109,108,27
24,56,53,5734.0,314.8771975040436,2092069,1662542,1704651,186,147,151,27
25,52,53,7760.0,330.73506212234497,1705972,1185643,1236425,151,105,110,27
26,52,51,7458.0,329.90663504600525,1760116,1163604,1128020,156,103,100,27
27,52,51,7308.0,325.22034335136414,1767077,1145396,1129598,157,101,100,27
28,52,50,7229.5,323.8061298131943,1771641,1173263,1140620,157,104,101,27
29,51,52,7624.5,328.14927566051483,1718919,1217023,1265444,152,108,112,27
30,53,51,7087.0,327.90663504600525,1847357,1258211,1217214,164,111,108,27
31,53,53,7510.5,326.14927566051483,1823877,1323785,1366726,162,117,121,27
32,50,52,6837.0,314.73506212234497,1912597,1440371,1482549,170,128,131,27
33,53,50,7204.5,325.3208485841751,1836331,1244750,1214140,163,110,108,27
34,52,51,7489.5,338.97770273685455,1577511,1009447,1000851,140,89,89,27
35,52,50,7152.5,325.4629839658737,1736218,1150895,1136498,154,102,101,27
36,52,50,7497.0,342.2497808933258,1586708,1031200,1022547,141,91,91,27
37,52,53,7890.5,333.66399443149567,1787784,1275488,1291132,159,113,114,27
38,53,54,7699.0,329.0782079696655,1816589,1315582,1329557,161,117,118,27
39,52,53,7306.5,322.97770273685455,1848831,1350461,1393756,164,120,124,27
40,53,51,7160.0,325.22034335136414,1666977,1118807,1112206,148,99,98,27
41,57,54,5840.0,319.22034335136414,2080305,1643443,1682885,185,146,149,27
42,52,51,7071.5,322.29141104221344,1730867,1182026,1170699,154,105,104,27
43,55,54,5630.0,312.8771975040436,2099204,1675820,1718642,186,149,152,27
44,51,53,7528.5,326.97770273685455,1737146,1249339,1304373,154,111,116,27
45,51,52,7646.5,328.97770273685455,1736468,1219206,1275815,154,108,113,27
46,57,53,5972.5,321.8061298131943,2063247,1619578,1655411,183,144,147,27
47,53,51,7254.5,329.66399443149567,1826046,1213404,1169753,162,107,104,27
