,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,52,53,6458.0,301.90663504600525,1950605,1854732,1725423,173,165,153,28
1,54,55,5072.5,287.1787132024765,2113773,1958818,1881893,188,174,167,28
2,56,54,4097.5,265.37972366809845,2285774,2142211,2075606,203,190,184,28
3,48,54,4310.0,273.2792184352875,2186962,2099972,2013499,194,186,179,28
4,52,52,4956.0,278.1076455116272,2082286,1995483,1900143,185,177,169,28
5,53,53,5852.5,291.66399443149567,1935475,1854079,1745840,172,165,155,28
6,50,54,4356.0,270.7939372062683,2213982,2109390,2022157,197,187,179,28
7,49,55,4518.5,271.722869515419,2225937,2112311,2022652,198,187,180,28
8,46,55,3722.5,267.37972366809845,2356493,2260785,2193798,209,201,195,28
9,57,53,4038.5,279.8650048971176,2247662,2176048,2102353,200,193,187,28
10,47,55,4618.0,280.9360725879669,2226132,2111012,2028840,198,187,180,28
11,56,54,3877.5,266.8944424390793,2277340,2195930,2124012,202,195,189,28
12,51,54,4448.5,266.8944424390793,2205365,2093680,2012880,196,186,179,28
13,51,57,4354.5,271.0365778207779,2205913,2070644,2001599,196,184,178,28
14,55,55,4127.5,272.20815074443817,2224667,2140273,2060531,197,190,183,28
15,48,55,4383.0,275.62236428260803,2201475,2094282,2013232,195,186,179,28
16,49,55,4427.5,271.0365778207779,2200385,2089755,2007266,195,185,178,28
17,52,56,4675.0,287.4213538169861,2198183,2065542,1981364,195,183,176,28
18,53,56,4214.5,270.20815074443817,2254617,2141102,2063068,200,190,183,28
19,50,54,5656.0,310.2497808933258,1980604,1897412,1783705,176,168,158,28
20,54,53,6429.0,320.3919162750244,1908119,1819451,1691935,169,161,150,28
21,50,55,5117.0,278.45079135894775,2149323,2022485,1920583,191,180,170,28
22,51,56,4470.5,269.722869515419,2181534,2058870,1980133,194,183,176,28
23,56,54,4049.5,263.37972366809845,2299319,2157553,2090854,204,192,186,28
24,55,54,4260.0,264.30865597724915,2285109,2135806,2062179,203,190,183,28
25,51,56,4415.0,269.9655101299286,2193485,2061737,1988557,195,183,176,28
26,56,55,4250.0,266.45079135894775,2252646,2104503,2037253,200,187,181,28
27,49,55,5225.0,280.1076455116272,2129695,2001726,1898298,189,178,168,28
28,52,54,4560.5,266.8944424390793,2198909,2085639,2000925,195,185,178,28
29,51,58,3751.5,254.40916121006012,2300118,2203151,2139404,204,196,190,28
30,48,53,6352.0,316.3919162750244,1959382,1800388,1690221,174,160,150,28
31,46,54,3376.5,255.5807341337204,2401317,2314362,2253092,213,205,200,28
32,51,58,3947.0,261.13708305358887,2269961,2157761,2095094,202,192,186,28
33,46,54,3689.5,265.722869515419,2360861,2267028,2199865,210,201,195,28
34,53,53,5631.0,286.9360725879669,2127180,1990791,1880497,189,177,167,28
35,56,52,4632.5,290.0071402788162,2151109,2076948,1995295,191,184,177,28
36,51,56,5353.0,297.22034335136414,2106639,1956234,1864317,187,174,165,28
37,51,55,4424.0,267.4802289009094,2188727,2074449,1994475,194,184,177,28
38,46,55,4343.0,279.2792184352875,2267528,2159646,2081329,201,192,185,28
39,54,53,4427.5,271.37972366809845,2269422,2119659,2043535,201,188,181,28
40,49,55,4354.0,269.13708305358887,2203688,2097311,2018384,196,186,179,28
41,54,53,4736.0,274.7939372062683,2244111,2098655,2013425,199,186,179,28
42,49,55,5638.0,296.59292674064636,2077095,1938923,1842570,184,172,163,28
43,54,56,3808.5,264.06601536273956,2281066,2199701,2128280,203,195,189,28
44,53,57,3678.5,258.8944424390793,2308198,2223933,2157421,205,197,192,28
45,50,55,4854.5,278.5512965917587,2190829,2066234,1970127,194,183,175,28
46,51,56,4442.5,271.37972366809845,2186490,2057425,1982368,194,183,176,28
47,52,57,4347.0,269.62236428260803,2207893,2072883,2003850,196,184,178,28
48,56,54,4069.0,264.7939372062683,2293328,2149888,2084430,204,191,185,28
49,51,56,4410.5,269.37972366809845,2192692,2062501,1987444,195,183,176,28
50,55,53,4282.5,263.722869515419,2286996,2137363,2064537,203,190,183,28
51,50,55,6104.0,297.0782079696655,2038098,1895719,1772212,181,168,157,28
52,53,55,4468.0,264.6518018245697,2210580,2098827,2016729,196,186,179,28
53,55,56,3921.5,268.5512965917587,2261846,2179033,2105989,201,193,187,28
54,55,55,4149.5,272.20815074443817,2221555,2136968,2058052,197,190,183,28
55,52,58,4094.5,257.722869515419,2248531,2123404,2060119,200,188,183,28
56,52,56,4648.0,285.4213538169861,2201841,2069754,1986242,195,184,176,28
57,50,55,5595.0,285.4213538169861,2071069,1940870,1833224,184,172,163,28
58,51,53,4478.0,265.2792184352875,2167733,2079897,1992704,192,185,177,28
59,54,55,5221.5,288.0071402788162,2091699,1937485,1859135,186,172,165,28
60,51,57,4284.5,267.37972366809845,2219618,2084136,2016791,197,185,179,28
61,55,55,4551.5,272.69343197345734,2199193,2045650,1976382,195,182,175,28
62,52,57,5123.0,291.0782079696655,2137236,1991310,1902269,190,177,169,28
63,48,53,3505.0,252.30865597724915,2346373,2264186,2197572,208,201,195,28
64,52,53,5978.5,295.3208485841751,1917733,1835569,1726334,170,163,153,28
65,52,52,5077.5,279.1787132024765,2061200,1976548,1879713,183,175,167,28
66,56,54,3952.5,273.37972366809845,2266191,2186572,2112895,201,194,188,28
67,57,53,4172.0,281.62236428260803,2225682,2153607,2078359,198,191,184,28
68,54,56,4005.0,265.9655101299286,2263132,2161211,2089831,201,192,185,28
69,49,54,4504.5,270.06601536273956,2223314,2109428,2020477,197,187,179,28
70,50,54,4460.5,272.5512965917587,2190827,2086159,1997200,194,185,177,28
71,48,54,4434.5,275.0365778207779,2174443,2080903,1992115,193,185,177,28
72,47,54,4832.5,283.52185904979706,2101270,2016919,1918698,187,179,170,28
73,54,56,4039.5,268.20815074443817,2256870,2154554,2082271,200,191,185,28
74,46,54,3371.0,256.99494767189026,2401811,2314570,2254067,213,205,200,28
75,56,55,3740.5,260.5512965917587,2301880,2213643,2145560,204,197,190,28
76,46,54,3341.0,250.6518018245697,2390113,2304709,2244039,212,205,199,28
77,49,55,6025.0,296.2497808933258,2049725,1907456,1786996,182,169,159,28
78,50,55,4873.0,277.13708305358887,2185866,2062143,1964037,194,183,174,28
79,56,55,3716.5,260.8944424390793,2305120,2218625,2151468,205,197,191,28
80,49,55,5788.0,291.0782079696655,2036496,1905165,1794703,181,169,159,28
81,54,53,4278.0,264.30865597724915,2287918,2139905,2065987,203,190,183,28
82,51,56,4406.5,269.37972366809845,2192163,2063457,1988813,195,183,177,28
83,56,54,4072.0,264.7939372062683,2294454,2152874,2086045,204,191,185,28
84,52,57,4357.0,267.9655101299286,2208440,2071903,2003765,196,184,178,28
85,55,55,4495.5,270.69343197345734,2207482,2055446,1985663,196,182,176,28
86,52,53,4609.0,271.2792184352875,2143437,2055802,1966499,190,182,175,28
87,47,54,4344.0,273.2792184352875,2181236,2094443,2007510,194,186,178,28
88,53,56,4556.0,273.2792184352875,2217153,2087594,2004474,197,185,178,28
89,54,55,5236.0,290.59292674064636,2089166,1932213,1852276,185,171,164,28
90,51,58,4114.5,258.5512965917587,2246562,2119651,2057351,199,188,183,28
91,55,56,3928.0,269.13708305358887,2259691,2177644,2102837,201,193,187,28
92,53,54,4539.5,266.06601536273956,2200810,2087369,2004914,195,185,178,28
93,57,53,4098.0,279.2792184352875,2238959,2166383,2092992,199,192,186,28
94,52,52,5161.5,282.3502861261368,2045242,1959582,1861651,182,174,165,28
95,48,54,5167.0,293.4213538169861,2050280,1966494,1862881,182,175,165,28
96,52,53,6060.5,296.83556735515594,1907737,1823481,1715200,169,162,152,28
97,47,54,4950.0,286.9360725879669,2083290,1997600,1897626,185,177,168,28
98,48,54,4360.0,274.45079135894775,2179892,2091404,2004242,194,186,178,28
99,46,54,3329.0,250.6518018245697,2393573,2309127,2247880,213,205,200,28
100,56,56,3757.5,261.37972366809845,2301400,2211646,2143885,204,196,190,28
101,46,54,3399.5,255.5807341337204,2398590,2311157,2249502,213,205,200,28
102,54,56,4060.0,267.62236428260803,2253240,2149330,2076763,200,191,184,28
103,53,56,4245.0,269.62236428260803,2251460,2134550,2057730,200,189,183,28
104,53,56,4694.0,283.4213538169861,2196520,2061651,1978478,195,183,176,28
105,54,53,6383.0,314.04877042770386,1922574,1832381,1707102,171,163,151,28
106,51,53,4336.5,262.20815074443817,2192746,2105381,2021916,195,187,179,28
107,49,54,4501.0,273.13708305358887,2227489,2112644,2025057,198,188,180,28
108,50,54,5751.5,310.83556735515594,1968237,1883715,1769497,175,167,157,28
109,55,56,4062.5,271.37972366809845,2236156,2151961,2075224,199,191,184,28
110,50,54,4445.5,266.8944424390793,2201886,2091327,2009894,195,186,178,28
111,49,55,4436.5,269.37972366809845,2200792,2088071,2006308,195,185,178,28
112,46,53,6300.0,321.5634891986847,1977602,1827748,1712248,176,162,152,28
113,52,54,4577.0,269.13708305358887,2197843,2082594,1997462,195,185,177,28
114,50,55,5075.5,277.0365778207779,2156749,2029670,1930217,191,180,171,28
115,50,55,5218.0,278.9360725879669,2132384,2006032,1901844,189,178,169,28
116,55,55,4258.5,267.8650048971176,2248436,2099253,2032790,200,186,180,28
117,51,56,4406.5,270.5512965917587,2195144,2062930,1990092,195,183,177,28
118,50,54,4446.5,273.37972366809845,2199357,2092255,2004239,195,186,178,28
119,56,55,4127.0,267.62236428260803,2286972,2143286,2076715,203,190,184,28
120,51,56,4453.5,269.722869515419,2182363,2059855,1980600,194,183,176,28
121,46,54,3666.0,267.13708305358887,2363787,2269544,2203408,210,201,196,28
122,51,58,3957.0,263.13708305358887,2269301,2154134,2092366,201,191,186,28
123,48,53,6396.0,314.73506212234497,1947954,1788007,1676266,173,159,149,28
124,46,54,3320.5,254.06601536273956,2404951,2319180,2259598,214,206,201,28
125,51,58,3775.0,253.82337474822998,2297366,2198871,2136223,204,195,190,28
126,54,53,4756.5,274.20815074443817,2240127,2097893,2011151,199,186,178,28
127,49,55,5477.5,295.52185904979706,2101142,1964985,1872130,187,174,166,28
128,49,55,4362.0,269.13708305358887,2202849,2095231,2017277,196,186,179,28
129,56,54,3845.5,273.0365778207779,2283748,2201146,2130615,203,195,189,28
130,46,55,4250.0,275.62236428260803,2280880,2173286,2098778,202,193,186,28
131,54,53,4481.5,266.8944424390793,2265948,2115498,2038420,201,188,181,28
132,51,55,4405.0,267.4802289009094,2192051,2077597,1998751,195,184,177,28
133,53,57,3672.5,258.06601536273956,2310473,2222762,2157653,205,197,192,28
134,54,56,3775.0,260.6518018245697,2289447,2206844,2136956,203,196,190,28
135,53,53,5606.5,286.69343197345734,2131710,1991231,1883168,189,177,167,28
136,51,56,5360.0,298.3919162750244,2107441,1956481,1864947,187,174,165,28
137,46,54,3326.0,253.48022890090942,2400641,2316040,2255272,213,206,200,28
138,50,53,6630.5,310.14927566051483,1909149,1741171,1631897,169,154,145,28
139,52,57,3695.5,256.4091612100601,2307494,2216103,2151837,205,197,191,28
140,47,55,4697.0,282.9360725879669,2213938,2097998,2015351,197,186,179,28
141,51,55,6525.0,313.5634891986847,1907034,1728362,1627962,169,153,144,28
142,46,54,3514.0,261.4802289009094,2384605,2294109,2230377,212,204,198,28
143,51,58,3848.5,248.40916121006012,2285033,2179748,2117434,203,193,188,28
144,49,54,5271.0,295.4213538169861,2035478,1951511,1846092,181,173,164,28
145,47,54,4395.0,276.1076455116272,2172490,2086924,1999928,193,185,177,28
146,55,56,3831.0,262.30865597724915,2275773,2195315,2123171,202,195,188,28
147,53,57,3715.5,259.23758828639984,2302285,2219304,2151006,204,197,191,28
148,5,68,2.0,6.0,2273356,2125137,2049277,202,189,182,28
149,46,55,3889.0,269.62236428260803,2333131,2234324,2164220,207,198,192,28
150,56,53,3980.0,271.13708305358887,2259079,2182969,2110468,201,194,187,28
151,57,53,3985.0,277.62236428260803,2256966,2184042,2112925,200,194,188,28
152,51,55,4468.5,269.722869515419,2181152,2061904,1982002,194,183,176,28
153,48,55,4926.0,285.2792184352875,2180535,2058540,1972405,194,183,175,28
154,56,54,3818.5,272.20815074443817,2289935,2205842,2135903,203,196,190,28
155,54,53,5069.5,280.20815074443817,2203870,2059404,1965815,196,183,174,28
156,50,55,4391.0,270.7939372062683,2197436,2088076,2009630,195,185,178,28
157,50,56,5672.5,305.8061298131943,2067219,1910047,1813491,183,169,161,28
158,52,56,5159.0,293.90663504600525,2130075,1984487,1894079,189,176,168,28
159,51,53,6063.0,315.0782079696655,1929937,1845419,1725770,171,164,153,28
160,52,56,4851.5,287.66399443149567,2172724,2034516,1947809,193,181,173,28
161,53,56,4468.5,272.20815074443817,2231764,2106221,2023649,198,187,180,28
162,46,55,3788.0,267.13708305358887,2347574,2251335,2182432,208,200,194,28
163,48,55,4399.5,274.20815074443817,2199781,2091338,2008450,195,186,178,28
164,49,54,4427.5,269.37972366809845,2203536,2091379,2009116,196,186,178,28
165,55,56,4034.5,270.5512965917587,2239684,2157063,2079321,199,191,185,28
166,52,54,4479.5,266.8944424390793,2205496,2092686,2011848,196,186,179,28
167,52,54,4610.0,267.9655101299286,2193446,2078540,1990689,195,184,177,28
168,55,53,4847.0,292.59292674064636,2111454,2034903,1949687,187,181,173,28
169,50,55,4975.0,276.7939372062683,2171046,2046977,1947849,193,182,173,28
170,52,57,3690.5,257.23758828639984,2309207,2218241,2153891,205,197,191,28
171,49,55,4604.0,273.13708305358887,2219941,2102837,2010486,197,187,178,28
172,54,57,3728.0,261.13708305358887,2300448,2217376,2149678,204,197,191,28
173,53,53,5916.0,295.0782079696655,1928010,1844761,1737856,171,164,154,28
174,50,54,4474.5,270.8944424390793,2208942,2099637,2011000,196,186,178,28
175,56,53,3922.5,272.20815074443817,2268742,2194463,2122676,201,195,188,28
176,56,52,4422.0,286.1076455116272,2182615,2109590,2030416,194,187,180,28
177,51,56,5640.5,304.97770273685455,2070008,1914097,1818653,184,170,161,28
178,52,52,5430.5,286.0071402788162,2002192,1919581,1816438,178,170,161,28
179,55,56,3873.0,265.9655101299286,2282968,2187769,2117618,203,194,188,28
