,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,53,53,6090.5,299.1787132024765,1951560,1683692,2171190,173,149,193,29
1,51,55,7054.5,324.4924215078354,1836133,1514444,2093813,163,134,186,29
2,52,53,7492.5,338.0071402788162,1747004,1413733,2039288,155,125,181,29
3,53,54,6175.5,301.66399443149567,1911350,1684808,2185977,170,149,194,29
4,50,55,7033.0,325.0782079696655,1842163,1519496,2098180,163,135,186,29
5,52,53,7630.5,340.0071402788162,1776436,1383036,2024944,158,123,180,29
6,55,58,6359.0,308.73506212234497,1897871,1645246,2165918,168,146,192,29
7,54,53,7152.0,327.4213538169861,1835657,1481116,2079105,163,131,185,29
8,55,57,6301.5,310.4924215078354,1909486,1679669,2175841,169,149,193,29
9,50,56,6175.5,301.52185904979706,1959637,1661360,2185928,174,147,194,29
10,52,51,7348.0,332.59292674064636,1860088,1421838,2069249,165,126,184,29
11,55,55,5948.5,300.0071402788162,1941393,1694979,2198410,172,150,195,29
12,52,52,7719.0,342.2497808933258,1786218,1358930,2028269,158,120,180,29
13,55,56,5953.5,299.66399443149567,1949497,1699469,2204477,173,151,196,29
14,55,58,5950.0,299.4213538169861,1950350,1701590,2205320,173,151,196,29
15,52,54,6137.5,302.0071402788162,1930073,1664083,2167083,171,148,192,29
16,51,56,6059.0,299.0782079696655,1946544,1691584,2187344,173,150,194,29
17,52,53,7502.5,338.0071402788162,1747415,1413226,2037699,155,125,181,29
18,53,55,6041.0,300.2497808933258,1986489,1720375,2212586,176,153,196,29
19,53,54,5779.5,293.1787132024765,2040587,1762723,2239261,181,156,199,29
20,52,53,7461.5,335.1787132024765,1794048,1434442,2051056,159,127,182,29
21,53,51,7199.0,336.9360725879669,1873766,1496827,2086156,166,133,185,29
22,52,53,7514.5,339.1787132024765,1801689,1422609,2049174,160,126,182,29
23,53,52,7122.0,332.45079135894775,1880619,1512824,2091970,167,134,186,29
24,52,51,7539.5,337.66399443149567,1812301,1391995,2044926,161,123,181,29
25,51,55,6369.0,307.90663504600525,1913358,1617464,2140424,170,143,190,29
26,53,51,7352.5,337.8650048971176,1815268,1455121,2063025,161,129,183,29
27,52,52,7279.5,337.1787132024765,1817193,1467327,2062830,161,130,183,29
28,52,53,7233.5,338.3502861261368,1817319,1467861,2066902,161,130,183,29
29,53,53,7039.5,329.52185904979706,1828492,1502062,2089900,162,133,186,29
30,52,56,5337.5,283.1787132024765,2101195,1820152,2276019,187,161,202,29
31,49,57,5759.0,290.9360725879669,2005305,1735050,2225226,178,154,198,29
32,54,51,7532.0,340.9360725879669,1788726,1412831,2039812,159,125,181,29
33,51,55,7058.5,323.66399443149567,1791877,1501948,2085620,159,133,185,29
34,54,52,7315.5,334.83556735515594,1829917,1452141,2066825,162,129,183,29
35,52,51,7358.5,333.66399443149567,1859463,1420053,2067363,165,126,183,29
36,53,53,7504.0,331.90663504600525,1847452,1466531,2066998,164,130,183,29
37,53,53,7082.5,320.3502861261368,1890061,1561942,2113705,168,139,188,29
38,54,51,7393.5,337.66399443149567,1844376,1446880,2063591,164,128,183,29
39,52,54,6232.0,302.9360725879669,1946355,1681528,2187235,173,149,194,29
