,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,49,57,4547.5,323.8061298131943,2079270,1798069,1758237,185,160,156,30
1,57,60,4772.5,291.1787132024765,2064990,1755741,1724333,183,156,153,30
2,52,58,5241.5,291.0365778207779,2141027,1653503,1613509,190,147,143,30
3,49,59,5446.5,297.52185904979706,2041485,1602866,1542714,181,142,137,30
4,52,55,5249.5,321.11983811855316,1940147,1846504,1739903,172,164,154,30
5,48,59,5327.5,297.1787132024765,2043826,1619946,1565624,181,144,139,30
6,52,56,5309.5,322.634556889534,1921203,1825988,1721834,170,162,153,30
7,49,59,5945.5,324.0071402788162,1825027,1405047,1381590,162,125,122,30
8,51,58,5634.5,311.0365778207779,2039484,1601519,1529411,181,142,136,30
9,49,56,5360.5,329.1787132024765,1949528,1820647,1709048,173,162,152,30
10,50,58,5606.0,304.1076455116272,2038713,1588437,1518601,181,141,135,30
11,53,55,5243.0,319.90663504600525,1959226,1857870,1746339,174,165,155,30
12,57,61,4513.5,286.0071402788162,2119153,1829030,1799440,188,162,160,30
13,52,55,5246.5,320.97770273685455,1959322,1857851,1742942,174,165,155,30
14,49,58,4715.0,327.5634891986847,2069758,1757926,1722856,184,156,153,30
15,56,61,4423.5,280.69343197345734,2148814,1860997,1828133,191,165,162,30
16,50,58,5286.0,342.8771975040436,1996104,1611790,1580406,177,143,140,30
17,52,58,5228.5,293.0365778207779,2144091,1655490,1615498,190,147,143,30
18,55,59,5270.5,294.69343197345734,1993752,1634240,1596827,177,145,142,30
19,49,56,4377.0,323.22034335136414,2065534,1849209,1800057,183,164,160,30
20,53,58,5416.5,295.8650048971176,2040630,1622872,1583642,181,144,140,30
21,55,58,5381.0,298.7939372062683,1986726,1597853,1556492,176,142,138,30
22,53,58,5456.5,302.69343197345734,2013240,1598386,1558025,179,142,138,30
23,50,56,4523.0,328.73506212234497,2010313,1828595,1772825,178,162,157,30
24,50,58,5636.0,304.1076455116272,2037223,1586678,1516354,181,141,134,30
25,51,58,5136.0,297.2792184352875,2161877,1666162,1623580,192,148,144,30
26,50,58,5813.0,315.0782079696655,1859774,1438948,1416497,165,128,126,30
27,50,59,6083.0,334.73506212234497,1783570,1364687,1341602,158,121,119,30
28,54,58,5465.5,338.29141104221344,1876579,1519945,1497713,167,135,133,30
29,51,58,5688.0,312.3919162750244,1896769,1468842,1448072,168,130,128,30
30,53,58,5730.5,317.8061298131943,1908700,1466330,1442536,169,130,128,30
31,53,58,5439.5,298.20815074443817,2054315,1624203,1594241,182,144,141,30
32,53,59,5244.5,303.0365778207779,2078997,1706235,1641686,185,151,146,30
33,53,60,4929.5,293.0365778207779,2111202,1771651,1714246,187,157,152,30
34,50,59,6192.5,342.634556889534,1758610,1337485,1315306,156,119,117,30
35,50,56,5534.0,334.2497808933258,1918227,1783980,1667540,170,158,148,30
36,51,58,5600.0,309.62236428260803,2043298,1615646,1545166,181,143,137,30
37,51,57,5571.5,328.14927566051483,1910102,1791367,1671842,169,159,148,30
38,51,58,5654.5,303.8650048971176,2038084,1594067,1522989,181,141,135,30
39,53,55,5241.0,321.22034335136414,1948205,1854520,1743627,173,165,155,30
40,49,57,4969.0,335.22034335136414,1924234,1785858,1713592,171,158,152,30
41,48,57,5685.5,357.11983811855316,1798508,1660094,1568341,160,147,139,30
42,52,58,5305.0,296.9360725879669,2123908,1652434,1613923,189,147,143,30
43,54,58,5317.5,304.69343197345734,2006734,1612048,1568724,178,143,139,30
44,54,58,5431.5,297.8650048971176,2007946,1597936,1555065,178,142,138,30
45,56,60,5131.5,291.8650048971176,2010548,1670077,1633861,178,148,145,30
46,51,58,5649.0,309.9655101299286,2038736,1599180,1529097,181,142,136,30
47,49,56,4384.0,320.3919162750244,2052134,1855536,1805096,182,165,160,30
48,56,59,5318.5,295.8650048971176,1986483,1619947,1579743,176,144,140,30
49,50,56,4453.0,320.3919162750244,2017510,1856776,1799197,179,165,160,30
50,46,59,4978.0,307.0782079696655,2094894,1694681,1650982,186,150,146,30
51,49,57,5886.5,357.4629839658737,1779208,1645257,1545884,158,146,137,30
52,47,59,5226.0,293.76449966430664,2053937,1639517,1590774,182,145,141,30
53,53,57,5589.5,336.4924215078354,1856456,1739229,1635890,165,154,145,30
54,53,59,5514.0,308.1076455116272,2055007,1639154,1569287,182,145,139,30
55,49,56,5514.5,347.1787132024765,1912978,1765628,1659751,170,157,147,30
56,53,59,5333.5,299.0365778207779,2075268,1677815,1609768,184,149,143,30
57,52,58,5073.5,333.3208485841751,2022297,1666605,1633151,179,148,145,30
58,50,59,6006.5,329.66399443149567,1807333,1389164,1368750,160,123,121,30
59,55,60,4857.5,293.8650048971176,2108800,1782852,1731978,187,158,154,30
60,53,58,6035.5,340.0071402788162,1873633,1410523,1380590,166,125,122,30
61,55,61,4558.0,288.1076455116272,2140317,1841623,1799987,190,163,160,30
62,52,58,5983.0,342.3919162750244,1791348,1391118,1370633,159,123,121,30
63,53,59,5518.5,347.66399443149567,1955904,1547885,1516372,174,137,134,30
64,53,59,5792.0,342.73506212234497,1818388,1433909,1414518,161,127,125,30
65,56,61,4417.0,283.76449966430664,2146268,1859020,1827323,191,165,162,30
66,52,58,5252.5,334.4924215078354,2001917,1615563,1584712,178,143,141,30
67,56,61,4432.0,282.1076455116272,2147645,1859241,1827731,191,165,162,30
68,57,61,4550.5,290.0071402788162,2110044,1818841,1788517,187,161,159,30
69,50,57,4819.0,323.90663504600525,2062284,1733297,1700325,183,154,151,30
70,50,58,5610.0,304.1076455116272,2034745,1583338,1514812,181,140,134,30
71,53,56,5378.0,320.3919162750244,1939882,1831481,1715306,172,163,152,30
72,51,58,5644.5,309.0365778207779,2036151,1595737,1523161,181,142,135,30
73,49,56,5390.5,327.52185904979706,1941834,1806847,1695230,172,160,150,30
74,50,58,5850.5,319.1787132024765,1850705,1424998,1401153,164,126,124,30
75,49,56,5157.0,343.22034335136414,1884443,1749145,1671641,167,155,148,30
76,49,56,4608.0,329.22034335136414,1986171,1839328,1776891,176,163,158,30
77,48,59,5356.5,293.8650048971176,2042700,1614795,1559848,181,143,138,30
78,50,57,4630.0,326.3919162750244,2083649,1779972,1743975,185,158,155,30
79,53,56,5334.5,328.29141104221344,1914589,1816827,1712720,170,161,152,30
80,49,58,5568.0,300.9360725879669,2027083,1578235,1512233,180,140,134,30
81,51,56,5232.0,317.7056245803833,1942403,1851051,1740890,172,164,154,30
82,57,61,4715.0,291.0782079696655,2074237,1773117,1740314,184,157,154,30
83,49,57,4447.5,321.3208485841751,2095335,1821287,1783427,186,162,158,30
84,57,60,4934.5,294.0071402788162,2037520,1715852,1681189,181,152,149,30
85,49,56,4284.0,322.3919162750244,2098181,1861444,1818403,186,165,161,30
