,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,51,54,6268.0,300.2497808933258,2054712,1388640,1300234,182,123,115,31
1,50,51,7332.5,323.11983811855316,1932189,1150800,1034603,171,102,92,31
2,52,51,7246.5,322.29141104221344,1875943,1158112,1051291,166,103,93,31
3,53,52,6813.5,310.97770273685455,1950516,1279743,1152179,173,113,102,31
4,51,51,7241.5,335.6051193475723,1806587,1139329,1021562,160,101,90,31
5,51,53,6500.5,306.3502861261368,2073885,1341054,1238425,184,119,110,31
6,49,53,7317.0,322.8771975040436,1873337,1142523,1023277,166,101,91,31
7,50,53,7381.0,328.8771975040436,1907189,1160916,1031869,169,103,91,31
8,52,51,7246.0,322.8771975040436,1879739,1156378,1049975,167,102,93,31
9,53,53,6694.5,309.66399443149567,2037512,1322820,1197506,181,117,106,31
10,52,51,7213.5,321.11983811855316,1870050,1176739,1074628,166,104,95,31
11,51,53,6192.0,297.0782079696655,1989435,1413831,1307943,177,125,116,31
12,52,53,6495.5,306.83556735515594,2061317,1391500,1254511,183,123,111,31
13,52,51,6828.0,321.0193328857422,1882870,1273714,1154008,167,113,102,31
14,52,54,6287.0,300.59292674064636,1999784,1453828,1306021,177,129,116,31
15,52,54,6357.0,301.90663504600525,2043345,1410973,1301614,181,125,115,31
16,52,54,6388.0,303.76449966430664,2012063,1439009,1269288,179,128,112,31
17,53,54,6162.5,296.97770273685455,2050057,1471326,1359708,182,130,121,31
18,49,54,6788.5,312.97770273685455,1870580,1267894,1156700,166,112,102,31
19,49,54,7046.0,319.22034335136414,1860284,1198670,1085141,165,106,96,31
20,53,51,7468.5,326.634556889534,1905447,1120613,994329,169,99,88,31
21,53,52,7253.0,321.22034335136414,1927925,1194515,1067182,171,106,94,31
22,52,52,6502.5,305.4629839658737,1945030,1321802,1234927,173,117,109,31
23,52,54,6471.0,307.4213538169861,2045302,1426468,1277497,182,126,113,31
24,52,54,6484.5,306.3502861261368,2040061,1428127,1273815,181,127,113,31
25,50,54,6496.5,306.4924215078354,1902289,1347453,1229925,169,119,109,31
26,53,51,6821.5,311.9482651948929,1900262,1242691,1150382,169,110,102,31
27,51,54,6421.0,305.4213538169861,1943312,1395952,1258124,172,124,111,31
28,52,54,6481.5,305.1787132024765,2020616,1371279,1238646,179,122,110,31
29,52,51,7318.5,322.29141104221344,1907658,1150352,1041604,169,102,92,31
30,53,53,6883.0,313.5634891986847,2004332,1264042,1145855,178,112,101,31
31,52,54,6138.5,297.66399443149567,2028646,1423869,1320752,180,126,117,31
32,52,51,7426.0,324.3919162750244,1908147,1118206,1003806,169,99,89,31
33,53,53,6013.0,295.90663504600525,2020292,1453012,1355487,179,129,120,31
34,54,53,7078.0,315.22034335136414,1959047,1203192,1088483,174,107,96,31
35,51,53,6399.0,305.4213538169861,2030831,1421583,1264027,180,126,112,31
36,51,50,7089.0,316.8771975040436,1910426,1170579,1083221,170,104,96,31
37,51,51,6960.5,312.29141104221344,1875299,1231173,1117148,166,109,99,31
38,54,54,7181.5,321.11983811855316,1921119,1171823,1080299,170,104,96,31
39,51,51,7080.0,316.8771975040436,1947821,1191922,1099202,173,106,97,31
40,55,54,7066.0,320.8771975040436,1924998,1183505,1097230,171,105,97,31
41,49,53,7306.0,322.04877042770386,1879099,1149944,1028144,167,102,91,31
42,49,54,7143.5,321.4629839658737,1860365,1174694,1060905,165,104,94,31
43,50,51,7058.0,316.8771975040436,1957076,1200531,1102088,174,106,98,31
44,51,54,6379.5,302.4924215078354,2041916,1390313,1285624,181,123,114,31
45,50,51,7310.5,322.29141104221344,1935794,1160324,1043721,172,103,92,31
46,53,51,7257.5,323.11983811855316,1859116,1166769,1065702,165,103,94,31
47,50,54,6290.5,300.83556735515594,2053551,1384748,1296641,182,123,115,31
48,52,51,7248.0,324.04877042770386,1878752,1156214,1051626,167,102,93,31
49,52,54,6159.5,297.8061298131943,1991002,1429526,1331975,177,127,118,31
50,51,53,6396.5,306.0071402788162,2065835,1422604,1286757,183,126,114,31
51,52,51,7241.0,322.8771975040436,1907899,1165802,1060429,169,103,94,31
52,52,53,6559.0,306.59292674064636,2056230,1369240,1236176,183,121,110,31
53,53,54,6283.0,300.73506212234497,1988954,1414609,1310202,177,125,116,31
54,53,51,7105.5,319.9482651948929,1865190,1184807,1083912,166,105,96,31
55,51,54,6408.5,306.0071402788162,1990483,1417676,1258454,177,126,112,31
56,53,54,6553.0,306.9360725879669,2009774,1404767,1245118,178,125,110,31
57,51,54,6404.5,306.0071402788162,1986779,1417005,1259570,176,126,112,31
58,50,54,6138.0,298.8771975040436,2085013,1477474,1351496,185,131,120,31
59,52,51,7249.5,323.11983811855316,1864200,1171781,1071812,165,104,95,31
60,52,54,6518.0,307.76449966430664,2036798,1422065,1267594,181,126,112,31
61,51,53,6401.5,306.83556735515594,2031628,1420522,1262808,180,126,112,31
62,50,52,6760.0,311.22034335136414,1990966,1282755,1180178,177,114,105,31
63,50,54,6015.5,292.97770273685455,2097074,1482113,1368106,186,131,121,31
64,51,53,6409.0,304.3919162750244,2026560,1373541,1273844,180,122,113,31
65,50,54,6131.5,296.634556889534,2086645,1479031,1353913,185,131,120,31
66,52,51,6836.0,324.19090580940247,1885985,1273536,1154863,167,113,102,31
67,51,54,6006.5,293.66399443149567,2092269,1484413,1379589,186,132,122,31
68,51,54,6170.0,308.534051656723,2077308,1464856,1340434,184,130,119,31
69,51,53,5940.0,293.0782079696655,2074750,1473072,1366256,184,131,121,31
70,50,53,7359.0,324.8771975040436,1923554,1176488,1048587,171,104,93,31
71,50,53,7295.5,320.634556889534,1943815,1186602,1051292,172,105,93,31
72,51,50,7093.0,316.8771975040436,1914926,1170921,1084590,170,104,96,31
73,54,54,6909.0,315.0782079696655,1935437,1206555,1125220,172,107,100,31
74,52,51,6911.5,313.4629839658737,1886207,1250193,1135132,167,111,101,31
75,52,51,7275.5,320.634556889534,1852875,1117847,1031164,164,99,91,31
76,52,51,7229.5,319.4629839658737,1831617,1155930,1042765,163,102,92,31
77,55,54,7138.0,319.22034335136414,1921773,1174120,1087905,171,104,96,31
78,52,54,6491.0,303.90663504600525,2000030,1366577,1256807,178,121,111,31
79,52,54,6481.0,307.76449966430664,2020622,1423408,1264816,179,126,112,31
80,53,54,6287.5,300.14927566051483,2002966,1420845,1316105,178,126,117,31
81,53,54,6222.0,298.3919162750244,2045559,1458813,1347725,182,129,119,31
82,51,54,6023.0,295.5634891986847,2092376,1479060,1372051,186,131,122,31
83,50,53,6644.5,308.0071402788162,2059734,1312186,1202156,183,116,106,31
84,50,53,6894.0,312.73506212234497,2034380,1263453,1137059,181,112,101,31
85,52,54,6550.0,303.90663504600525,1990969,1352637,1243188,177,120,110,31
86,50,53,7074.5,315.8061298131943,1974522,1229429,1105014,175,109,98,31
87,50,53,6837.5,312.4924215078354,1998706,1274197,1153617,177,113,102,31
88,52,54,6173.0,298.2497808933258,2031333,1418280,1310283,180,126,116,31
89,50,54,6076.5,295.8061298131943,2095918,1486758,1365736,186,132,121,31
90,53,51,7074.5,317.9482651948929,1865363,1187506,1085982,166,105,96,31
91,52,54,6492.5,307.1787132024765,2020561,1373591,1237182,179,122,110,31
92,51,54,6072.0,294.73506212234497,2087946,1465632,1355847,185,130,120,31
93,51,54,6432.0,304.9360725879669,2077663,1352146,1252015,184,120,111,31
94,51,51,7190.0,326.534051656723,1818459,1152035,1041721,161,102,92,31
95,52,52,6767.0,309.5634891986847,1951595,1290997,1161941,173,114,103,31
96,51,53,6105.0,297.0782079696655,2004959,1429696,1326120,178,127,118,31
97,52,52,6584.0,307.22034335136414,1949280,1323786,1211252,173,117,107,31
98,50,54,6132.5,297.1787132024765,2069913,1423263,1337412,184,126,119,31
99,49,53,7393.5,323.8061298131943,1897775,1151444,1022403,168,102,90,31
100,49,53,7271.0,322.3919162750244,1873146,1150436,1035376,166,102,92,31
101,52,54,6339.0,303.76449966430664,2037814,1371695,1277643,181,122,113,31
102,51,53,6494.0,305.76449966430664,2029991,1340086,1239972,180,119,110,31
103,50,54,6049.5,293.8061298131943,2095478,1488627,1367649,186,132,121,31
104,51,54,6195.5,303.4629839658737,2065283,1453849,1332296,183,129,118,31
105,50,53,7221.0,320.04877042770386,1990323,1198780,1067697,177,106,95,31
106,53,51,6902.0,313.36247873306274,1886042,1220369,1127761,167,108,100,31
107,51,54,6420.5,306.83556735515594,2014239,1419222,1257782,179,126,111,31
108,53,51,7178.0,320.534051656723,1856743,1172446,1067679,165,104,95,31
109,51,53,6432.5,307.66399443149567,2046655,1414485,1274325,182,125,113,31
110,55,53,7251.0,322.04877042770386,1916022,1152307,1043878,170,102,92,31
111,54,53,7111.5,317.4629839658737,1949202,1193016,1079740,173,106,96,31
112,51,54,6464.0,304.2497808933258,2030319,1364821,1258185,180,121,111,31
113,50,54,6134.5,296.634556889534,2086759,1479504,1354150,185,131,120,31
114,51,51,7011.5,315.11983811855316,1849889,1223372,1100758,164,108,97,31
115,52,51,7229.5,320.29141104221344,1844691,1139446,1049327,164,101,93,31
116,52,51,7271.0,320.534051656723,1825123,1139809,1031144,162,101,91,31
117,51,51,7027.5,315.4629839658737,1949177,1201414,1111860,173,106,98,31
118,54,54,7057.0,318.3919162750244,1923634,1179964,1093858,171,105,97,31
119,51,50,7149.0,318.04877042770386,1896295,1154406,1066373,168,102,94,31
120,54,54,7129.0,318.3919162750244,1926225,1182653,1093740,171,105,97,31
121,52,51,7424.5,324.97770273685455,1908447,1120289,1004789,169,99,89,31
122,54,53,7060.5,315.8061298131943,1964333,1208964,1091449,174,107,97,31
123,53,54,5980.0,295.0782079696655,2028904,1461670,1363438,180,130,121,31
124,51,53,6428.5,303.8061298131943,2022449,1366323,1264347,179,121,112,31
125,52,51,7385.5,322.634556889534,1903305,1134381,1023704,169,100,91,31
126,52,54,6175.5,298.4924215078354,2029960,1417536,1311085,180,126,116,31
127,53,53,6817.5,311.3208485841751,2014221,1280728,1161948,179,113,103,31
128,49,54,7001.5,319.4629839658737,1860614,1209806,1096816,165,107,97,31
129,49,54,6742.0,312.73506212234497,1873430,1281125,1169002,166,114,104,31
130,52,54,6363.0,302.59292674064636,2011754,1446641,1276028,179,128,113,31
131,52,54,6327.0,301.4213538169861,1979726,1425986,1293252,176,126,115,31
132,53,52,6736.0,310.8771975040436,1910530,1260938,1168520,170,112,103,31
133,52,54,6444.5,305.1787132024765,2018392,1369919,1243291,179,121,110,31
134,51,54,6421.5,306.0071402788162,1952879,1400974,1255991,173,124,111,31
135,50,54,6073.5,294.14927566051483,2088863,1467752,1351995,185,130,120,31
136,52,52,6425.5,303.4629839658737,1956033,1339171,1255338,174,119,111,31
137,50,54,6463.0,308.2497808933258,1908410,1357711,1237121,169,120,110,31
138,52,54,6505.5,306.3502861261368,2038005,1409078,1262848,181,125,112,31
139,53,52,7208.5,319.8061298131943,1931182,1205315,1078463,171,107,95,31
140,53,51,7454.5,326.634556889534,1907091,1129088,1000408,169,100,89,31
141,50,53,6838.0,311.90663504600525,2041666,1272764,1153981,181,113,102,31
142,50,53,7061.0,316.3919162750244,2018083,1230561,1103472,179,109,98,31
143,50,53,6717.5,309.66399443149567,2009207,1298404,1185001,178,115,105,31
144,51,53,6452.0,304.3919162750244,2022007,1358706,1258713,179,120,112,31
145,50,52,6817.0,311.22034335136414,1986529,1272007,1168260,176,113,103,31
146,50,52,6811.0,311.22034335136414,1987871,1273800,1171383,176,113,104,31
147,53,51,7242.5,322.29141104221344,1866371,1172076,1072104,166,104,95,31
148,51,54,6393.5,306.0071402788162,2026750,1423321,1263017,180,126,112,31
149,52,54,6487.0,307.76449966430664,2035727,1428115,1272880,181,127,113,31
150,53,51,7171.5,319.11983811855316,1858936,1174047,1071069,165,104,95,31
151,52,54,6575.5,308.3502861261368,2001744,1396869,1234623,178,124,109,31
152,51,54,6433.5,306.83556735515594,1978857,1409591,1252262,176,125,111,31
153,54,53,7199.0,318.8771975040436,1925861,1167235,1057678,171,103,94,31
154,54,53,7231.0,320.8771975040436,1917481,1160147,1065168,170,103,94,31
155,52,51,7129.5,319.4629839658737,1827112,1178519,1059441,162,104,94,31
156,53,52,7040.0,315.5634891986847,1939284,1237628,1109289,172,110,98,31
157,52,53,6307.5,302.14927566051483,1985670,1378217,1277091,176,122,113,31
158,52,52,6708.0,308.73506212234497,1955921,1303974,1174197,174,116,104,31
159,52,51,7198.5,321.4629839658737,1908337,1173247,1069313,169,104,95,31
160,51,53,6085.5,297.3208485841751,2010251,1434076,1329207,178,127,118,31
161,53,54,6321.0,301.5634891986847,1988292,1407556,1301719,176,125,115,31
162,53,53,6612.0,308.2497808933258,2047751,1351742,1219214,182,120,108,31
163,52,51,7244.0,322.8771975040436,1875888,1160344,1053470,166,103,93,31
164,51,53,6419.5,305.1787132024765,2066413,1414599,1279908,183,125,113,31
165,52,54,6406.5,303.3208485841751,1958230,1389498,1271385,174,123,113,31
166,50,52,7191.5,320.29141104221344,1948551,1188169,1073219,173,105,95,31
167,50,54,6354.5,302.0071402788162,2043479,1366986,1276201,181,121,113,31
168,51,53,5982.0,294.2497808933258,2066471,1461218,1353011,183,130,120,31
