,x,y,area,perimetro,r,g,b,pr,pg,pb,clase
0,51,53,6976.0,316.73506212234497,1921680,1928795,1675400,171,171,149,32
1,50,57,6451.0,327.5634891986847,1707637,1846882,1636717,151,164,145,32
2,46,51,5747.5,353.6051193475723,1887683,1978824,1803673,168,176,160,32
3,51,55,6369.5,323.66399443149567,1743783,1841242,1647582,155,163,146,32
4,50,55,6419.0,320.73506212234497,1724233,1829093,1633689,153,162,145,32
5,50,54,6980.0,316.3919162750244,1896045,1929056,1688406,168,171,150,32
6,52,54,5712.0,311.22034335136414,1906350,2020176,1835434,169,179,163,32
7,53,55,5707.0,307.5634891986847,1905166,2018213,1837298,169,179,163,32
8,52,54,5631.0,306.2497808933258,1922549,2029672,1851565,171,180,164,32
9,52,54,5781.5,310.83556735515594,1901470,2003267,1831524,169,178,163,32
10,48,51,6166.5,350.7766922712326,1862687,1948921,1761004,165,173,156,32
11,46,51,6012.5,356.7766922712326,1869832,1959726,1774560,166,174,157,32
12,52,50,6853.5,325.4629839658737,1680502,1782266,1569008,149,158,139,32
13,52,52,6868.0,318.3919162750244,1910764,1913693,1670896,170,170,148,32
14,50,50,5966.0,337.36247873306274,1836093,1927896,1743334,163,171,155,32
15,49,51,6333.0,345.36247873306274,1854500,1930178,1740932,165,171,154,32
16,55,51,5985.0,308.73506212234497,1939258,1992056,1808197,172,177,160,32
17,52,55,5748.5,308.97770273685455,1898044,2014121,1831143,168,179,162,32
18,52,55,6286.5,322.83556735515594,1781368,1869372,1677205,158,166,149,32
19,52,55,5813.0,311.5634891986847,1886323,2007248,1823989,167,178,162,32
20,63,5,5.5,10.242640614509583,1696815,1839989,1622224,151,163,144,32
21,67,5,6.5,12.242640614509583,1699376,1841368,1623624,151,163,144,32
22,48,51,5713.0,351.7056245803833,1880612,1972629,1795368,167,175,159,32
23,51,57,6579.0,321.90663504600525,1713405,1858667,1650770,152,165,146,32
24,78,5,8.5,14.242640614509583,1753057,1898085,1698215,156,168,151,32
25,55,53,5558.5,343.9482651948929,1896619,1972122,1794463,168,175,159,32
26,52,57,6579.5,329.3208485841751,1715367,1860217,1652296,152,165,147,32
27,56,54,5275.0,334.534051656723,1955066,2030327,1862540,174,180,165,32
28,53,51,4572.5,306.4924215078354,2078178,2150954,2007634,184,191,178,32
29,51,54,7072.5,317.8061298131943,1822482,1876474,1635815,162,167,145,32
30,52,55,6081.0,316.2497808933258,1834308,1928841,1748626,163,171,155,32
31,51,54,6836.0,315.5634891986847,1928633,1953948,1719702,171,173,153,32
32,50,53,6864.5,313.8061298131943,1899034,1935292,1698589,169,172,151,32
33,57,56,5972.0,313.4213538169861,1854090,1982687,1793862,165,176,159,32
34,51,56,6156.5,323.3208485841751,1806363,1937289,1736496,160,172,154,32
