,x,y,area,perimetro,largox,largoy,m0,m1,m2,m3,m4,m5,m6,r,g,b,pr,pg,pb,clase
0,49,50,7243.0,322.24978029727936,4257375,3896283,0.15972766486835427,8.605867586632189e-05,1.0839609768935735e-05,8.187455241161055e-09,1.9016865864386714e-15,6.63289083115284e-11,1.5273552579900085e-15,1447256,848049,816651,144,84,81,Apple Braeburn
1,55,51,5990.0,427.8477603197098,3790474,5132211,0.1893241316746977,0.0012118182526851598,0.0002061403472877562,0.00012425532333671413,-6.980751725252656e-09,-2.6287428041047693e-06,-1.8620796722618206e-08,1708073,1214478,963948,170,121,96,Apple Braeburn
2,55,52,5774.0,444.4751772880554,3186602,4143523,0.18210729418019997,0.0006629918376017533,7.814406140363938e-05,9.599433264126309e-05,-5.212974051088801e-09,-6.259920357794087e-07,-6.476845072556468e-09,1584337,1069593,970179,158,106,97,Apple Braeburn
3,49,49,7121.5,320.83556747436523,4854694,4854694,0.16076920734508554,0.0003818741628167892,1.679998218719555e-05,8.467238148389199e-08,-8.049487726081397e-14,-1.4851758753619963e-09,-6.098380229745846e-14,1448014,901786,858242,144,90,85,Apple Braeburn
4,51,50,7064.0,394.81832253932953,4210097,4577332,0.16482026106791098,0.0003725884881549803,7.111136906320185e-05,4.555662096304564e-06,-4.969675084193442e-11,-5.672723161234408e-08,-6.522042780081127e-11,1610522,1066827,893142,161,106,89,Apple Braeburn
5,49,50,7047.5,318.83556735515594,4721991,4369972,0.16051806191032317,0.00026198674433755554,1.9847044060528536e-05,1.0961511600490593e-07,-1.0625474861427155e-13,-1.5539907867592136e-09,-1.218606759354124e-13,1464126,910724,865674,146,91,86,Apple Braeburn
6,49,49,7422.5,329.46298384666443,4417915,4417915,0.1596621610599019,0.00010810268391825124,7.410876451855153e-06,1.0345383330157464e-08,-1.1417888455590838e-15,-5.140931332392259e-11,-2.62714658861079e-15,1611395,1073250,915429,161,107,91,Apple Braeburn
7,49,49,7690.0,330.3919155597687,4914163,4914163,0.15951586916726807,8.18374338651141e-05,2.5693573957814167e-06,2.7953600856681183e-09,-2.109015651223369e-16,-1.9871475888087953e-11,1.0790334463004143e-16,1467616,818180,750147,146,81,75,Apple Braeburn
8,49,49,6977.0,319.42135286331177,4756627,4756627,0.1611118373637054,0.0004880185287700612,1.0799723938666527e-05,4.601022770194875e-08,-3.163200127063965e-14,-1.0080968947683e-09,-7.163780969457184e-15,1506939,941736,892491,150,94,89,Apple Braeburn
9,54,51,6558.5,354.4335458278656,3283705,4350932,0.17068016240518033,0.001191554998968715,0.00032744725469887107,1.7208177330759803e-05,-1.261804774776603e-09,-5.678112912195203e-07,-2.7645005280265235e-10,1572167,1066476,864749,157,106,86,Apple Braeburn
